"var","categoria","Menos de un vaso al día","De 1 a 4 vasos al día","Más de 4 vasos al día","No consume agua"
"P05","Gran excedente habitual",0.021,0.007,0.016,0.028
"P05","Gran excedente excepcional",0.009,0.003,0.013,0.007
"P05","Pequeño excedente habitual",0.042,0.044,0.076,0.015
"P05","Pequeño excedente excepcional",0.065,0.075,0.091,0.073
"P05","Alcanza gastos familia",0.119,0.154,0.153,0.097
"P05","No alcanza gastos familia",0.087,0.128,0.118,0.15
"P05","Solo NBFamiliares",0.266,0.275,0.232,0.207
"P05","No alcanza NBFamiliares",0.365,0.302,0.286,0.414
"P05","No sabe",0.026,0.012,0.015,0.009
"P06","Todos los días",0.174,0.146,0.195,0.207
"P06","Entre 4 y 6 días a la semana",0.225,0.284,0.267,0.193
"P06","Entre 1 y 3 días a la semana",0.3,0.379,0.326,0.262
"P06","Raramente",0.21,0.157,0.175,0.235
"P06","Nunca",0.091,0.034,0.037,0.103
"P07","Todos los días",0.186,0.072,0.073,0.085
"P07","Entre 4 y 6 días a la semana",0.133,0.192,0.212,0.153
"P07","Entre 1 y 3 días a la semana",0.312,0.422,0.387,0.29
"P07","Raramente",0.269,0.257,0.256,0.331
"P07","Nunca",0.1,0.057,0.072,0.141
"P08","Todos los días",0.156,0.054,0.062,0.076
"P08","Entre 4 y 6 días a la semana",0.182,0.222,0.173,0.118
"P08","Entre 1 y 3 días a la semana",0.328,0.469,0.479,0.327
"P08","Raramente",0.237,0.219,0.24,0.313
"P08","Nunca",0.097,0.036,0.046,0.166
"P09","Todos los días",0.13,0.026,0.036,0.113
"P09","Entre 4 y 6 días a la semana",0.093,0.081,0.062,0.038
"P09","Entre 1 y 3 días a la semana",0.207,0.214,0.194,0.123
"P09","Raramente",0.35,0.445,0.439,0.383
"P09","Nunca",0.22,0.234,0.269,0.343
"P10","Todos los días",0.181,0.079,0.081,0.154
"P10","Entre 4 y 6 días a la semana",0.122,0.171,0.139,0.086
"P10","Entre 1 y 3 días a la semana",0.237,0.282,0.252,0.168
"P10","Raramente",0.3,0.369,0.393,0.391
"P10","Nunca",0.16,0.099,0.135,0.201
"P11","Todos los días",0.185,0.132,0.222,0.154
"P11","Entre 4 y 6 días a la semana",0.134,0.205,0.163,0.114
"P11","Entre 1 y 3 días a la semana",0.188,0.299,0.259,0.151
"P11","Raramente",0.299,0.286,0.283,0.323
"P11","Nunca",0.194,0.078,0.073,0.258
"P12","Todos los días",0.289,0.281,0.292,0.179
"P12","Entre 4 y 6 días a la semana",0.151,0.199,0.178,0.103
"P12","Entre 1 y 3 días a la semana",0.247,0.258,0.232,0.158
"P12","Raramente",0.172,0.202,0.229,0.341
"P12","Nunca",0.141,0.06,0.069,0.219
"P13","Todos los días",0.154,0.057,0.069,0.097
"P13","Entre 4 y 6 días a la semana",0.129,0.095,0.091,0.08
"P13","Entre 1 y 3 días a la semana",0.241,0.289,0.318,0.159
"P13","Raramente",0.283,0.415,0.388,0.42
"P13","Nunca",0.193,0.144,0.134,0.244
"P14","Todos los días",0.376,0.268,0.26,0.209
"P14","Entre 4 y 6 días a la semana",0.17,0.27,0.237,0.136
"P14","Entre 1 y 3 días a la semana",0.208,0.267,0.284,0.171
"P14","Raramente",0.149,0.154,0.175,0.366
"P14","Nunca",0.097,0.041,0.044,0.118
"P15","Todos los días",0.308,0.091,0.109,0.12
"P15","Entre 4 y 6 días a la semana",0.225,0.255,0.195,0.059
"P15","Entre 1 y 3 días a la semana",0.218,0.384,0.444,0.133
"P15","Raramente",0.172,0.22,0.201,0.51
"P15","Nunca",0.077,0.05,0.051,0.178
"P17","Agua embotellada/mineral",0.346,0.166,0.144,0.118
"P17","Agua de la canilla filtrada",0.192,0.384,0.272,0.156
"P17","Agua de la canilla directamente",0.331,0.311,0.437,0.4
"P17","Agua de bidón",0.107,0.135,0.144,0.19
"P17","No consume agua",0.024,0.004,0.003,0.136
"P18","Todos los días",0.192,0.061,0.044,0.148
"P18","Entre 4 y 6 días a la semana",0.082,0.09,0.064,0.057
"P18","Entre 1 y 3 días a la semana",0.168,0.204,0.205,0.144
"P18","Raramente",0.272,0.316,0.33,0.335
"P18","Nunca",0.286,0.329,0.357,0.316
"P19","Vino",0.342,0.256,0.232,0.22
"P19","Cerveza",0.15,0.184,0.181,0.121
"P19","Destilados (whisky, vodka, ron, etc.)",0.053,0.042,0.058,0.09
"P19","Espumantes",0.038,0.038,0.036,0.093
"P19","Otros",0.133,0.128,0.098,0.109
"P19","No consume bebidas alcohólicas",0.284,0.352,0.395,0.367
"P20","Todos los días",0.2,0.143,0.092,0.297
"P20","Entre 4 y 6 días a la semana",0.117,0.132,0.09,0.088
"P20","Entre 1 y 3 días a la semana",0.138,0.168,0.17,0.089
"P20","Raramente",0.324,0.364,0.38,0.272
"P20","Nunca",0.221,0.193,0.268,0.254
"P21","Todos los días",0.744,0.789,0.772,0.622
"P21","Entre 4 y 6 días a la semana",0.092,0.092,0.07,0.122
"P21","Entre 1 y 3 días a la semana",0.017,0.043,0.057,0.04
"P21","Raramente",0.093,0.048,0.06,0.14
"P21","Nunca",0.054,0.028,0.041,0.076
"P22","Asado",0.501,0.433,0.404,0.366
"P22","Pizza",0.042,0.092,0.071,0.094
"P22","Milanesa",0.124,0.153,0.167,0.153
"P22","Pastas",0.07,0.092,0.091,0.123
"P22","Empanadas",0.059,0.036,0.036,0.048
"P22","Hamburguesa",0.023,0.011,0.018,0.002
"P22","Ensaladas (de cualquier tipo)",0.05,0.076,0.081,0.053
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.083,0.065,0.081,0.046
"P22","Polenta o similares (de cualquier tipo)",0.026,0.015,0.023,0.068
"P22","Ninguno de los anteriores",0.022,0.027,0.028,0.047
"P23","Asado",0.181,0.099,0.107,0.158
"P23","Pizza",0.096,0.086,0.061,0.107
"P23","Milanesa",0.171,0.238,0.226,0.171
"P23","Pastas",0.144,0.174,0.145,0.163
"P23","Empanadas",0.057,0.039,0.051,0.031
"P23","Hamburguesa",0.011,0.017,0.016,0.06
"P23","Ensaladas (de cualquier tipo)",0.056,0.087,0.142,0.088
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.167,0.118,0.1,0.071
"P23","Polenta o similares (de cualquier tipo)",0.059,0.08,0.079,0.084
"P23","Ninguno de los anteriores",0.058,0.062,0.073,0.067
"P24","Helado",0.351,0.286,0.307,0.225
"P24","Tortas, tartas dulces y masas",0.145,0.167,0.133,0.126
"P24","Ensalada de frutas",0.111,0.188,0.183,0.175
"P24","Flan, budín de pan y similares",0.142,0.109,0.091,0.171
"P24","Dulce de batata, membrillo o similares",0.094,0.063,0.06,0.087
"P24","Facturas de todo tipo",0.03,0.041,0.043,0.038
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.009,0.023,0.041,0.018
"P24","Gelatina",0.018,0.03,0.036,0.017
"P24","Panqueques, wafles y similares",0.006,0.03,0.018,0.012
"P24","Ninguno de los anteriores",0.094,0.063,0.088,0.131
"P25","Helado",0.194,0.125,0.154,0.142
"P25","Tortas, tartas dulces y masas",0.169,0.161,0.12,0.177
"P25","Ensalada de frutas",0.055,0.104,0.106,0.099
"P25","Flan, budín de pan y similares",0.069,0.058,0.045,0.065
"P25","Dulce de batata, membrillo o similares",0.095,0.126,0.1,0.096
"P25","Facturas de todo tipo",0.095,0.08,0.071,0.047
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.025,0.024,0.026,0.014
"P25","Gelatina",0.028,0.047,0.047,0.038
"P25","Panqueques, wafles y similares",0.021,0.013,0.016,0.001
"P25","Ninguno de los anteriores",0.249,0.262,0.315,0.321
"P26","Vegetariano",0.156,0.043,0.066,0.046
"P26","Vegano",0.043,0.041,0.031,0.081
"P26","Dieta baja en carnes rojas",0.101,0.163,0.128,0.168
"P26","Dieta baja en carbohidratos",0.078,0.072,0.096,0.08
"P26","Dieta baja en azúcares",0.085,0.104,0.124,0.099
"P26","Kosher o Alal",0.013,0.017,0.01,0.011
