"var","categoria","Hipermercado/Supermercado","Almacenes","Productores locales/mercados de cercanía/Ferias","Vía pública","No sabe"
"P05","Gran excedente habitual",0.015,0.024,0.004,0.004,0.029
"P05","Gran excedente excepcional",0.004,0.01,0.015,0.004,0.026
"P05","Pequeño excedente habitual",0.068,0.041,0.085,0.015,0.091
"P05","Pequeño excedente excepcional",0.085,0.074,0.085,0.175,0.118
"P05","Alcanza gastos familia",0.18,0.144,0.152,0.132,0.065
"P05","No alcanza gastos familia",0.116,0.122,0.118,0.123,0.137
"P05","Solo NBFamiliares",0.238,0.241,0.263,0.325,0.258
"P05","No alcanza NBFamiliares",0.279,0.32,0.277,0.213,0.257
"P05","No sabe",0.015,0.024,0.001,0.009,0.019
"P06","Todos los días",0.196,0.155,0.183,0.084,0.215
"P06","Entre 4 y 6 días a la semana",0.274,0.272,0.287,0.261,0.225
"P06","Entre 1 y 3 días a la semana",0.334,0.334,0.324,0.257,0.28
"P06","Raramente",0.158,0.201,0.164,0.323,0.196
"P06","Nunca",0.038,0.038,0.042,0.075,0.084
"P07","Todos los días",0.087,0.079,0.079,0.048,0.092
"P07","Entre 4 y 6 días a la semana",0.205,0.193,0.211,0.165,0.075
"P07","Entre 1 y 3 días a la semana",0.415,0.383,0.384,0.29,0.446
"P07","Raramente",0.238,0.249,0.262,0.346,0.272
"P07","Nunca",0.055,0.096,0.064,0.151,0.115
"P08","Todos los días",0.077,0.055,0.058,0.02,0.069
"P08","Entre 4 y 6 días a la semana",0.197,0.183,0.183,0.116,0.193
"P08","Entre 1 y 3 días a la semana",0.469,0.441,0.456,0.376,0.393
"P08","Raramente",0.205,0.263,0.254,0.46,0.278
"P08","Nunca",0.052,0.058,0.049,0.028,0.067
"P09","Todos los días",0.041,0.052,0.042,0.035,0.094
"P09","Entre 4 y 6 días a la semana",0.076,0.067,0.054,0.032,0.052
"P09","Entre 1 y 3 días a la semana",0.212,0.192,0.164,0.103,0.223
"P09","Raramente",0.438,0.435,0.454,0.533,0.358
"P09","Nunca",0.233,0.254,0.286,0.297,0.273
"P10","Todos los días",0.095,0.11,0.062,0.023,0.113
"P10","Entre 4 y 6 días a la semana",0.168,0.135,0.122,0.09,0.099
"P10","Entre 1 y 3 días a la semana",0.28,0.25,0.25,0.28,0.288
"P10","Raramente",0.343,0.386,0.413,0.462,0.343
"P10","Nunca",0.114,0.119,0.153,0.145,0.157
"P11","Todos los días",0.197,0.179,0.198,0.139,0.169
"P11","Entre 4 y 6 días a la semana",0.18,0.168,0.165,0.184,0.172
"P11","Entre 1 y 3 días a la semana",0.274,0.239,0.276,0.261,0.176
"P11","Raramente",0.264,0.306,0.288,0.258,0.367
"P11","Nunca",0.085,0.108,0.073,0.158,0.116
"P12","Todos los días",0.327,0.265,0.233,0.187,0.283
"P12","Entre 4 y 6 días a la semana",0.201,0.165,0.225,0.08,0.1
"P12","Entre 1 y 3 días a la semana",0.242,0.228,0.245,0.126,0.239
"P12","Raramente",0.178,0.275,0.225,0.455,0.24
"P12","Nunca",0.052,0.067,0.072,0.152,0.138
"P13","Todos los días",0.079,0.064,0.076,0.064,0.122
"P13","Entre 4 y 6 días a la semana",0.089,0.111,0.135,0.077,0.079
"P13","Entre 1 y 3 días a la semana",0.294,0.281,0.328,0.33,0.281
"P13","Raramente",0.405,0.397,0.34,0.341,0.342
"P13","Nunca",0.133,0.147,0.121,0.188,0.176
"P14","Todos los días",0.282,0.288,0.268,0.239,0.243
"P14","Entre 4 y 6 días a la semana",0.238,0.262,0.235,0.15,0.204
"P14","Entre 1 y 3 días a la semana",0.264,0.24,0.283,0.331,0.223
"P14","Raramente",0.172,0.158,0.182,0.206,0.233
"P14","Nunca",0.044,0.052,0.032,0.074,0.097
"P15","Todos los días",0.127,0.125,0.105,0.213,0.104
"P15","Entre 4 y 6 días a la semana",0.214,0.201,0.214,0.147,0.187
"P15","Entre 1 y 3 días a la semana",0.404,0.362,0.444,0.355,0.385
"P15","Raramente",0.214,0.243,0.205,0.254,0.193
"P15","Nunca",0.041,0.069,0.032,0.031,0.131
"P16","Menos de un vaso al día",0.093,0.075,0.048,0.125,0.099
"P16","De 1 a 4 vasos al día",0.318,0.34,0.317,0.276,0.31
"P16","Más de 4 vasos al día",0.542,0.524,0.59,0.488,0.476
"P16","No consume agua",0.047,0.061,0.045,0.111,0.115
"P17","Agua embotellada/mineral",0.197,0.142,0.15,0.21,0.116
"P17","Agua de la canilla filtrada",0.295,0.269,0.335,0.238,0.323
"P17","Agua de la canilla directamente",0.35,0.438,0.379,0.341,0.413
"P17","Agua de bidón",0.149,0.138,0.131,0.211,0.098
"P17","No consume agua",0.009,0.013,0.005,0,0.05
"P18","Todos los días",0.073,0.052,0.042,0.138,0.098
"P18","Entre 4 y 6 días a la semana",0.063,0.079,0.091,0.05,0.091
"P18","Entre 1 y 3 días a la semana",0.206,0.203,0.222,0.107,0.131
"P18","Raramente",0.346,0.327,0.294,0.374,0.338
"P18","Nunca",0.312,0.339,0.351,0.331,0.342
