"var","categoria","Todos los días","Entre 4 y 6 días a la semana","Entre 1 y 3 días a la semana","Raramente","Nunca"
"P04","Gran excedente habitual",0.012,0.015,0.007,0.006,0.014
"P04","Gran excedente excepcional",0.008,0.002,0.008,0.003,0
"P04","Pequeño excedente habitual",0.045,0.042,0.064,0.036,0.049
"P04","Pequeño excedente excepcional",0.044,0.049,0.083,0.044,0.016
"P04","Alcanza gastos familia",0.141,0.121,0.165,0.12,0.071
"P04","No alcanza gastos familia",0.156,0.154,0.152,0.191,0.187
"P04","Solo NBFamiliares",0.247,0.308,0.275,0.234,0.167
"P04","No alcanza NBFamiliares",0.322,0.292,0.234,0.339,0.468
"P04","No sabe",0.025,0.017,0.012,0.027,0.028
"P05","Todos los días",0.244,0.211,0.177,0.172,0.18
"P05","Entre 4 y 6 días a la semana",0.304,0.338,0.284,0.22,0.147
"P05","Entre 1 y 3 días a la semana",0.216,0.302,0.358,0.345,0.229
"P05","Raramente",0.183,0.114,0.152,0.219,0.273
"P05","Nunca",0.053,0.035,0.029,0.044,0.171
"P06","Todos los días",0.14,0.065,0.069,0.069,0.091
"P06","Entre 4 y 6 días a la semana",0.246,0.247,0.212,0.183,0.116
"P06","Entre 1 y 3 días a la semana",0.292,0.4,0.457,0.389,0.244
"P06","Raramente",0.221,0.233,0.224,0.296,0.35
"P06","Nunca",0.101,0.055,0.038,0.063,0.199
"P07","Todos los días",0.14,0.079,0.063,0.074,0.07
"P07","Entre 4 y 6 días a la semana",0.268,0.256,0.188,0.162,0.143
"P07","Entre 1 y 3 días a la semana",0.341,0.417,0.496,0.397,0.338
"P07","Raramente",0.166,0.193,0.226,0.323,0.232
"P07","Nunca",0.085,0.055,0.027,0.044,0.217
"P08","Todos los días",0.106,0.042,0.039,0.021,0.055
"P08","Entre 4 y 6 días a la semana",0.098,0.129,0.064,0.052,0.077
"P08","Entre 1 y 3 días a la semana",0.16,0.218,0.229,0.144,0.114
"P08","Raramente",0.398,0.405,0.442,0.499,0.28
"P08","Nunca",0.238,0.206,0.226,0.284,0.474
"P09","Todos los días",0.198,0.102,0.061,0.054,0.124
"P09","Entre 4 y 6 días a la semana",0.14,0.2,0.151,0.1,0.054
"P09","Entre 1 y 3 días a la semana",0.218,0.249,0.303,0.239,0.122
"P09","Raramente",0.309,0.35,0.393,0.461,0.341
"P09","Nunca",0.135,0.099,0.092,0.146,0.359
"P10","Todos los días",0.298,0.171,0.164,0.134,0.086
"P10","Entre 4 y 6 días a la semana",0.145,0.25,0.191,0.142,0.077
"P10","Entre 1 y 3 días a la semana",0.204,0.282,0.342,0.253,0.142
"P10","Raramente",0.237,0.238,0.243,0.377,0.355
"P10","Nunca",0.116,0.059,0.06,0.094,0.34
"P11","Todos los días",0.401,0.27,0.272,0.189,0.127
"P11","Entre 4 y 6 días a la semana",0.119,0.234,0.173,0.164,0.094
"P11","Entre 1 y 3 días a la semana",0.158,0.268,0.296,0.247,0.174
"P11","Raramente",0.21,0.173,0.211,0.317,0.278
"P11","Nunca",0.112,0.055,0.048,0.083,0.327
"P12","Todos los días",0.215,0.052,0.045,0.027,0.065
"P12","Entre 4 y 6 días a la semana",0.127,0.213,0.067,0.052,0.086
"P12","Entre 1 y 3 días a la semana",0.22,0.355,0.408,0.213,0.064
"P12","Raramente",0.299,0.301,0.396,0.567,0.337
"P12","Nunca",0.139,0.079,0.084,0.141,0.448
"P13","Todos los días",0.676,0.245,0.211,0.163,0.168
"P13","Entre 4 y 6 días a la semana",0.125,0.446,0.219,0.146,0.115
"P13","Entre 1 y 3 días a la semana",0.101,0.176,0.408,0.301,0.203
"P13","Raramente",0.06,0.112,0.145,0.332,0.273
"P13","Nunca",0.038,0.021,0.017,0.058,0.241
"P15","Menos de un vaso al día",0.295,0.06,0.058,0.065,0.099
"P15","De 1 a 4 vasos al día",0.273,0.446,0.316,0.32,0.307
"P15","Más de 4 vasos al día",0.378,0.472,0.607,0.428,0.449
"P15","No consume agua",0.054,0.022,0.019,0.187,0.145
"P16","Agua embotellada/mineral",0.232,0.13,0.143,0.164,0.135
"P16","Agua de la canilla filtrada",0.299,0.336,0.319,0.261,0.231
"P16","Agua de la canilla directamente",0.375,0.414,0.412,0.421,0.507
"P16","Agua de bidón",0.074,0.114,0.117,0.143,0.095
"P16","No consume agua",0.02,0.006,0.009,0.011,0.032
"P17","Todos los días",0.114,0.052,0.057,0.057,0.095
"P17","Entre 4 y 6 días a la semana",0.118,0.119,0.092,0.054,0.061
"P17","Entre 1 y 3 días a la semana",0.197,0.231,0.215,0.183,0.145
"P17","Raramente",0.29,0.275,0.363,0.357,0.191
"P17","Nunca",0.281,0.323,0.273,0.349,0.508
"P18","Vino",0.249,0.225,0.25,0.226,0.151
"P18","Cerveza",0.147,0.204,0.166,0.135,0.06
"P18","Destilados (whisky, vodka, ron, etc.)",0.089,0.052,0.066,0.039,0.058
"P18","Espumantes",0.046,0.057,0.047,0.074,0.027
"P18","Otros",0.149,0.114,0.105,0.109,0.179
"P18","No consume bebidas alcohólicas",0.32,0.348,0.366,0.417,0.525
"P19","Todos los días",0.197,0.121,0.101,0.099,0.127
"P19","Entre 4 y 6 días a la semana",0.116,0.142,0.095,0.08,0.095
"P19","Entre 1 y 3 días a la semana",0.138,0.202,0.212,0.131,0.073
"P19","Raramente",0.318,0.35,0.392,0.441,0.308
"P19","Nunca",0.231,0.185,0.2,0.249,0.397
"P20","Todos los días",0.54,0.515,0.512,0.478,0.553
"P20","Entre 4 y 6 días a la semana",0.073,0.126,0.103,0.08,0.047
"P20","Entre 1 y 3 días a la semana",0.065,0.109,0.112,0.094,0.059
"P20","Raramente",0.163,0.136,0.16,0.202,0.125
"P20","Nunca",0.159,0.114,0.113,0.146,0.216
"P21","Todos los días",0.603,0.491,0.517,0.449,0.419
"P21","Entre 4 y 6 días a la semana",0.108,0.203,0.172,0.175,0.123
"P21","Entre 1 y 3 días a la semana",0.071,0.162,0.155,0.129,0.109
"P21","Raramente",0.123,0.106,0.118,0.177,0.137
"P21","Nunca",0.095,0.038,0.038,0.07,0.212
"P22","Asado",0.477,0.397,0.426,0.365,0.421
"P22","Pizza",0.088,0.113,0.08,0.101,0.023
"P22","Milanesa",0.125,0.169,0.172,0.159,0.104
"P22","Pastas",0.098,0.111,0.109,0.132,0.088
"P22","Empanadas",0.053,0.031,0.04,0.047,0.109
"P22","Hamburguesa",0.007,0.006,0.012,0.009,0.058
"P22","Ensaladas (de cualquier tipo)",0.04,0.041,0.061,0.067,0.038
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.073,0.082,0.073,0.049,0.067
"P22","Polenta o similares (de cualquier tipo)",0.016,0.027,0.015,0.035,0.028
"P22","Ninguno de los anteriores",0.023,0.023,0.012,0.036,0.064
"P23","Asado",0.165,0.118,0.113,0.094,0.121
"P23","Pizza",0.072,0.071,0.07,0.057,0.079
"P23","Milanesa",0.174,0.174,0.233,0.204,0.115
"P23","Pastas",0.207,0.201,0.192,0.157,0.15
"P23","Empanadas",0.046,0.038,0.033,0.043,0.029
"P23","Hamburguesa",0.016,0.022,0.017,0.02,0.047
"P23","Ensaladas (de cualquier tipo)",0.078,0.081,0.109,0.117,0.093
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.135,0.162,0.114,0.096,0.086
"P23","Polenta o similares (de cualquier tipo)",0.062,0.072,0.064,0.079,0.108
"P23","Ninguno de los anteriores",0.045,0.061,0.055,0.133,0.172
"P24","Helado",0.289,0.268,0.269,0.209,0.293
"P24","Tortas, tartas dulces y masas",0.161,0.149,0.144,0.159,0.17
"P24","Ensalada de frutas",0.157,0.163,0.192,0.155,0.108
"P24","Flan, budín de pan y similares",0.099,0.143,0.125,0.125,0.084
