"var","categoria","Si","No"
"P01","Empleado en relación de dependencia",0.333,0.294
"P01","Jubilado o pensionado",0.274,0.262
"P01","Desempleado",0.215,0.261
"P01","Monotributista o autónomo",0.096,0.098
"P01","Empresario",0.027,0.016
"P01","Estudiante",0.03,0.018
"P01","Otro",0.025,0.051
"P02","Menos de $50.000 mensuales",0.537,0.664
"P02","Entre $50.000 y $100.000 mensuales",0.157,0.134
"P02","Entre $100.000 y $150.000 mensuales",0.127,0.094
"P02","Entre $150.000 y $200.000 mensuales",0.061,0.047
"P02","Entre $200.000 y $250.000 mensuales",0.052,0.022
"P02","Entre $250.000 y $300.000 mensuales",0.023,0.01
"P02","Más de $300.000",0.043,0.029
"P08","Si",0.564,0.35
"P08","No",0.436,0.65
"P09","1",0.488,0.301
"P09","2",0.182,0.214
"P09","3",0.021,0.04
"P09","4",0.01,0.028
"P09","5",0.063,0.097
"P09","6",0.051,0.014
"P09","7",0.005,0.022
"P09","8",0.032,0.055
"P09","9",0.148,0.229
"P10","Muy convenientes",0.168,0.093
"P10","Bastante convenientes",0.069,0.058
"P10","Algo convenientes",0.079,0.093
"P10","Poco convenientes",0.196,0.2
"P10","Nada convenientes",0.386,0.412
"P10","No sabe",0.102,0.144
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.153,0.157
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.62,0.57
"P11","No sabe",0.227,0.273
"P12","Si",0.659,0.613
"P12","No",0.341,0.387
"P13","Banco Publico o cooperativo",0.777,0.605
"P13","Banco privado",0.195,0.283
"P13","No sabe",0.028,0.112
"P14","Banco Nacion",0.574,0.398
"P14","Banco Provincia",0.07,0.294
"P14","Banco Ciudad",0.053,0.035
"P14","Bancor, Banco de Cordoba",0.046,0.016
"P14","Nuevo Banco de Santa Fe",0,0.006
"P14","Credicoop",0.006,0.022
"P14","Otro",0.251,0.229
"P15","Santander",0.125,0.202
"P15","Galicia",0.476,0.25
"P15","Macro",0.167,0.063
"P15","Frances",0.167,0.154
"P15","ICBC",0,0.047
"P15","Patagonia",0,0.091
"P15","No sabe",0.065,0.193
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.318,0.279
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.377,0.362
"P16","No sabe",0.305,0.359
"P17","Porque son mas seguras",0.283,0.182
"P17","Porque los costos del servicio son menores",0.264,0.266
"P17","Porque tienen mas clientes adheridos",0.161,0.148
"P17","Porque la calidad de la aplicación",0.058,0.068
"P17","Por la calidad de la atención al cliente",0.005,0.044
"P17","Por la eficiencia en la solución de reclamos",0.022,0.017
"P17","No sabe",0.207,0.275
"P18","Si, las conozco",0.454,0.326
"P18","No, no las conozco",0.546,0.674
"P19","Si",0.553,0.439
"P19","No",0.447,0.561
"P20","MODO",0.365,0.204
"P20","Cuenta DNI",0.136,0.192
"P20","Mercado de Pago",0.304,0.348
"P20","Ualá",0.01,0.026
"P20","Brubank",0.001,0.007
"P20","Naranja X",0,0.042
"P20","Otra",0.184,0.181
"P21","Para pagar en comercios con el celular",0.436,0.392
"P21","Para transferir / enviar o recibir dinero de terceros",0.267,0.312
"P21","Para usarla para trabajar / cobrar / vender",0.146,0.204
"P21","Para pagar servicios",0.073,0.037
"P21","Para extraer dinero sin tarjeta",0,0.004
"P21","Para recargar el celular / tarjeta de transporte",0.078,0.051
"P22","Usas más efectivo que antes",0.16,0.163
"P22","Usas la misma cantidad de efectivo que antes",0.283,0.273
"P22","Usas menos efectivo que antes",0.557,0.564
"P23","Tener mayor control de tus gastos",0.385,0.392
"P23","Tener igual control de tus gastos",0.406,0.442
"P23","Tener menor control de tus gastos",0.209,0.166
"P24","Muy de acuerdo",0.429,0.408
"P24","De acuerdo",0.29,0.267
"P24","Algo de acuerdo",0.209,0.174
"P24","Poco de acuerdo",0.019,0.077
"P24","Nada de acuerdo",0.053,0.074
"P25","Deberían mantenerse y ampliarse aún mas",0.353,0.285
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.461,0.506
"P25","Deberian limitarse a los estrictamente necesarios",0.101,0.092
"P25","Deberian eliminarse y volverse a la situación anterior",0.085,0.117
"P26","Sí, compraría",0.303,0.204
"P26","No, no tengo suficiente información",0.462,0.548
"P26","No, me resulta una inversión riesgosa",0.055,0.101
"P26","No, me parece una inversión poco confiable",0.067,0.06
"P26","No me interesa",0.113,0.087
"P27","Si",0.259,0.248
"P27","No",0.741,0.752
"P28","Muy seguro",0.329,0.24
"P28","Bastante seguro",0.361,0.274
"P28","Seguro",0.071,0.191
"P28","Poco seguro",0.075,0.074
"P28","Nada seguro",0.08,0.049
"P28","No hago operaciones online",0.084,0.172
"P29","Sí, he sido víctima",0.305,0.23
"P29","No, no he sido víctima",0.605,0.681
"P29","No sabe",0.09,0.089
"P30","Estafa por redes sociales",0.422,0.268
"P30","Estafa telefónica",0.3,0.28
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.101,0.069
"P30","Virus",0,0.016
"P30","Otros",0.177,0.367
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.246,0.18
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.4,0.338
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.183,0.269
"P31","No sabe",0.171,0.213
"P32","Si, he limitado las operaciones",0.276,0.202
"P32","He limitado parcialmente",0.213,0.218
"P32","No, continúo operando igual que siempre",0.511,0.58
"P33","1",0.302,0.314
"P33","2",0.207,0.095
"P33","3",0.158,0.173
"P33","4",0.014,0.042
"P33","5",0.143,0.15
"P33","6",0.024,0.048
"P33","7",0.066,0.015
"P33","8",0.027,0.036
"P33","9",0.059,0.127
"P34","1",0.357,0.368
"P34","2",0.13,0.076
"P34","3",0.05,0.079
"P34","4",0.019,0.091
"P34","5",0.21,0.171
"P34","6",0.056,0.021
"P34","7",0.057,0.042
"P34","8",0.057,0.053
"P34","9",0.064,0.099
"P35","1",0.402,0.258
"P35","2",0.081,0.05
"P35","3",0.029,0.049
"P35","4",0.022,0.061
"P35","5",0.17,0.127
"P35","6",0.024,0.043
"P35","7",0.058,0.078
"P35","8",0.061,0.069
"P35","9",0.153,0.265
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.368,0.271
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.279,0.22
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.195,0.22
"P36","No sabe",0.158,0.289
"P37","Muy buena",0.118,0.14
"P37","Buena",0.081,0.103
"P37","Ni buena ni mala",0.091,0.169
"P37","Mala",0.17,0.203
"P37","Muy mala",0.509,0.353
"P37","No sabe",0.031,0.032
"P38","Gran excedente habitual",0.005,0.001
"P38","Gran excedente excepcional",0,0.007
"P38","Pequeño excedente habitual",0.065,0.036
"P38","Pequeño excedente excepcional",0.063,0.041
"P38","Alcanza gastos familia",0.107,0.092
"P38","No alcanza gastos familia",0.193,0.221
"P38","Solo NBFamiliares",0.209,0.23
"P38","No alcanza NBFamiliares",0.35,0.347
"P38","No sabe",0.008,0.025
"P39","Mejor",0.105,0.095
"P39","Igual",0.167,0.259
"P39","Peor",0.612,0.522
"P39","No sabe",0.116,0.124
