"var","categoria","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN","En blanco","No sabe"
"P05","Mucho",0.438,0.355,0.346,0.346,0.406,0.399,0.251
"P05","Bastante",0.29,0.335,0.312,0.173,0.138,0.198,0.264
"P05","Poco",0.168,0.15,0.186,0.222,0.075,0.114,0.219
"P05","Nada",0.09,0.13,0.096,0.163,0.234,0.289,0.208
"P05","No sabe",0.014,0.03,0.06,0.096,0.147,0,0.058
"P06","Siempre",0.257,0.217,0.281,0.16,0.441,0.215,0.148
"P06","Casi siempre",0.302,0.265,0.161,0.197,0.178,0.214,0.175
"P06","Casi nunca",0.264,0.31,0.397,0.312,0.126,0.246,0.315
"P06","Nunca, pero esta es una excepción",0.177,0.208,0.161,0.331,0.255,0.325,0.362
"P08","Unión por la Patria",0.457,0.106,0.053,0.222,0.094,0.067,0.102
"P08","Juntos por el Cambio",0.173,0.642,0.128,0.009,0.09,0.088,0.068
"P08","De los Liberales libertarios",0.103,0.131,0.573,0.046,0.249,0.132,0.075
"P08","De la Izquierda",0.026,0.02,0.016,0.536,0.076,0.112,0.014
"P08","Hacemos por nuestro país",0.015,0.005,0.032,0.03,0.087,0,0.052
"P08","Otro",0.083,0.026,0.083,0.079,0.216,0.129,0.136
"P08","En blanco",0.029,0.023,0.064,0.06,0.006,0.386,0.181
"P08","No sabe",0.114,0.047,0.051,0.018,0.182,0.086,0.372
"P11","Arriba Chubut",0.592,0.13,0.108,0.127,0,0.021,0.011
"P11","Juntos por el Cambio Chubut",0.174,0.701,0.106,0.031,0.129,0.056,0.102
"P11","Por la Libertad Independiente Chubutense",0.051,0.084,0.531,0.092,0.226,0.029,0.029
"P11","Frente de Izquierda",0.032,0.003,0.014,0.553,0.143,0.171,0.036
"P11","Generación para un Encuentro Nacional",0,0,0.005,0.076,0.258,0,0
"P11","Otro",0.039,0.011,0.129,0.03,0.055,0.174,0.094
"P11","En blanco",0.028,0.037,0.013,0.079,0,0.506,0.295
"P11","No sabe",0.084,0.034,0.094,0.012,0.189,0.043,0.433
"P17","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.742,0.137,0.169,0.246,0.107,0,0.083
"P17","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.087,0.673,0.092,0.054,0,0.048,0.145
"P17","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.12,0.11,0.709,0.106,0.062,0.147,0.138
"P17","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.007,0.019,0.013,0.457,0.06,0.029,0
"P17","A Oscar Petersen gobernador por el GEN",0.006,0.015,0,0.009,0.522,0.015,0
"P17","En blanco",0.012,0.006,0.003,0.029,0.055,0.684,0.059
"P17","No sabe",0.026,0.04,0.014,0.099,0.194,0.077,0.575
"P20","La votaría",0.723,0.119,0.139,0.287,0.019,0.06,0.028
"P20","Puede que la vote",0.169,0.086,0.162,0.1,0.339,0.04,0.092
"P20","Nunca la votaría",0.067,0.735,0.65,0.387,0.336,0.763,0.422
"P20","No sabe",0.041,0.06,0.049,0.226,0.306,0.137,0.458
"P21","La votaría",0.125,0.686,0.091,0.207,0,0.007,0.037
"P21","Puede que la vote",0.114,0.137,0.202,0.081,0.218,0.054,0.086
"P21","Nunca la votaría",0.662,0.115,0.665,0.498,0.637,0.644,0.423
"P21","No sabe",0.099,0.062,0.042,0.214,0.145,0.295,0.454
"P22","La votaría",0.055,0.132,0.659,0.184,0.101,0,0.023
"P22","Puede que la vote",0.081,0.159,0.17,0.077,0.221,0.053,0.065
"P22","Nunca la votaría",0.721,0.627,0.148,0.588,0.511,0.679,0.484
"P22","No sabe",0.143,0.082,0.023,0.151,0.167,0.268,0.428
"P23","La votaría",0.034,0.044,0.163,0.367,0.101,0.032,0.017
"P23","Puede que la vote",0.122,0.108,0.104,0.166,0.25,0,0.037
"P23","Nunca la votaría",0.628,0.742,0.619,0.269,0.598,0.723,0.425
"P23","No sabe",0.216,0.106,0.114,0.198,0.051,0.245,0.521
"P24","La votaría",0.033,0.034,0.044,0.14,0.403,0,0.051
"P24","Puede que la vote",0.088,0.102,0.096,0.079,0.233,0.033,0.106
"P24","Nunca la votaría",0.674,0.737,0.709,0.633,0.364,0.711,0.365
"P24","No sabe",0.205,0.127,0.151,0.148,0,0.256,0.478
"P25","Si",0.438,0.423,0.313,0.406,0.19,0.233,0.269
"P25","No",0.562,0.577,0.687,0.594,0.81,0.767,0.731
