"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P09","Siempre",0.373,0.218,0.328,0.201
"P09","Casi siempre",0.309,0.381,0.301,0.344
"P09","Casi nunca",0.233,0.272,0.274,0.295
"P09","Nunca, pero esta es una excepción",0.085,0.129,0.097,0.16
"P10","Camau Espinola por Unión por la patria",0.07,0.124,0.085,0.122
"P10","German Brailard por Unión por la patria",0.079,0.043,0.018,0.037
"P10","Juan Pablo Valdes por Juntos por el cambio",0.204,0.207,0.297,0.229
"P10","Eduardo Tassano por Juntos por el cambio",0.095,0.056,0.081,0.048
"P10","Pitin Aragon por Unión por la patria",0.125,0.064,0.047,0.051
"P10","Tincho Ascua por Unión por la patria",0.071,0.073,0.023,0.037
"P10","Emiliano Fernandez por Unión por la patria",0.138,0.03,0.014,0.012
"P10","Ricardo Colombi por Juntos por el cambio",0.163,0.181,0.205,0.111
"P10","Noelia Bassi por Juntos por el cambio",0.006,0.038,0.073,0.029
"P10","No sabe",0.049,0.184,0.157,0.324
"P14","Lo votaría",0.3,0.165,0.078,0.154
"P14","Puede que lo vote",0.315,0.213,0.101,0.156
"P14","Nunca lo votaría",0.319,0.481,0.745,0.372
"P14","No sabe",0.066,0.141,0.076,0.318
"P15","Lo votaría",0.218,0.101,0.044,0.026
"P15","Puede que lo vote",0.36,0.263,0.105,0.242
"P15","Nunca lo votaría",0.346,0.471,0.745,0.302
"P15","No sabe",0.076,0.165,0.106,0.43
"P16","Lo votaría",0.288,0.252,0.31,0.182
"P16","Puede que lo vote",0.241,0.254,0.151,0.26
"P16","Nunca lo votaría",0.393,0.342,0.421,0.214
"P16","No sabe",0.078,0.152,0.118,0.344
"P17","Lo votaría",0.18,0.111,0.146,0.101
"P17","Puede que lo vote",0.285,0.286,0.182,0.236
"P17","Nunca lo votaría",0.467,0.44,0.579,0.285
"P17","No sabe",0.068,0.163,0.093,0.378
"P18","Lo votaría",0.144,0.047,0.025,0.044
"P18","Puede que lo vote",0.339,0.269,0.053,0.123
"P18","Nunca lo votaría",0.426,0.502,0.805,0.302
