"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Al candidato del Frente de Todos",0.775,0.34,0.066,0.321
"P07","Al candidato de Juntos por el Cambio",0.066,0.411,0.536,0.089
"P07","Al candidato de los liberales - libertarios",0.056,0.127,0.284,0.23
"P07","Al candidato de Consenso Federal",0.018,0.003,0,0
"P07","Al candidato de la Izquierda",0,0.019,0.008,0
"P07","A otro candidato",0.015,0.01,0.098,0.09
"P07","No sabe",0.07,0.09,0.008,0.27
"P08","A Ariel Sujarchuk por el Frente de Todos",0.926,0.304,0.094,0.229
"P08","A Roberto Costa por Juntos por el cambio",0.046,0.403,0.354,0.067
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.013,0.085,0.161,0.145
"P08","A Jesica Avejera por Juntos por el Cambio",0,0.139,0.046,0
"P08","A Ricardo Choffi por  Consenso Federal",0,0.004,0.007,0.057
"P08","A Griselda Romariz por los liberales libertarios",0,0.039,0.225,0.093
"P08","A Sandro Salazar por el Frente de Izquierda",0.005,0.007,0.005,0
"P08","No sabe",0.01,0.019,0.108,0.409
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.663,0.197,0.038,0.241
"P09","A Roberto Costa por Juntos por el cambio",0.099,0.37,0.339,0.067
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.024,0.117,0.201,0.116
"P09","A Jesica Avejera por Juntos por el Cambio",0.001,0.138,0.044,0
"P09","A Ricardo Choffi por Consenso Federal",0.02,0.014,0.01,0.075
"P09","A Griselda Romariz por los liberales libertarios",0.046,0.044,0.244,0.105
"P09","A Sandro Salazar por el Frente de Izquierda",0.008,0.001,0.007,0.002
"P09","No sabe",0.139,0.119,0.117,0.394
"P10","A Ariel Sujarchuk por el Frente de Todos",0.894,0.316,0.056,0.224
"P10","A Roberto Costa por Juntos por el Cambio",0.049,0.475,0.494,0.059
"P10","A Ricardo Choffi por Consenso Federal",0.015,0.041,0.041,0.116
"P10","A Griselda Romariz por los liberales libertarios",0.001,0.03,0.203,0.106
"P10","A Sandro Salazar por el Frente de Izquierda",0.023,0.007,0.008,0.018
"P10","No sabe",0.018,0.131,0.198,0.477
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.757,0.256,0.062,0.217
"P12","A Roberto Costa por Juntos por el Cambio",0.077,0.439,0.485,0.059
"P12","A Ricardo Choffi por Consenso Federal",0.008,0.016,0.019,0.045
