"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.779,0.505,0.113,0.203
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.088,0.137,0.185,0.176
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.074,0.063,0.322,0.064
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.025,0.063,0.238,0.179
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.01,0.059,0.038,0.051
"P05","En blanco",0.007,0.024,0.036,0.029
"P05","No sabe",0.017,0.149,0.068,0.298
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.755,0.449,0.076,0.155
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.034,0.074,0.162,0.151
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.11,0.074,0.326,0.044
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.051,0.135,0.283,0.222
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.015,0.081,0.035,0.066
"P06","En blanco",0.015,0.035,0.041,0.033
"P06","No sabe",0.02,0.152,0.077,0.329
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.779,0.503,0.077,0.193
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.033,0.08,0.125,0.146
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.115,0.083,0.366,0.062
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.055,0.13,0.277,0.21
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.001,0.059,0.033,0.066
"P07","En blanco",0.006,0.031,0.048,0.027
"P07","No sabe",0.011,0.114,0.074,0.296
"P08","Los votaría",0.244,0.121,0.31,0.049
"P08","Puede que los vote",0.035,0.113,0.244,0.134
"P08","Nunca los votaría",0.7,0.688,0.367,0.393
"P08","No sabe",0.021,0.078,0.079,0.424
"P09","Los votaría",0.138,0.089,0.22,0.089
"P09","Puede que los vote",0.094,0.162,0.243,0.118
"P09","Nunca los votaría",0.759,0.705,0.463,0.339
"P09","No sabe",0.009,0.044,0.074,0.454
"P10","Los votaría",0.218,0.04,0.271,0.02
"P10","Puede que los vote",0.005,0.241,0.24,0.092
"P10","Nunca los votaría",0.772,0.69,0.396,0.363
"P10","No sabe",0.005,0.029,0.093,0.525
"P12","Los votaría",0.266,0.092,0.302,0.043
"P12","Puede que los vote",0.032,0.213,0.212,0.058
"P12","Nunca los votaría",0.688,0.68,0.448,0.393
"P12","No sabe",0.014,0.015,0.038,0.506
"P13","Los votaría",0.137,0.073,0.2,0.095
"P13","Puede que los vote",0.09,0.202,0.295,0.099
"P13","Nunca los votaría",0.755,0.678,0.46,0.419
"P13","No sabe",0.018,0.047,0.045,0.387
