"var","categoria","Si","No"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.29,0.298
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.18,0.144
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.251,0.249
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.157,0.162
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.025,0.036
"P05","En blanco",0.027,0.022
"P05","No sabe",0.07,0.089
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.249,0.248
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.143,0.118
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.252,0.277
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.213,0.194
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.033,0.041
"P06","En blanco",0.034,0.032
"P06","No sabe",0.076,0.09
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.267,0.264
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.111,0.101
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.293,0.294
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.198,0.193
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.028,0.032
"P07","En blanco",0.031,0.028
"P07","No sabe",0.072,0.088
"P08","Los votaría",0.265,0.268
"P08","Puede que los vote",0.204,0.184
"P08","Nunca los votaría",0.469,0.466
"P08","No sabe",0.062,0.082
"P09","Los votaría",0.176,0.187
"P09","Puede que los vote",0.25,0.21
"P09","Nunca los votaría",0.516,0.535
"P09","No sabe",0.058,0.068
"P10","Los votaría",0.211,0.224
"P10","Puede que los vote",0.235,0.188
"P10","Nunca los votaría",0.48,0.497
"P10","No sabe",0.074,0.091
"P11","Los votaría",0.16,0.166
"P11","Puede que los vote",0.168,0.135
"P11","Nunca los votaría",0.62,0.63
"P11","No sabe",0.052,0.069
"P12","Los votaría",0.269,0.245
"P12","Puede que los vote",0.191,0.182
"P12","Nunca los votaría",0.489,0.53
"P12","No sabe",0.051,0.043
"P13","Los votaría",0.181,0.153
"P13","Puede que los vote",0.267,0.251
"P13","Nunca los votaría",0.511,0.538
"P13","No sabe",0.041,0.058
"P14","Los votaría",0.18,0.188
"P14","Puede que los vote",0.241,0.204
"P14","Nunca los votaría",0.505,0.524
"P14","No sabe",0.074,0.084
"P15","Los votaría",0.155,0.168
"P15","Puede que los vote",0.156,0.156
"P15","Nunca los votaría",0.636,0.616
"P15","No sabe",0.053,0.06
"P16","Los votaría",0.197,0.179
"P16","Puede que los vote",0.213,0.201
"P16","Nunca los votaría",0.531,0.54
"P16","No sabe",0.059,0.08
"P17","Los votaría",0.125,0.134
"P17","Puede que los vote",0.258,0.224
"P17","Nunca los votaría",0.551,0.558
"P17","No sabe",0.066,0.084
"P18","Los votaría",0.248,0.248
"P18","Puede que los vote",0.195,0.178
"P18","Nunca los votaría",0.522,0.501
"P18","No sabe",0.035,0.073
"P19","Los votaría",0.242,0.224
"P19","Puede que los vote",0.118,0.119
"P19","Nunca los votaría",0.609,0.614
"P19","No sabe",0.031,0.043
"P20","Los votaría",0.284,0.245
"P20","Puede que los vote",0.192,0.183
"P20","Nunca los votaría",0.488,0.512
"P20","No sabe",0.036,0.06
"P21","Ricardo López Murphy",0.197,0.193
"P21","Rodolfo Suárez",0.041,0.043
"P21","Rodrigo de Loredo",0.129,0.134
"P21","Maximiliano Abad",0.028,0.02
"P21","Luis Naidenoff",0.027,0.026
"P21","Martín Tetaz",0.083,0.059
"P21","José Luis Espert",0.122,0.144
"P21","No sabe",0.373,0.381
"P22","Gustavo Valdés",0.052,0.048
"P22","Gerardo Morales",0.12,0.123
"P22","María Eugenia Vidal",0.149,0.155
"P22","Cristian Ritondo",0.03,0.027
"P22","Emilio Monzó",0.045,0.021
"P22","Martín Lousteau",0.116,0.12
"P22","Juan Schiaretti",0.042,0.045
"P22","Soledad Acuña",0.153,0.187
"P22","No sabe",0.293,0.274
"P23","Wado De Pedro",0.22,0.186
"P23","Victoria Tolosa Paz",0.106,0.122
"P23","Sergio Uñac",0.052,0.059
"P23","Fernanda Raverta",0.021,0.018
"P23","Anabel Fernández Sagasti",0.025,0.03
"P23","Gustavo Bordet",0.021,0.017
"P23","Juan Manzur",0.049,0.039
"P23","No sabe",0.506,0.529
