"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0,0,0.017
"P08","Bastante seguro",0.484,0,0.026
"P08","Algo seguro",0.494,0.631,0.026
"P08","Para nada seguro",0.022,0.369,0.931
"P09","Tiene Decidido que va a ir a votar",0.494,1,0.249
"P09","Tiene dudas sobre si va a ir a  votar",0.022,0,0.465
"P09","Tiene Decidido que no va a ir a votar",0.484,0,0.286
"P10","Lo votaría",0.494,0,0
"P10","Puede que lo vote",0.506,0.319,0.299
"P10","Nunca lo votaría",0,0.312,0.177
"P10","No sabe",0,0.369,0.524
"P11","Lo votaría",0.494,0,0
"P11","Puede que lo vote",0,0.631,0.204
"P11","Nunca lo votaría",0.506,0,0.235
"P11","No sabe",0,0.369,0.561
