"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.304,0.26,0.468,0.293
"P05","Bastante",0.406,0.33,0.337,0.162
"P05","Poco",0.212,0.275,0.145,0.468
"P05","Nada",0.068,0.078,0.047,0.077
"P05","No sabe",0.01,0.057,0.003,0
"P06","Siempre",0.274,0.17,0.239,0.237
"P06","Casi siempre",0.346,0.419,0.433,0.498
"P06","Casi nunca",0.23,0.305,0.24,0.113
"P06","Nunca, pero esta es una excepción",0.15,0.106,0.088,0.152
"P08","Unión por la Patria y el peronismo",0.144,0.326,0.583,0.337
"P08","Juntos por el Cambio",0.64,0.339,0.109,0.077
"P08","De los Liberales libertarios",0.096,0.16,0.153,0.058
"P08","De la Izquierda",0.018,0.003,0.027,0.075
"P08","No sabe",0.102,0.172,0.128,0.453
"P09","A Sergio Massa",0.668,0.456,0.27,0.439
"P09","A Daniel Scioli",0.071,0.245,0.111,0
"P09","A algún candidato del peronismo",0.261,0.079,0.074,0.561
"P09","Wado de Pedro",0,0.22,0.545,0
"P10","A Horacio Rodriguez Larreta",0.334,0.028,0.033,0
"P10","A Patricia Bullrich",0.649,0.927,0.882,0.409
"P10","A Facundo Manes",0.017,0.02,0.071,0.591
"P10","A Gerardo Morales",0,0.025,0.014,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.102,0.171,0.242,0.309
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.035,0.109,0.377,0.041
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.48,0.303,0.114,0.038
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.223,0.125,0.011,0.039
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.112,0.104,0.153,0.16
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.001,0.011,0.034
"P11","En blanco",0,0.025,0.017,0.006
"P11","No sabe",0.048,0.162,0.075,0.373
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.089,0.261,0.39,0.309
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.046,0.123,0.212,0.01
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.077,0.099,0.047,0
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.436,0.225,0.081,0.077
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.259,0.033,0.053,0.056
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.038,0.11,0.122,0.145
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.03,0.011,0.019
"P13","En blanco",0.045,0.046,0.042,0.035
"P13","No sabe",0.01,0.073,0.042,0.349
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.097,0.321,0.505,0.309
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.6,0.32,0.094,0.087
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.121,0.18,0.16,0.147
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.01,0.032,0.019,0.033
"P14","En blanco",0.068,0.047,0.064,0.041
"P14","No sabe",0.104,0.1,0.158,0.383
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.084,0.312,0.555,0.188
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.68,0.303,0.057,0.04
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.121,0.16,0.171,0.18
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.017,0.016,0.014,0.04
"P15"," En blanco",0.068,0.057,0.082,0
"P15","No sabe",0.03,0.152,0.121,0.552
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.109,0.268,0.543,0.315
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.627,0.344,0.101,0.079
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.114,0.206,0.155,0.141
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.01,0.005,0.028,0.04
"P16","En blanco",0.064,0.091,0.079,0.041
"P16","No sabe",0.076,0.086,0.094,0.384
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.077,0.316,0.559,0.315
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.699,0.264,0.065,0.04
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.111,0.237,0.174,0.097
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.01,0.054,0.015,0.034
"P17","En blanco",0.071,0.102,0.098,0.041
"P17","No sabe",0.032,0.027,0.089,0.473
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.101,0.327,0.565,0.315
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.652,0.282,0.08,0.087
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.079,0.121,0.146,0.043
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.018,0.055,0.017,0.034
"P18","En blanco",0.033,0.065,0.077,0.056
"P18","No sabe",0.117,0.15,0.115,0.465
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.101,0.333,0.575,0.195
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.672,0.285,0.066,0.087
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.077,0.137,0.149,0.141
