"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.204,0.171,0.234,0.233,0.191,0.185,0.206,0.191,0.229,0.171,0.373,0.099,0.159,0.293,0.172,0.193,0.08,0
"Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.054,0.067,0.042,0.058,0.058,0.046,0.049,0.053,0.058,0.046,0.08,0.016,0.048,0.069,0.021,0.142,0.06,0
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.142,0.12,0.163,0.101,0.141,0.198,0.146,0.148,0.13,0.161,0.24,0.05,0.171,0.25,0.025,0.032,0.13,0.533
"Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.036,0.035,0.037,0.013,0.058,0.043,0.021,0.031,0.024,0.072,0.052,0.004,0.082,0.058,0.035,0.024,0.129,0
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.148,0.185,0.114,0.128,0.118,0.203,0.177,0.172,0.115,0.182,0.049,0.376,0.055,0.131,0.292,0.055,0,0.082
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.094,0.066,0.12,0.092,0.105,0.087,0.081,0.085,0.099,0.097,0.026,0.195,0.133,0.034,0.217,0.212,0.366,0.132
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.122,0.169,0.079,0.16,0.143,0.095,0.046,0.045,0.188,0.107,0.059,0.186,0.081,0.062,0.148,0.138,0,0.147
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.026,0.019,0.031,0.021,0.042,0.007,0.02,0.025,0.015,0.048,0.015,0.016,0.017,0.014,0.005,0.126,0.175,0.106
"En blanco",0.039,0.042,0.036,0.061,0.011,0.036,0.064,0.062,0.024,0.032,0.016,0.014,0.071,0.015,0.029,0.054,0.06,0
"No sabe",0.135,0.126,0.144,0.133,0.133,0.1,0.19,0.188,0.118,0.084,0.09,0.044,0.183,0.074,0.056,0.024,0,0
