"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.254,0.262,0.235,0.085,0.169
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.04,0.038,0.019,0.056,0.043
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.159,0.197,0.109,0.091,0.069
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.055,0.032,0.025,0.07,0.073
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.191,0.221,0.198,0.185,0.091
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.072,0.067,0.135,0.086,0.037
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.169,0.135,0.152,0.213,0.301
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.041,0.03,0.057,0.104,0.197
"P10_imputadas","En blanco",0.019,0.018,0.07,0.11,0.02
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.438,0.443,0.317,0.193,0.387
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.242,0.288,0.267,0.26,0.124
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.169,0.162,0.191,0.241,0.146
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.079,0.07,0.086,0.076,0.203
"P13_imputadas","En blanco",0.072,0.037,0.139,0.23,0.14
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.384,0.468,0.404,0.226,0.186
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.29,0.248,0.324,0.25,0.398
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.215,0.166,0.15,0.287,0.237
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.062,0.055,0.064,0.11,0.067
"P16_imputadas","En blanco",0.049,0.063,0.058,0.127,0.112
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.498,0.405,0.402,0.179,0.212
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.246,0.282,0.271,0.342,0.367
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.172,0.151,0.202,0.189,0.224
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.062,0.065,0.112,0.134
"P19_imputadas","En blanco",0.065,0.1,0.06,0.178,0.063
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.381,0.38,0.335,0.182,0.241
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.265,0.224,0.353,0.351,0.479
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.23,0.188,0.19,0.21,0.178
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.042,0.043,0.039,0.099,0.074
"P22_imputadas","En blanco",0.082,0.165,0.083,0.158,0.028
