"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco"
"P05","Mucho",0.39,0.304,0.294,0.304,0.204
"P05","Bastante",0.265,0.244,0.189,0.181,0.071
"P05","Poco",0.189,0.225,0.221,0.222,0.263
"P05","Nada",0.108,0.205,0.261,0.183,0.407
"P05","No sabe",0.048,0.022,0.035,0.11,0.055
"P06","Siempre",0.207,0.162,0.181,0.096,0.078
"P06","Casi siempre",0.291,0.289,0.193,0.256,0.092
"P06","Casi nunca",0.299,0.295,0.258,0.341,0.396
"P06","Nunca, pero esta es una excepción",0.203,0.254,0.368,0.307,0.434
"P09","Unión por la Patria",0.689,0.137,0.162,0.283,0.089
"P09","Juntos por el Cambio",0.071,0.659,0.106,0.012,0.176
"P09","De los Liberales libertarios",0.016,0.06,0.484,0.018,0
"P09","De la Izquierda",0.02,0.016,0.03,0.298,0.018
"P09","Hacemos por nuestro pais",0.033,0.012,0.017,0.057,0.039
"P09","Otro",0.023,0.007,0.051,0.047,0.081
"P09","En blanco",0.012,0.015,0.029,0,0.266
"P09","No sabe",0.136,0.094,0.121,0.285,0.331
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.44,0.07,0.094,0.173,0.048
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.036,0.02,0.022,0.054,0.067
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.217,0.072,0.015,0.311,0.06
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.051,0.01,0.017,0.054,0.102
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.121,0.473,0.119,0.034,0.116
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.03,0.194,0.089,0.073,0.082
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.062,0.11,0.613,0.088,0.042
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.037,0.027,0.016,0.201,0.175
"P10_imputadas","En blanco",0.006,0.024,0.015,0.012,0.308
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.694,0.155,0.171,0.313,0.167
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.118,0.621,0.191,0.15,0.32
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.125,0.168,0.564,0.087,0.035
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.017,0.018,0.06,0.423,0.12
"P16_imputadas","En blanco",0.046,0.038,0.014,0.027,0.358
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.743,0.212,0.123,0.397,0.124
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.099,0.592,0.182,0.174,0.37
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.054,0.102,0.615,0.07,0.069
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.044,0.02,0.033,0.266,0.102
"P19_imputadas","En blanco",0.06,0.074,0.047,0.093,0.335
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.594,0.116,0.175,0.338,0.284
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.145,0.611,0.199,0.138,0.273
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.137,0.159,0.503,0.1,0.088
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.029,0.018,0.04,0.417,0
"P22_imputadas","En blanco",0.095,0.096,0.083,0.007,0.355
"P25","Totalmente seguro",0.693,0.601,0.558,0.386,0.496
"P25","Bastante seguro",0.117,0.178,0.178,0.179,0.093
"P25","Algo seguro",0.103,0.116,0.136,0.152,0.129
"P25","Para nada seguro",0.087,0.105,0.128,0.283,0.282
"P26","Tiene Decidido que va a ir a votar",0.873,0.86,0.875,0.845,0.705
"P26","Tiene dudas sobre si va a ir a  votar",0.079,0.088,0.097,0.147,0.217
"P26","Tiene Decidido que no va a ir a votar",0.048,0.052,0.028,0.008,0.078
"P27","Si",0.944,0.968,1,0.952,1
"P27","No",0.056,0.032,0,0.048,0
