"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.209,0.324,0.134
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.039,0.074,0.01
"P10_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.151,0.018,0.025
"P10_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.042,0.055,0.027
"P10_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.214,0.207,0.149
"P10_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.098,0.032,0.05
"P10_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.18,0.138,0.462
"P10_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.047,0.082,0.012
"P10_imputadas","En blanco",0.02,0.07,0.131
"P13_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.362,0.271,0.378
"P13_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.288,0.244,0.33
"P13_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.205,0.189,0.122
"P13_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.069,0.101,0.012
"P13_imputadas","En blanco",0.076,0.195,0.158
"P16_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.378,0.316,0.169
"P16_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.28,0.362,0.342
"P16_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.22,0.138,0.292
"P16_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.06,0.105,0.012
"P16_imputadas","En blanco",0.062,0.079,0.185
"P19_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.411,0.349,0.187
"P19_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.267,0.349,0.209
"P19_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.181,0.167,0.264
"P19_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.053,0.026,0.059
"P19_imputadas","En blanco",0.088,0.109,0.281
"P22_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.333,0.271,0.362
"P22_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.308,0.295,0.077
"P22_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.209,0.24,0.278
"P22_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.05,0.051,0.012
"P22_imputadas","En blanco",0.1,0.143,0.271
