"var","categoria","Robo en vivienda, en su presencia","Robo en vivienda, en su ausencia","Robo de auto","Robo de moto","Robo de bicicleta","Vandalismo, como pintura de paredes, rotura de vidrios, o similares","Otro tipo de delito a la propiedad"
"P04","Gran excedente habitual",0.014,0.001,0.029,0,0.059,0.004,0.009
"P04","Gran excedente excepcional",0.001,0.001,0,0.036,0,0.005,0
"P04","Pequeño excedente habitual",0.005,0.014,0.035,0,0.013,0.009,0.03
"P04","Pequeño excedente excepcional",0.022,0.015,0.03,0.047,0.005,0.037,0.016
"P04","Alcanza gastos familia",0.077,0.078,0.074,0.079,0.095,0.053,0.11
"P04","No alcanza gastos familia",0.13,0.191,0.117,0.117,0.11,0.195,0.113
"P04","Solo NBFamiliares",0.172,0.194,0.242,0.162,0.135,0.201,0.159
"P04","No alcanza NBFamiliares",0.562,0.499,0.473,0.559,0.576,0.481,0.528
"P04","No sabe",0.017,0.007,0,0,0.007,0.015,0.035
"P07","Muy seguro",0.263,0.076,0.047,0.093,0.021,0.009,0.09
"P07","Algo seguro",0.118,0.238,0.122,0.086,0.181,0.11,0.177
"P07","Seguro",0.071,0.046,0.143,0,0.024,0.069,0.058
"P07","Algo inseguro",0.121,0.213,0.21,0.423,0.116,0.229,0.183
"P07","Inseguro",0.194,0.241,0.288,0.221,0.404,0.178,0.271
"P07","Muy inseguro",0.233,0.186,0.19,0.177,0.254,0.405,0.221
"P08","Han aumentado en el último mes",0.629,0.635,0.607,0.512,0.634,0.598,0.439
"P08","Han disminuido en el ultimo mes",0.1,0.052,0.024,0.062,0.031,0.032,0.162
"P08","Se mantienen igual que el mes anterior",0.146,0.2,0.232,0.16,0.249,0.269,0.302
"P08","No sabe",0.125,0.113,0.137,0.266,0.086,0.101,0.097
"P09","Si",0.483,0.383,0.492,0.443,0.672,0.392,0.437
"P09","No",0.517,0.617,0.508,0.557,0.328,0.608,0.563
"P10","Hurto",0.48,0.322,0.336,0.223,0.405,0.385,0.305
"P10","Robo con violencia",0.355,0.317,0.384,0.395,0.303,0.151,0.292
"P10","Agresión física",0.076,0.061,0.044,0.307,0.117,0.012,0.071
"P10","Acoso verbal o intimidación",0.029,0.196,0.066,0.033,0.027,0.193,0.053
"P10","Otros delitos en la vía pública",0.06,0.104,0.17,0.042,0.148,0.259,0.279
"P11","Muy seguro",0.12,0.081,0.013,0.05,0.052,0.112,0.132
"P11","Algo seguro",0.268,0.181,0.205,0.249,0.105,0.184,0.198
"P11","Seguro",0.059,0.065,0.024,0.045,0.024,0.099,0.072
"P11","Algo inseguro",0.134,0.208,0.142,0.293,0.213,0.251,0.177
"P11","Inseguro",0.224,0.277,0.343,0.122,0.334,0.286,0.245
"P11","Muy inseguro",0.195,0.188,0.273,0.241,0.272,0.068,0.176
"P12","Han aumentado en el último mes",0.579,0.554,0.557,0.789,0.582,0.518,0.54
"P12","Han disminuido en el último mes",0.092,0.063,0.013,0,0.034,0.032,0.076
"P12","Se mantienen igual que el mes anterior",0.2,0.237,0.289,0.193,0.149,0.384,0.252
"P12","No sabe",0.129,0.146,0.141,0.018,0.235,0.066,0.132
"P13","Mayor presencia de policía en las calles",0.309,0.26,0.317,0.398,0.291,0.276,0.224
"P13","Presencia de Gendarmería en las calles",0.291,0.237,0.234,0.177,0.153,0.173,0.282
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.116,0.04,0.049,0.121,0.038,0.244,0.09
"P13","Más iluminación en espacios públicos",0.07,0.047,0.015,0,0.014,0.052,0.072
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.034,0.075,0.04,0,0.152,0.04,0.056
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.035,0.061,0.038,0.108,0.011,0.01,0.027
"P13","Todas las anteriores",0.111,0.19,0.28,0.168,0.217,0.191,0.203
"P13","No sabe",0.034,0.09,0.027,0.028,0.124,0.014,0.046
"P14","Mayor presencia de policía en las calles",0.341,0.315,0.241,0.14,0.242,0.21,0.258
"P14","Presencia de Gendarmería en las calles",0.222,0.132,0.16,0.318,0.129,0.16,0.156
"P14","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.125,0.087,0.185,0.117,0.157,0.114,0.042
"P14","Más iluminación en espacios públicos",0.033,0.051,0.058,0.099,0.045,0.062,0.128
"P14","Capacitación a las fuerzas de seguridad para la prevención del delito",0.049,0.06,0.022,0.057,0,0.045,0.035
"P14","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.031,0.061,0.043,0.043,0.043,0.023,0.028
"P14","Todas las anteriores",0.116,0.21,0.253,0.18,0.244,0.284,0.259
"P14","No sabe",0.083,0.084,0.038,0.046,0.14,0.102,0.094
"P15","El Gobierno Nacional",0.31,0.137,0.186,0.046,0.244,0.115,0.164
"P15","El Gobierno Provincial",0.113,0.355,0.232,0.306,0.179,0.233,0.211
"P15","El Municipio",0.161,0.106,0.097,0.041,0.086,0.194,0.118
"P15","Todos los niveles de gobierno son igualmente responsables",0.372,0.361,0.482,0.553,0.477,0.443,0.403
"P15","No sabe",0.044,0.041,0.003,0.054,0.014,0.015,0.104
