"fecha","t1 A Tolosa Paz por el Frente de todos","t1 A Santilli y Manes por Juntos","t1 A Del Caño por el Frente de Izquierda","t1 A Espert por Avanza libertad","t1 A Randazo por “Vamos con vos""","t1 A Hotton por “+Valores”","t1 Votaría en blanco o anularía","s1 A Tolosa Paz por el Frente de todos","s1 A Santilli y Manes por Juntos","s1 A Del Caño por el Frente de Izquierda","s1 A Espert por Avanza libertad","s1 A Randazo por “Vamos con vos""","s1 A Hotton por “+Valores”","s1 Votaría en blanco o anularía","s2 A Tolosa Paz por el Frente de todos","s2 A Santilli y Manes por Juntos","s2 A Del Caño por el Frente de Izquierda","s2 A Espert por Avanza libertad","s2 A Randazo por “Vamos con vos""","s2 A Hotton por “+Valores”","s2 Votaría en blanco o anularía","e1 A Tolosa Paz por el Frente de todos","e1 A Santilli y Manes por Juntos","e1 A Del Caño por el Frente de Izquierda","e1 A Espert por Avanza libertad","e1 A Randazo por “Vamos con vos""","e1 A Hotton por “+Valores”","e1 Votaría en blanco o anularía","e2 A Tolosa Paz por el Frente de todos","e2 A Santilli y Manes por Juntos","e2 A Del Caño por el Frente de Izquierda","e2 A Espert por Avanza libertad","e2 A Randazo por “Vamos con vos""","e2 A Hotton por “+Valores”","e2 Votaría en blanco o anularía","e3 A Tolosa Paz por el Frente de todos","e3 A Santilli y Manes por Juntos","e3 A Del Caño por el Frente de Izquierda","e3 A Espert por Avanza libertad","e3 A Randazo por “Vamos con vos""","e3 A Hotton por “+Valores”","e3 Votaría en blanco o anularía","e4 A Tolosa Paz por el Frente de todos","e4 A Santilli y Manes por Juntos","e4 A Del Caño por el Frente de Izquierda","e4 A Espert por Avanza libertad","e4 A Randazo por “Vamos con vos""","e4 A Hotton por “+Valores”","e4 Votaría en blanco o anularía","ed1 A Tolosa Paz por el Frente de todos","ed1 A Santilli y Manes por Juntos","ed1 A Del Caño por el Frente de Izquierda","ed1 A Espert por Avanza libertad","ed1 A Randazo por “Vamos con vos""","ed1 A Hotton por “+Valores”","ed1 Votaría en blanco o anularía","ed2 A Tolosa Paz por el Frente de todos","ed2 A Santilli y Manes por Juntos","ed2 A Del Caño por el Frente de Izquierda","ed2 A Espert por Avanza libertad","ed2 A Randazo por “Vamos con vos""","ed2 A Hotton por “+Valores”","ed2 Votaría en blanco o anularía","ed3 A Tolosa Paz por el Frente de todos","ed3 A Santilli y Manes por Juntos","ed3 A Del Caño por el Frente de Izquierda","ed3 A Espert por Avanza libertad","ed3 A Randazo por “Vamos con vos""","ed3 A Hotton por “+Valores”","ed3 Votaría en blanco o anularía","v1 A Tolosa Paz por el Frente de todos","v1 A Santilli y Manes por Juntos","v1 A Del Caño por el Frente de Izquierda","v1 A Espert por Avanza libertad","v1 A Randazo por “Vamos con vos""","v1 A Hotton por “+Valores”","v1 Votaría en blanco o anularía","v2 A Tolosa Paz por el Frente de todos","v2 A Santilli y Manes por Juntos","v2 A Del Caño por el Frente de Izquierda","v2 A Espert por Avanza libertad","v2 A Randazo por “Vamos con vos""","v2 A Hotton por “+Valores”","v2 Votaría en blanco o anularía","v3 A Tolosa Paz por el Frente de todos","v3 A Santilli y Manes por Juntos","v3 A Del Caño por el Frente de Izquierda","v3 A Espert por Avanza libertad","v3 A Randazo por “Vamos con vos""","v3 A Hotton por “+Valores”","v3 Votaría en blanco o anularía","p1 A Tolosa Paz por el Frente de todos","p1 A Santilli y Manes por Juntos","p1 A Del Caño por el Frente de Izquierda","p1 A Espert por Avanza libertad","p1 A Randazo por “Vamos con vos""","p1 A Hotton por “+Valores”","p1 Votaría en blanco o anularía","p2 A Tolosa Paz por el Frente de todos","p2 A Santilli y Manes por Juntos","p2 A Del Caño por el Frente de Izquierda","p2 A Espert por Avanza libertad","p2 A Randazo por “Vamos con vos""","p2 A Hotton por “+Valores”","p2 Votaría en blanco o anularía","p3 A Tolosa Paz por el Frente de todos","p3 A Santilli y Manes por Juntos","p3 A Del Caño por el Frente de Izquierda","p3 A Espert por Avanza libertad","p3 A Randazo por “Vamos con vos""","p3 A Hotton por “+Valores”","p3 Votaría en blanco o anularía","p4 A Tolosa Paz por el Frente de todos","p4 A Santilli y Manes por Juntos","p4 A Del Caño por el Frente de Izquierda","p4 A Espert por Avanza libertad","p4 A Randazo por “Vamos con vos""","p4 A Hotton por “+Valores”","p4 Votaría en blanco o anularía","p5 A Tolosa Paz por el Frente de todos","p5 A Santilli y Manes por Juntos","p5 A Del Caño por el Frente de Izquierda","p5 A Espert por Avanza libertad","p5 A Randazo por “Vamos con vos""","p5 A Hotton por “+Valores”","p5 Votaría en blanco o anularía","p6 A Tolosa Paz por el Frente de todos","p6 A Santilli y Manes por Juntos","p6 A Del Caño por el Frente de Izquierda","p6 A Espert por Avanza libertad","p6 A Randazo por “Vamos con vos""","p6 A Hotton por “+Valores”","p6 Votaría en blanco o anularía","p7 A Tolosa Paz por el Frente de todos","p7 A Santilli y Manes por Juntos","p7 A Del Caño por el Frente de Izquierda","p7 A Espert por Avanza libertad","p7 A Randazo por “Vamos con vos""","p7 A Hotton por “+Valores”","p7 Votaría en blanco o anularía"
2021-09-22,0.367,0.351,0.052,0.068,0.028,NA,0.134,0.356,0.323,0.076,0.084,0.031,NA,0.13,0.377,0.377,0.03,0.054,0.024,NA,0.138,0.342,0.282,0.09,0.11,0.017,NA,0.159,0.401,0.302,0.044,0.057,0.037,NA,0.159,0.386,0.41,0.035,0.04,0.032,NA,0.097,0.299,0.511,0.029,0.066,0.016,NA,0.079,0.34,0.375,0.052,0.047,0.025,NA,0.161,0.415,0.284,0.049,0.076,0.032,NA,0.144,0.317,0.442,0.056,0.087,0.022,NA,0.076,0.614,0.153,0.049,0.028,0.028,NA,0.128,0.051,0.798,0.023,0.076,0.007,NA,0.045,0.09,0.451,0.064,0.146,0.132,NA,0.117,0.097,0.806,0.006,0.025,0.012,NA,0.054,0.797,0.118,0.019,0.008,0.005,NA,0.053,0.174,0.097,0.418,0.17,0.027,NA,0.114,0.057,0.173,0.096,0.619,0,NA,0.055,0.097,0.134,0.09,0.105,0.208,NA,0.366,0.182,0.226,0.019,0,0.041,NA,0.532,0.221,0.191,0.06,0.046,0.022,NA,0.46
2021-09-23,0.358,0.377,0.052,0.069,0.026,NA,0.118,0.337,0.391,0.067,0.085,0.032,NA,0.088,0.377,0.364,0.038,0.054,0.022,NA,0.145,0.324,0.334,0.078,0.115,0,NA,0.149,0.397,0.339,0.048,0.056,0.043,NA,0.117,0.377,0.433,0.03,0.027,0.038,NA,0.095,0.3,0.475,0.044,0.072,0.018,NA,0.091,0.399,0.373,0.03,0.046,0.032,NA,0.12,0.352,0.336,0.064,0.085,0.028,NA,0.135,0.303,0.464,0.062,0.074,0.016,NA,0.081,0.626,0.168,0.043,0.021,0.029,NA,0.113,0.067,0.793,0.029,0.078,0.007,NA,0.026,0.014,0.648,0.053,0.05,0.175,NA,0.06,0.109,0.82,0.011,0.012,0.017,NA,0.031,0.781,0.126,0.019,0.013,0.013,NA,0.048,0.145,0.072,0.585,0.145,0.015,NA,0.038,0.07,0.213,0.014,0.627,0.011,NA,0.065,0.102,0.18,0.058,0.117,0.161,NA,0.382,0.155,0.267,0.079,0.016,0.042,NA,0.441,0.166,0.211,0.055,0.05,0.021,NA,0.497
2021-09-24,0.363,0.379,0.057,0.066,0.028,NA,0.107,0.319,0.394,0.072,0.092,0.033,NA,0.09,0.403,0.366,0.044,0.042,0.022,NA,0.123,0.354,0.306,0.084,0.106,0.012,NA,0.138,0.384,0.355,0.05,0.055,0.037,NA,0.119,0.348,0.451,0.052,0.05,0.035,NA,0.064,0.348,0.473,0.036,0.043,0.022,NA,0.078,0.422,0.362,0.046,0.039,0.032,NA,0.099,0.352,0.345,0.062,0.085,0.026,NA,0.13,0.294,0.47,0.066,0.073,0.022,NA,0.075,0.618,0.174,0.048,0.02,0.031,NA,0.109,0.091,0.785,0.025,0.076,0.004,NA,0.019,0.135,0.472,0.08,0.106,0.162,NA,0.045,0.118,0.817,0.014,0.02,0.009,NA,0.022,0.776,0.145,0.016,0.018,0.011,NA,0.034,0.15,0.045,0.627,0.125,0.006,NA,0.047,0.092,0.216,0.038,0.538,0.037,NA,0.079,0.115,0.219,0.05,0.115,0.174,NA,0.327,0.142,0.252,0.119,0.021,0.115,NA,0.351,0.258,0.192,0.033,0.068,0,NA,0.449
2021-09-25,0.357,0.356,0.062,0.072,0.032,NA,0.121,0.315,0.374,0.071,0.098,0.035,NA,0.107,0.395,0.341,0.053,0.048,0.029,NA,0.134,0.314,0.274,0.1,0.119,0.022,NA,0.171,0.386,0.333,0.054,0.061,0.037,NA,0.129,0.352,0.42,0.05,0.056,0.03,NA,0.092,0.366,0.472,0.029,0.039,0.039,NA,0.055,0.444,0.317,0.049,0.04,0.036,NA,0.114,0.327,0.33,0.069,0.093,0.033,NA,0.148,0.278,0.468,0.068,0.082,0.022,NA,0.082,0.602,0.167,0.048,0.035,0.038,NA,0.11,0.096,0.768,0.024,0.077,0.006,NA,0.029,0.193,0.418,0.089,0.068,0.137,NA,0.095,0.126,0.809,0.013,0.022,0.014,NA,0.016,0.767,0.137,0.018,0.019,0.014,NA,0.045,0.065,0.047,0.662,0.049,0.088,NA,0.089,0.062,0.177,0.055,0.555,0.031,NA,0.12,0.144,0.226,0.058,0.17,0.124,NA,0.278,0.136,0.148,0.084,0.038,0.088,NA,0.506,0.278,0.149,0.04,0.069,0.014,NA,0.45
2021-09-26,0.364,0.341,0.053,0.083,0.036,NA,0.123,0.322,0.342,0.062,0.114,0.031,NA,0.129,0.402,0.341,0.045,0.055,0.04,NA,0.117,0.344,0.234,0.076,0.142,0.045,NA,0.159,0.379,0.302,0.054,0.079,0.036,NA,0.15,0.343,0.439,0.042,0.056,0.02,NA,0.1,0.39,0.487,0.027,0.029,0.04,NA,0.027,0.449,0.287,0.045,0.049,0.037,NA,0.133,0.342,0.318,0.053,0.103,0.043,NA,0.141,0.276,0.466,0.066,0.099,0.019,NA,0.074,0.605,0.143,0.041,0.042,0.045,NA,0.124,0.108,0.752,0.012,0.089,0.006,NA,0.033,0.169,0.423,0.08,0.111,0.093,NA,0.124,0.134,0.788,0.013,0.043,0.013,NA,0.009,0.785,0.121,0.014,0.019,0.011,NA,0.05,0.099,0.044,0.563,0.064,0.098,NA,0.132,0.065,0.132,0.061,0.62,0.025,NA,0.097,0.187,0.218,0.055,0.149,0.132,NA,0.259,0.09,0.087,0.039,0.029,0.142,NA,0.613,0.357,0.117,0.026,0.055,0.019,NA,0.426
2021-09-27,0.336,0.358,0.05,0.085,0.033,NA,0.138,0.307,0.348,0.058,0.11,0.031,NA,0.146,0.365,0.368,0.042,0.06,0.035,NA,0.13,0.297,0.243,0.078,0.148,0.04,NA,0.194,0.348,0.325,0.057,0.088,0.041,NA,0.141,0.363,0.441,0.022,0.041,0.012,NA,0.121,0.334,0.521,0.022,0.03,0.033,NA,0.06,0.4,0.319,0.028,0.054,0.038,NA,0.161,0.303,0.338,0.063,0.103,0.041,NA,0.152,0.303,0.454,0.057,0.094,0.013,NA,0.079,0.572,0.17,0.051,0.043,0.038,NA,0.126,0.089,0.762,0.007,0.083,0.015,NA,0.044,0.193,0.376,0.051,0.126,0.091,NA,0.163,0.1,0.797,0.015,0.058,0.021,NA,0.009,0.739,0.143,0.026,0.01,0.014,NA,0.068,0.162,0.07,0.43,0.059,0.104,NA,0.175,0.06,0.158,0.033,0.65,0.004,NA,0.095,0.136,0.206,0.077,0.105,0.107,NA,0.369,0.092,0.059,0,0.029,0.084,NA,0.736,0.265,0.196,0.043,0.068,0.031,NA,0.397
2021-09-28,0.335,0.391,0.046,0.079,0.027,NA,0.122,0.301,0.393,0.052,0.11,0.021,NA,0.123,0.368,0.389,0.04,0.05,0.032,NA,0.121,0.343,0.235,0.072,0.148,0.051,NA,0.151,0.339,0.395,0.047,0.078,0.021,NA,0.12,0.346,0.479,0.014,0.031,0.007,NA,0.123,0.296,0.531,0.042,0.03,0.026,NA,0.075,0.398,0.357,0.031,0.049,0.03,NA,0.135,0.293,0.379,0.054,0.1,0.03,NA,0.144,0.319,0.463,0.053,0.088,0.017,NA,0.06,0.597,0.181,0.052,0.023,0.023,NA,0.124,0.084,0.761,0.014,0.087,0.024,NA,0.03,0.172,0.506,0,0.165,0.038,NA,0.119,0.093,0.802,0.017,0.065,0.017,NA,0.006,0.725,0.164,0.025,0.002,0.022,NA,0.062,0.271,0.1,0.458,0,0,NA,0.171,0.037,0.173,0.036,0.687,0.005,NA,0.062,0.126,0.244,0.049,0.057,0.101,NA,0.423,0.19,0.037,0,0,0.104,NA,0.669,0.281,0.272,0.041,0.07,0.012,NA,0.324
2021-09-29,0.36,0.377,0.052,0.064,0.037,NA,0.11,0.309,0.388,0.056,0.105,0.039,NA,0.103,0.41,0.366,0.048,0.025,0.035,NA,0.116,0.428,0.184,0.106,0.108,0.04,NA,0.134,0.365,0.425,0.036,0.061,0.021,NA,0.092,0.34,0.426,0.017,0.055,0.051,NA,0.111,0.258,0.527,0.044,0.012,0.049,NA,0.11,0.402,0.341,0.035,0.039,0.059,NA,0.124,0.342,0.369,0.069,0.078,0.021,NA,0.121,0.331,0.448,0.046,0.078,0.031,NA,0.066,0.66,0.156,0.045,0.016,0.031,NA,0.092,0.057,0.797,0.017,0.063,0.036,NA,0.03,0.158,0.285,0.217,0.17,0.073,NA,0.097,0.082,0.824,0.02,0.046,0.023,NA,0.005,0.769,0.132,0.026,0,0.024,NA,0.049,0.276,0.126,0.441,0,0.037,NA,0.12,0.03,0.265,0.051,0.617,0.015,NA,0.022,0.123,0.207,0.106,0.069,0.12,NA,0.375,0.218,0.125,0,0.081,0.014,NA,0.562,0.221,0.238,0.044,0.072,0.085,NA,0.34
2021-09-30,0.369,0.341,0.071,0.082,0.048,NA,0.089,0.289,0.353,0.096,0.129,0.059,NA,0.074,0.443,0.329,0.048,0.039,0.038,NA,0.103,0.433,0.156,0.134,0.143,0.077,NA,0.057,0.396,0.363,0.046,0.081,0.027,NA,0.087,0.3,0.419,0.041,0.056,0.059,NA,0.125,0.281,0.507,0.064,0.012,0.034,NA,0.102,0.389,0.291,0.073,0.053,0.068,NA,0.126,0.377,0.353,0.076,0.081,0.039,NA,0.074,0.323,0.393,0.059,0.129,0.036,NA,0.06,0.686,0.12,0.042,0.024,0.058,NA,0.07,0.057,0.743,0.048,0.109,0.028,NA,0.015,0.061,0.381,0.235,0.141,0.112,NA,0.07,0.07,0.831,0.033,0.04,0.013,NA,0.013,0.815,0.08,0.028,0.004,0.029,NA,0.044,0.226,0.064,0.531,0.035,0.063,NA,0.081,0.004,0.183,0.047,0.749,0.006,NA,0.011,0.231,0.198,0.14,0.077,0.131,NA,0.223,0.229,0.166,0.08,0.068,0.017,NA,0.44,0.106,0.249,0.055,0.078,0.218,NA,0.294
2021-10-01,0.366,0.336,0.067,0.076,0.044,NA,0.111,0.303,0.334,0.091,0.117,0.056,NA,0.099,0.424,0.338,0.045,0.039,0.032,NA,0.122,0.418,0.195,0.124,0.116,0.067,NA,0.08,0.393,0.33,0.045,0.072,0.033,NA,0.127,0.292,0.417,0.044,0.072,0.05,NA,0.125,0.31,0.488,0.057,0.022,0.018,NA,0.105,0.364,0.284,0.079,0.042,0.058,NA,0.173,0.397,0.336,0.066,0.078,0.035,NA,0.088,0.311,0.415,0.052,0.126,0.036,NA,0.06,0.65,0.117,0.053,0.026,0.06,NA,0.094,0.083,0.761,0.028,0.087,0.018,NA,0.023,0.113,0.313,0.192,0.214,0.104,NA,0.064,0.09,0.81,0.033,0.029,0.01,NA,0.028,0.808,0.081,0.025,0.008,0.018,NA,0.06,0.218,0.153,0.46,0.053,0.035,NA,0.081,0.014,0.244,0.005,0.699,0.029,NA,0.009,0.215,0.14,0.111,0.094,0.191,NA,0.249,0.122,0.119,0.087,0.049,0.014,NA,0.609,0.177,0.243,0.058,0.065,0.152,NA,0.305
