"var","categoria","Si","No","No sabe"
"P08","Siempre",0.188,0.238,0.205
"P08","Casi siempre",0.32,0.372,0.371
"P08","Casi nunca",0.354,0.287,0.342
"P08","Nunca, pero esta es una excepción",0.138,0.103,0.082
"P09","Muy de acuerdo",0.564,0.204,0.231
"P09","De acuerdo",0.287,0.186,0.235
"P09","Ni de acuerdo ni en desacuerdo",0.1,0.286,0.394
"P09","En desacuerdo",0.025,0.142,0.059
"P09","Muy en desacuerdo",0.018,0.173,0.071
"P09","No sabe",0.006,0.009,0.01
"P10","De acuerdo",0.819,0.36,0.411
"P10","Ni de acuerdo ni en desacuerdo",0.115,0.239,0.202
"P10","En desacuerdo",0.044,0.307,0.248
"P10","No sabe",0.022,0.094,0.139
"P11","De acuerdo",0.842,0.486,0.523
"P11","Ni de acuerdo ni en desacuerdo",0.106,0.213,0.21
"P11","En desacuerdo",0.037,0.242,0.205
"P11","No sabe",0.015,0.059,0.062
"P12","De acuerdo",0.904,0.578,0.682
"P12","Ni de acuerdo ni en desacuerdo",0.051,0.184,0.1
"P12","En desacuerdo",0.036,0.175,0.169
"P12","No sabe",0.009,0.063,0.049
"P13","De acuerdo",0.793,0.389,0.459
"P13","Ni de acuerdo ni en desacuerdo",0.149,0.293,0.285
"P13","En desacuerdo",0.05,0.249,0.163
"P13","No sabe",0.008,0.069,0.093
"P14","De acuerdo",0.789,0.404,0.506
"P14","Ni de acuerdo ni en desacuerdo",0.139,0.262,0.297
"P14","En desacuerdo",0.06,0.281,0.124
"P14","No sabe",0.012,0.053,0.073
"P15","De acuerdo",0.713,0.44,0.498
"P15","Ni de acuerdo ni en desacuerdo",0.198,0.241,0.269
"P15","En desacuerdo",0.073,0.263,0.162
"P15","No sabe",0.016,0.056,0.071
"P16","De acuerdo",0.865,0.552,0.562
"P16","Ni de acuerdo ni en desacuerdo",0.077,0.148,0.204
"P16","En desacuerdo",0.044,0.227,0.159
"P16","No sabe",0.014,0.073,0.075
"P17","De acuerdo",0.732,0.277,0.391
"P17","Ni de acuerdo ni en desacuerdo",0.15,0.176,0.27
"P17","En desacuerdo",0.111,0.504,0.281
"P17","No sabe",0.007,0.043,0.058
"P18","De acuerdo",0.68,0.239,0.269
"P18","Ni de acuerdo ni en desacuerdo",0.197,0.217,0.348
"P18","En desacuerdo",0.094,0.48,0.275
"P18","No sabe",0.029,0.064,0.108
"P19","De acuerdo",0.87,0.353,0.448
"P19","Ni de acuerdo ni en desacuerdo",0.067,0.136,0.208
"P19","En desacuerdo",0.058,0.48,0.295
"P19","No sabe",0.005,0.031,0.049
"P20","De acuerdo",0.819,0.321,0.391
"P20","Ni de acuerdo ni en desacuerdo",0.099,0.199,0.29
"P20","En desacuerdo",0.064,0.432,0.219
"P20","No sabe",0.018,0.048,0.1
"P21","De acuerdo",0.856,0.348,0.376
"P21","Ni de acuerdo ni en desacuerdo",0.08,0.156,0.233
"P21","En desacuerdo",0.054,0.463,0.303
"P21","No sabe",0.01,0.033,0.088
"P22","Si",0.454,0.499,0.301
"P22","No",0.389,0.222,0.216
"P22","No sabe",0.157,0.279,0.483
"P23","Si",0.749,0.2,0.314
"P23","No",0.198,0.707,0.284
"P23","No sabe",0.053,0.093,0.402
"P24","Si",0.753,0.091,0.143
"P24","No",0.178,0.841,0.189
"P24","No sabe",0.069,0.068,0.668
"P26","A favor",0.918,0.382,0.512
"P26","En contra",0.049,0.445,0.168
"P26","No sabe",0.033,0.173,0.32
