"var","categoria","Si","No"
"P08_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.291,0.241
"P08_imputadas","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.072,0.088
"P08_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.046,0.042
"P08_imputadas","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.067,0.051
"P08_imputadas","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.234,0.204
"P08_imputadas","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.066,0.1
"P08_imputadas","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.185,0.183
"P08_imputadas","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.018,0.03
"P08_imputadas","Otros",0.021,0.061
"P13_imputadas","Fernando Espinoza a intendente por Unión por la Patria",0.339,0.237
"P13_imputadas","Patricia Cubria a intendente por Unión por la Patria",0.104,0.115
"P13_imputadas","María Laura Ramírez a intendente por Unión por la Patria",0.006,0.01
"P13_imputadas","Eduardo “Lalo” Creus por Juntos por el Cambio",0.214,0.215
"P13_imputadas","Josefina Mendoza por Juntos por el Cambio",0.038,0.08
"P13_imputadas","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.091,0.089
"P13_imputadas","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.146,0.191
"P13_imputadas","Alberto Samid a intendente por Principios y Valores",0.015,0.02
"P13_imputadas","Alguno de los candidatos a intendente de la Izquierda",0.047,0.043
