"var","categoria","No tengo información suficiente","No tengo tiempo en la consulta","No es un tema importante en la consulta médica","El COVID no es una enfermedad prevalente o importante actualmente en Argentina","No sabe"
"P04","Gran excedente habitual",0.277,0.197,0.221,0.296,0.243
"P04","Gran excedente excepcional",0.164,0.163,0.167,0.052,0.096
"P04","Pequeño excedente habitual",0.237,0.113,0.033,0.077,0.017
"P04","Pequeño excedente excepcional",0.077,0.206,0.212,0.27,0.155
"P04","Alcanza gastos familia",0.05,0.063,0.059,0.082,0.027
"P04","No alcanza gastos familia",0.099,0.088,0.167,0.2,0.209
"P04","Solo NBFamiliares",0.032,0.068,0.006,0,0.088
"P04","No alcanza NBFamiliares",0.047,0.079,0.058,0.023,0.034
"P04","No sabe",0.017,0.023,0.077,0,0.131
"P06","Menos de 5 años ",0.172,0.313,0.183,0.141,0.276
"P06","Entre 6 y 10 años",0.275,0.219,0.176,0.284,0.198
"P06","Entre 11 y 20 años",0.315,0.255,0.353,0.367,0.174
"P06","Mas de 20 años",0.238,0.213,0.288,0.208,0.352
"P07","Medico clínico",0.505,0.344,0.423,0.386,0.411
"P07","Pediatra",0.162,0.129,0.181,0.19,0.103
"P07","Cardiólogo",0.14,0.23,0.154,0.097,0.126
"P07","Neumólogos",0.144,0.222,0.212,0.188,0.34
"P07","Otra especialidad",0.049,0.075,0.03,0.139,0.02
"P08","En una institución pública",0.303,0.384,0.274,0.469,0.465
"P08","En una institución privada",0.385,0.264,0.25,0.319,0.255
"P08","Ambas",0.204,0.3,0.253,0.175,0.234
"P08","Solo consultorio",0.069,0.038,0.2,0,0.046
"P08","Institución publica o privada y consultorio",0.039,0.014,0.023,0.037,0
"P09","Si",0.632,0.601,0.672,0.422,0.738
"P09","No",0.368,0.399,0.328,0.578,0.262
"P10","1 dosis",0.043,0.173,0.258,0.159,0.381
"P10","2 dosis.",0.071,0.163,0.095,0.309,0.106
"P10","3 dosis o más",0.886,0.664,0.647,0.532,0.513
"P11","Si",0.373,0.3,0.316,0.16,0.536
"P11","No",0.627,0.7,0.684,0.84,0.464
"P12","Para protegerse de la enfermedad",0.355,0.592,0.377,0.035,0.299
"P12","Porque soy personal de riesgo",0.486,0.353,0.453,0.109,0.701
"P12","Porque colegas se vacunaron",0.026,0.019,0.056,0.285,0
"P12","Me lo recomendó la institución donde trabajo",0.08,0.031,0.067,0.479,0
"P12","No sabe",0.053,0.005,0.047,0.092,0
"P13","Si",0.435,0.32,0.473,0.26,0.303
"P13","No",0.565,0.68,0.527,0.74,0.697
"P14","Si",0.783,0.35,0.86,0.933,0.752
"P14","No",0.217,0.65,0.14,0.067,0.248
"P15","Si, a todos sus pacientes",0.37,0.204,0.156,0.071,0.319
"P15","Depende el caso del paciente",0.465,0.612,0.47,0.281,0.533
"P15","No la recomiendo",0.165,0.184,0.374,0.648,0.148
"P16","Dos dosis",0.062,0.301,0.073,0,0.502
"P16","Tres dosis",0.421,0.134,0.077,0,0.099
"P16","Cuatros o mas dosis",0.517,0.565,0.85,1,0.399
"P17","Porque ya no hay casos de COVID",0.024,0.093,0.171,0,0.112
"P17","Porque ha disminuido de forma significativa el contagio",0.213,0.324,0.143,0.158,0.387
"P17","Por los efectos secundarios",0.475,0.378,0.522,0.579,0.169
"P17","No sabe",0.288,0.205,0.164,0.263,0.332
"P18","Si",0.34,0.352,0.417,0.483,0.254
"P18","No",0.461,0.461,0.368,0.232,0.422
"P18","No sabe",0.199,0.187,0.215,0.285,0.324
