"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P08","Del Frente de Todos y el peronismo",0.143,0.262,0.258,0.181
"P08","De Juntos por el cambio",0.287,0.35,0.394,0.214
"P08","De los Liberales libertarios",0.392,0.199,0.23,0.302
"P08","De la Izquierda",0,0.015,0.032,0.018
"P08","No sabe",0.178,0.174,0.086,0.285
"P09","A Sergio Massa",0.437,0.354,0.278,0.265
"P09","A Daniel Scioli",0.189,0.102,0.114,0.109
"P09","A algún candidato del peronismo",0.136,0.196,0.131,0.117
"P09","A algún candidato del kirchnerismo",0.238,0.348,0.477,0.509
"P10","A Horacio Rodriguez Larreta",0.247,0.205,0.127,0.154
"P10","A Patricia Bullrich",0.641,0.632,0.699,0.776
"P10","A Facundo Manes",0.071,0.07,0.085,0.067
"P10","A Gerardo Morales",0.041,0.093,0.089,0.003
"P11","Alfredo Cornejo por Cambia Mendoza",0.143,0.304,0.334,0.229
"P11","Luis Petri por Cambia Mendoza",0.066,0.127,0.168,0.117
"P11","Omar De Marchi por La Unión Mendocina",0.601,0.209,0.092,0.154
"P11","Omar Parisi por Elegí Mendoza",0.027,0.078,0.121,0.039
"P11","Guillermo Carmona por Elegí Mendoza",0.085,0.08,0.091,0.06
"P11","Nicolás Guillén por Elegí Mendoza",0.055,0.01,0.011,0.021
"P11","Alfredo Guevara por Elegí Mendoza",0,0.027,0.033,0.022
"P11","Lautaro Giménez por el Frente de Izquierda",0,0.001,0.018,0.022
"P11","Victor da Vila por el Frente de Izquierda",0,0.019,0.009,0.023
"P11","No sabe",0.023,0.145,0.123,0.313
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.179,0.29,0.258,0.204
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.204,0.16,0.254,0.222
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.451,0.235,0.143,0.146
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.099,0.109,0.117,0.112
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.012,0.079,0.076,0.036
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.007,0.058,0.016,0.055
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.015,0.021,0.024,0.014
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0,0.014,0.011
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.003,0.004,0.006,0.015
"P14","No sabe",0.03,0.044,0.092,0.185
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.073,0.262,0.302,0.173
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.062,0.117,0.122,0.087
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.621,0.253,0.138,0.288
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.122,0.14,0.154,0.117
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.015,0.084,0.089,0.066
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.006,0.018,0.02,0.023
