"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P08","Del Frente de Todos y el peronismo",0.539,0.276,0.166,0.248
"P08","De Juntos por el cambio",0.044,0.305,0.389,0.377
"P08","De los Liberales libertarios",0.22,0.19,0.377,0.201
"P08","De la Izquierda",0.094,0.022,0.019,0.009
"P08","No sabe",0.103,0.207,0.049,0.165
"P09","A Sergio Massa",0.218,0.419,0.119,0.244
"P09","A Daniel Scioli",0.361,0.037,0.248,0.04
"P09","A algún candidato del peronismo",0.144,0.115,0.081,0.124
"P09","A algún candidato del kirchnerismo",0.277,0.429,0.552,0.592
"P10","A Horacio Rodriguez Larreta",0.178,0.227,0.059,0.183
"P10","A Patricia Bullrich",0.669,0.723,0.791,0.715
"P10","A Facundo Manes",0,0.044,0.065,0.051
"P10","A Gerardo Morales",0.153,0.006,0.085,0.051
"P11","Alfredo Cornejo por Cambia Mendoza",0.304,0.238,0.334,0.297
"P11","Luis Petri por Cambia Mendoza",0.019,0.144,0.167,0.167
"P11","Omar De Marchi por La Unión Mendocina",0.178,0.194,0.203,0.129
"P11","Omar Parisi por Elegí Mendoza",0.164,0.092,0.053,0.099
"P11","Guillermo Carmona por Elegí Mendoza",0.068,0.107,0.082,0.061
"P11","Nicolás Guillén por Elegí Mendoza",0.023,0.034,0.009,0.006
"P11","Alfredo Guevara por Elegí Mendoza",0.166,0.038,0.013,0.028
"P11","Lautaro Giménez por el Frente de Izquierda",0.028,0.008,0.007,0.003
"P11","Victor da Vila por el Frente de Izquierda",0.022,0,0.027,0
"P11","No sabe",0.028,0.145,0.105,0.21
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.253,0.208,0.211,0.272
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.017,0.232,0.271,0.231
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.359,0.254,0.165,0.165
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.135,0.124,0.116,0.095
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.026,0.062,0.068,0.067
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.021,0.043,0.038,0.006
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.108,0.027,0.014,0.017
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.034,0.006,0.009,0.003
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.02,0.003,0.013,0
"P14","No sabe",0.027,0.041,0.095,0.144
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.08,0.225,0.265,0.255
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.272,0.1,0.104,0.138
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.074,0.214,0.259,0.246
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.195,0.182,0.123,0.135
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.12,0.082,0.069,0.068
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0,0.022,0.016,0.002
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.176,0.083,0.061,0.056
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.041,0.012,0.018,0.004
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.01,0,0.012,0.002
"P17","No sabe",0.032,0.08,0.073,0.094
"P20","Lo votaría",0.31,0.298,0.378,0.368
"P20","Puede que lo vote",0.185,0.138,0.08,0.139
"P20","Nunca lo votaría",0.496,0.484,0.442,0.363
"P20","No sabe",0.009,0.08,0.1,0.13
"P21","Lo votaría",0.158,0.175,0.283,0.197
"P21","Puede que lo vote",0.453,0.2,0.152,0.28
"P21","Nunca lo votaría",0.354,0.505,0.457,0.309
"P21","No sabe",0.035,0.12,0.108,0.214
"P22","Lo votaría",0.319,0.212,0.16,0.141
"P22","Puede que lo vote",0.106,0.188,0.154,0.229
"P22","Nunca lo votaría",0.522,0.47,0.578,0.419
"P22","No sabe",0.053,0.13,0.108,0.211
"P23","Lo votaría",0.191,0.127,0.08,0.117
"P23","Puede que lo vote",0.295,0.11,0.083,0.143
"P23","Nunca lo votaría",0.453,0.614,0.722,0.496
"P23","No sabe",0.061,0.149,0.115,0.244
"P24","Lo votaría",0.189,0.123,0.079,0.081
"P24","Puede que lo vote",0.361,0.132,0.034,0.156
"P24","Nunca lo votaría",0.416,0.58,0.779,0.537
"P24","No sabe",0.034,0.165,0.108,0.226
"P25","Lo votaría",0.127,0.052,0.013,0.011
"P25","Puede que lo vote",0.321,0.076,0.04,0.069
"P25","Nunca lo votaría",0.389,0.637,0.863,0.604
"P25","No sabe",0.163,0.235,0.084,0.316
"P26","Lo votaría",0.143,0.038,0.012,0.026
"P26","Puede que lo vote",0.268,0.093,0.037,0.086
"P26","Nunca lo votaría",0.415,0.671,0.838,0.602
"P26","No sabe",0.174,0.198,0.113,0.286
"P27","Lo votaría",0.167,0.007,0.009,0.009
"P27","Puede que lo vote",0.328,0.069,0.025,0.056
"P27","Nunca lo votaría",0.324,0.693,0.855,0.58
"P27","No sabe",0.181,0.231,0.111,0.355
"P28","Lo votaría",0.16,0.004,0.016,0.001
"P28","Puede que lo vote",0.258,0.039,0.044,0.034
"P28","Nunca lo votaría",0.359,0.704,0.849,0.618
"P28","No sabe",0.223,0.253,0.091,0.347
"P29","La votaría",0.064,0.107,0.173,0.09
"P29","Puede que la vote",0.251,0.12,0.08,0.115
"P29","Nunca la votaría",0.541,0.55,0.6,0.404
"P29","No sabe",0.144,0.223,0.147,0.391
"P30","La votaría",0.115,0.06,0.116,0.052
"P30","Puede que la vote",0.071,0.138,0.073,0.138
"P30","Nunca la votaría",0.692,0.525,0.688,0.347
"P30","No sabe",0.122,0.277,0.123,0.463
"P31","Lo votaría",0.281,0.139,0.093,0.06
"P31","Puede que lo vote",0.402,0.125,0.079,0.188
"P31","Nunca lo votaría",0.224,0.555,0.702,0.454
"P31","No sabe",0.093,0.181,0.126,0.298
"P32","Lo votaría",0.272,0.07,0.063,0.094
"P32","Puede que lo vote",0.253,0.102,0.058,0.093
"P32","Nunca lo votaría",0.283,0.616,0.766,0.487
"P32","No sabe",0.192,0.212,0.113,0.326
"P33","La votaría",0.145,0.058,0.046,0.034
"P33","Puede que la vote",0.171,0.1,0.042,0.079
"P33","Nunca la votaría",0.388,0.585,0.784,0.435
"P33","No sabe",0.296,0.257,0.128,0.452
"P34","La votaría",0.086,0.066,0.039,0.005
"P34","Puede que la vote",0.254,0.07,0.011,0.04
"P34","Nunca la votaría",0.486,0.574,0.809,0.423
"P34","No sabe",0.174,0.29,0.141,0.532
"P35","La votaría",0.086,0.027,0.009,0.014
"P35","Puede que la vote",0.314,0.085,0.018,0.062
"P35","Nunca la votaría",0.466,0.602,0.802,0.397
"P35","No sabe",0.134,0.286,0.171,0.527
"P36","La votaría",0.247,0.076,0.017,0.027
"P36","Puede que la vote",0.451,0.111,0.007,0.098
"P36","Nunca la votaría",0.251,0.636,0.904,0.581
"P36","No sabe",0.051,0.177,0.072,0.294
"P37","La votaría",0.132,0.001,0.001,0.005
"P37","Puede que la vote",0.273,0.044,0.022,0.016
"P37","Nunca la votaría",0.43,0.656,0.863,0.494
"P37","No sabe",0.165,0.299,0.114,0.485
"P38","Positiva",0.445,0.374,0.416,0.365
"P38","Neutra",0.131,0.203,0.165,0.166
"P38","Negativa",0.424,0.419,0.419,0.407
"P38","No sabe",0,0.004,0,0.062
"P39","Positiva",0.577,0.359,0.422,0.397
"P39","Neutra",0.137,0.432,0.219,0.227
"P39","Negativa",0.286,0.174,0.343,0.184
"P39","No sabe",0,0.035,0.016,0.192
"P40","Positiva",0.512,0.367,0.233,0.287
"P40","Neutra",0.288,0.382,0.249,0.252
"P40","Negativa",0.2,0.23,0.506,0.29
"P40","No sabe",0,0.021,0.012,0.171
"P41","Positiva",0.53,0.183,0.122,0.159
"P41","Neutra",0.372,0.563,0.151,0.237
"P41","Negativa",0.088,0.227,0.712,0.259
"P41","No sabe",0.01,0.027,0.015,0.345
"P42","Positiva",0.639,0.241,0.104,0.157
"P42","Neutra",0.186,0.474,0.135,0.154
"P42","Negativa",0.164,0.262,0.75,0.385
"P42","No sabe",0.011,0.023,0.011,0.304
"P43","Positiva",0.373,0.092,0.046,0.033
"P43","Neutra",0.293,0.671,0.141,0.211
"P43","Negativa",0.193,0.178,0.762,0.126
"P43","No sabe",0.141,0.059,0.051,0.63
"P44","Positiva",0.413,0.094,0.058,0.065
"P44","Neutra",0.303,0.623,0.127,0.124
"P44","Negativa",0.212,0.219,0.781,0.173
"P44","No sabe",0.072,0.064,0.034,0.638
"P45","Positiva",0.534,0.053,0.021,0.06
"P45","Neutra",0.233,0.66,0.136,0.154
"P45","Negativa",0.172,0.204,0.785,0.12
"P45","No sabe",0.061,0.083,0.058,0.666
"P46","Positiva",0.51,0.023,0.02,0.009
"P46","Neutra",0.302,0.745,0.119,0.106
"P46","Negativa",0.107,0.154,0.788,0.059
"P46","No sabe",0.081,0.078,0.073,0.826
"P47","Positiva",0.28,0.149,0.147,0.129
"P47","Neutra",0.308,0.62,0.145,0.14
"P47","Negativa",0.317,0.184,0.637,0.136
"P47","No sabe",0.095,0.047,0.071,0.595
"P48","Positiva",0.257,0.095,0.085,0.063
"P48","Neutra",0.431,0.711,0.198,0.157
"P48","Negativa",0.217,0.148,0.629,0.069
"P48","No sabe",0.095,0.046,0.088,0.711
"P49","Positiva",0.43,0.217,0.141,0.152
"P49","Neutra",0.35,0.556,0.174,0.176
"P49","Negativa",0.159,0.203,0.634,0.256
"P49","No sabe",0.061,0.024,0.051,0.416
"P50","Positiva",0.559,0.158,0.089,0.158
"P50","Neutra",0.293,0.544,0.108,0.079
"P50","Negativa",0.138,0.256,0.762,0.256
"P50","No sabe",0.01,0.042,0.041,0.507
