"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria.","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco"
"P05","Mucho",0.296,0.412,0.242,0.167,0.178,0.136
"P05","Bastante",0.341,0.282,0.468,0.348,0.448,0.248
"P05","Poco",0.233,0.259,0.151,0.309,0.251,0.28
"P05","Nada",0.125,0.039,0.097,0.061,0.062,0.18
"P05","No sabe",0.005,0.008,0.042,0.115,0.061,0.156
"P06","Siempre",0.113,0.172,0.204,0.119,0.035,0.045
"P06","Casi siempre",0.302,0.41,0.218,0.171,0.64,0.35
"P06","Casi nunca",0.394,0.305,0.48,0.622,0.196,0.199
"P06","Nunca, pero esta es una excepción",0.191,0.113,0.098,0.088,0.129,0.406
"P10","Unión por la Patria",0.489,0.22,0.123,0.191,0.398,0.122
"P10","Juntos por el Cambio",0.07,0.462,0.053,0.318,0.131,0.047
"P10","De los Liberales libertarios",0.065,0.157,0.674,0.248,0.009,0.006
"P10","De la Izquierda",0.019,0.015,0.092,0.153,0.31,0.007
"P10","Hacemos por nuestro país",0.045,0.024,0.019,0.033,0,0
"P10","En blanco",0.078,0.007,0.006,0.034,0,0.326
"P10","No sabe",0.234,0.115,0.033,0.023,0.152,0.492
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.659,0.221,0.216,0.184,0.457,0.404
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.055,0.585,0.08,0.449,0.148,0.102
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.175,0.109,0.675,0.248,0.023,0.212
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.009,0.02,0.005,0.103,0.024,0.012
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.015,0.022,0,0,0.239,0
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.021,0.04,0.019,0.012,0.003,0.233
"P13_imputada","En blanco",0.066,0.003,0.005,0.004,0.106,0.037
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.461,0.329,0.207,0.358,0.523,0.431
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.221,0.268,0.09,0.352,0.113,0.047
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.208,0.346,0.694,0.245,0.023,0.218
"P17_imputada","Los candidatos a presidente de la Izquierda",0.03,0,0.004,0.008,0.253,0
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.024,0.057,0,0.017,0.058,0.267
"P17_imputada","En blanco",0.056,0,0.005,0.02,0.03,0.037
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.682,0.337,0.232,0.4,0.684,0.727
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.084,0.583,0.202,0.353,0,0.017
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.156,0.076,0.561,0.202,0.094,0.005
"P20_imputada","El candidato a gobernador de la Izquierda",0.008,0,0,0.033,0.192,0.007
"P20_imputada","En blanco",0.07,0.004,0.005,0.012,0.03,0.244
"P26","Totalmente seguro.",0.476,0.664,0.8,0.571,0.827,0.625
"P26","Bastante seguro",0.135,0.164,0.114,0.221,0.028,0.275
"P26","Algo seguro",0.141,0.056,0.074,0.113,0.097,0
"P26","Para nada seguro",0.248,0.116,0.012,0.095,0.048,0.1
"P27","Tiene Decidido que va a ir a votar.",0.851,0.873,0.838,0.828,0.926,0.636
"P27","Tiene dudas sobre si va a ir a  votar",0.111,0.103,0.13,0.172,0.028,0.364
"P27","Tiene Decidido que no va a ir a votar",0.038,0.024,0.032,0,0.046,0
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.357,0.524,0.598,0.534,0.179,0.589
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.134,0.243,0.315,0.065,0.193,0.013
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.272,0.176,0.068,0.173,0.32,0.104
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.108,0.027,0.014,0.009,0.072,0.097
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.043,0,0,0.199,0.179,0.012
"P28","No sabe",0.086,0.03,0.005,0.02,0.057,0.185
"P29","No estaba enterado del tema",0.085,0.056,0.002,0.131,0.075,0.026
"P29","Un tema de la vida privada de él",0.161,0.015,0.139,0.045,0.082,0.021
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.329,0.271,0.182,0.226,0.489,0.438
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.131,0.359,0.199,0.269,0.119,0.016
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.212,0.293,0.466,0.329,0.102,0.335
"P29","No sabe",0.082,0.006,0.012,0,0.133,0.164
"P30","Si",0.719,0.882,0.969,0.767,0.68,0.742
"P30","No",0.281,0.118,0.031,0.233,0.32,0.258
"P31","Sergio Massa",0.375,0.26,0.065,0.147,0.321,0.318
"P31","Patria Bullrich",0.034,0.212,0.095,0.226,0.013,0.193
"P31","Javier Milei",0.183,0.27,0.673,0.229,0.254,0.331
"P31","Myriam Bregman",0.254,0.196,0.126,0.316,0.409,0.158
"P31","Juan Schiaretti",0.154,0.062,0.041,0.082,0.003,0
"P32","Ha aumentado significativamente",0.134,0.047,0.006,0.008,0.132,0.206
"P32","Ha aumentado ligeramente",0.304,0.03,0.321,0.151,0.18,0.182
"P32","Se mantiene igual",0.292,0.502,0.355,0.295,0.488,0.382
"P32","Ha disminuido ligeramente",0.095,0.176,0.162,0.106,0.118,0.106
"P32","Ha disminuido significativamente",0.175,0.245,0.156,0.44,0.082,0.124
"P33","No, ninguna dificultad",0.2,0.228,0.017,0.266,0.456,0.64
"P33","Alguna dificultad ocasional",0.674,0.424,0.506,0.234,0.199,0.267
"P33","Sí, dificultades frecuentes",0.126,0.348,0.477,0.5,0.345,0.093
"P34","Sí, absolutamente",0.654,0.265,0.311,0.535,0.714,0.711
"P34","Sí, en cierta medida",0.343,0.551,0.382,0.176,0.286,0.271
"P34","No, en absoluto",0.003,0.184,0.307,0.289,0,0.018
"P35","Reducir la inflación",0.305,0.367,0.325,0.406,0.336,0.218
"P35","Implementar reformas fiscales",0.086,0.209,0.102,0.058,0.011,0.026
"P35","Establecer políticas de control de precios",0.362,0.052,0.022,0.05,0.185,0.066
"P35","Reducir el gasto público",0.22,0.35,0.542,0.399,0.076,0.473
"P35","Estimular la inversión extranjera",0.027,0.022,0.009,0.044,0.25,0.028
"P35","Aumentar los subsidios a los servicios públicos",0,0,0,0.043,0.142,0.189
"P36","Muy positiva",0.11,0.056,0.156,0.086,0.142,0.168
"P36","Positiva",0.231,0.21,0.112,0.102,0.166,0.147
