"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P05","Mucho",0.483,0.342,0.318,0.455,0.477,0.133
"P05","Bastante",0.305,0.377,0.43,0.211,0.277,0.371
"P05","Poco",0.149,0.243,0.137,0.118,0.174,0.331
"P05","Nada",0.059,0.01,0.102,0.216,0.054,0.101
"P05","No sabe",0.004,0.028,0.013,0,0.018,0.064
"P06","Siempre",0.259,0.153,0.201,0.213,0.287,0.137
"P06","Casi siempre",0.424,0.35,0.327,0.188,0.218,0.361
"P06","Casi nunca",0.21,0.374,0.294,0.52,0.235,0.257
"P06","Nunca, pero esta es una excepción",0.107,0.123,0.178,0.079,0.26,0.245
"P10","Unión por la Patria",0.533,0.422,0.171,0.24,0.118,0.237
"P10","Juntos por el Cambio",0.1,0.235,0.225,0.105,0.485,0.42
"P10","De los Liberales libertarios",0.104,0.163,0.409,0.506,0.199,0.14
"P10","De la Izquierda",0.037,0.028,0.055,0.008,0,0
"P10","Hacemos por nuestro país",0.012,0.038,0.02,0,0.011,0
"P10","En blanco",0.122,0.058,0.007,0.053,0,0.027
"P10","No sabe",0.092,0.056,0.113,0.088,0.187,0.176
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.573,0.541,0.176,0.293,0.167,0.35
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.087,0.195,0.239,0.113,0.378,0.29
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.153,0.185,0.43,0.498,0.237,0.141
"P13","Raul Othacehé a intendente por el frente vecinal crecer",0.013,0.016,0.006,0.008,0.018,0
"P13","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.049,0.019,0.024,0,0.006,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.039,0.02,0.018,0,0.123,0
"P13","En blanco",0.024,0.006,0.013,0,0,0.024
"P13","No sabe",0.062,0.018,0.094,0.088,0.071,0.195
"P16","Si",0.373,0.388,0.395,0.257,0.458,0.371
"P16","No",0.627,0.612,0.605,0.743,0.542,0.629
"P17","Sergio Massa a presidente por Unión por la Patria.",0.489,0.469,0.145,0.344,0.407,0.53
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.193,0.115,0.198,0.369,0.181,0.035
"P17","Javier Milei a presidente por la Libertad Avanza",0.16,0.328,0.55,0.035,0.412,0.059
"P17","Los candidatos a presidente de la Izquierda",0.038,0.05,0.015,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.034,0.023,0.056,0,0,0
"P17","En blanco",0.068,0.004,0.02,0,0,0
"P17","No sabe",0.018,0.011,0.016,0.252,0,0.376
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.68,0.493,0.168,0.344,0.39,0.575
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.079,0.303,0.361,0.367,0.403,0.049
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.206,0.141,0.242,0.072,0.117,0
"P20","El candidato a gobernador de la Izquierda",0.005,0.046,0.035,0,0.09,0
"P20","En blanco",0.004,0.008,0.031,0,0,0
"P20","No sabe",0.026,0.009,0.163,0.217,0,0.376
"P23","Gustavo Menéndez a intendente por Unión por la Patria.",0.345,0.258,0.086,0.397,0.42,0.072
"P23","Zencich a intendente por Juntos por el Cambio",0.186,0.292,0.148,0.187,0.289,0
"P23","Eduardo Varela a intendente por la Libertad Avanza",0.099,0.135,0.326,0,0.112,0.014
"P23","Raul Othacehé a intendente por el frente vecinal crecer",0.065,0.034,0.184,0.074,0.166,0.046
"P23","El candidato a intendente de la Izquierda",0.215,0.096,0.093,0,0.013,0.492
"P23","En blanco",0.057,0.015,0.132,0.035,0,0
"P23","No sabe",0.033,0.17,0.031,0.307,0,0.376
"P26","Totalmente seguro.",0.689,0.751,0.62,0.823,0.624,0.414
"P26","Bastante seguro",0.213,0.136,0.153,0.035,0.148,0.305
"P26","Algo seguro",0.068,0.062,0.141,0,0.023,0.019
"P26","Para nada seguro",0.03,0.051,0.086,0.142,0.205,0.262
"P27","Tiene Decidido que va a ir a votar.",0.911,0.96,0.91,0.75,0.95,0.902
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.036,0.086,0.197,0.022,0.028
"P27","Tiene Decidido que no va a ir a votar",0.04,0.004,0.004,0.053,0.028,0.07
"P28","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.31,0.298,0.676,0.69,0.672,0.241
"P28","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.094,0.224,0.059,0.094,0.236,0.397
"P28","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.363,0.27,0.101,0.108,0.055,0.115
"P28","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.088,0.105,0.032,0,0,0
"P28","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.135,0.033,0.01,0,0,0.135
"P28","No sabe",0.01,0.07,0.122,0.108,0.037,0.112
"P29","No estaba enterado del tema",0.105,0.103,0.113,0.007,0.051,0.022
"P29","Un tema de la vida privada de él",0.147,0.161,0.05,0.062,0,0.005
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.464,0.226,0.088,0.164,0.254,0.219
