"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P06","Muy buena",0.118,0.199,0.175,0.144,0.266
"P06","Buena",0.133,0.181,0.084,0.085,0.338
"P06","Ni buena ni mala",0.298,0.189,0.26,0.208,0.186
"P06","Mala",0.147,0.182,0.132,0.18,0.051
"P06","Muy mala",0.277,0.211,0.285,0.278,0.111
"P06","No sabe",0.027,0.038,0.064,0.105,0.048
"P07","Muy buena",0.088,0.127,0.086,0.054,0.121
"P07","Buena",0.147,0.178,0.177,0.069,0.168
"P07","Ni buena ni mala",0.385,0.341,0.274,0.334,0.233
"P07","Mala",0.129,0.046,0.053,0.144,0.201
"P07","Muy mala",0.11,0.11,0.131,0.123,0.159
"P07","No sabe",0.141,0.198,0.279,0.276,0.118
"P08","Muy buena",0.105,0.159,0.116,0.123,0.18
"P08","Buena",0.136,0.109,0.089,0.045,0.189
"P08","Ni buena ni mala",0.301,0.287,0.257,0.296,0.289
"P08","Mala",0.127,0.184,0.078,0.193,0.044
"P08","Muy mala",0.254,0.197,0.299,0.25,0.131
"P08","No sabe",0.077,0.064,0.161,0.093,0.167
"P09","Muy buena",0.057,0.028,0.027,0.003,0.097
"P09","Buena",0.11,0.137,0.079,0.045,0.264
"P09","Ni buena ni mala",0.362,0.357,0.355,0.376,0.261
"P09","Mala",0.119,0.176,0.155,0.147,0.016
"P09","Muy mala",0.128,0.104,0.079,0.136,0.11
"P09","No sabe",0.224,0.198,0.305,0.293,0.252
"P10","Muy buena",0.071,0.061,0.083,0.039,0.049
"P10","Buena",0.111,0.154,0.108,0.121,0.194
"P10","Ni buena ni mala",0.294,0.285,0.296,0.221,0.173
"P10","Mala",0.224,0.181,0.113,0.314,0.193
"P10","Muy mala",0.222,0.211,0.248,0.217,0.252
"P10","No sabe",0.078,0.108,0.152,0.088,0.139
"P11","Muy buena",0.078,0.12,0.074,0.027,0.032
"P11","Buena",0.087,0.129,0.131,0.073,0.264
"P11","Ni buena ni mala",0.348,0.288,0.295,0.393,0.073
"P11","Mala",0.095,0.13,0.06,0.111,0.133
"P11","Muy mala",0.126,0.076,0.083,0.116,0.26
"P11","No sabe",0.266,0.257,0.357,0.28,0.238
"P12","Muy buena",0.062,0.096,0.062,0,0.014
"P12","Buena",0.056,0.165,0.073,0.107,0.28
"P12","Ni buena ni mala",0.394,0.225,0.379,0.355,0.178
"P12","Mala",0.058,0.109,0.052,0.084,0.102
"P12","Muy mala",0.08,0.06,0.042,0.076,0.049
"P12","No sabe",0.35,0.345,0.392,0.378,0.377
"P13","Muy buena",0.041,0.018,0.009,0,0.146
"P13","Buena",0.034,0.145,0.054,0.011,0
"P13","Ni buena ni mala",0.365,0.378,0.348,0.395,0.481
"P13","Mala",0.063,0.066,0.056,0.1,0
"P13","Muy mala",0.091,0.091,0.04,0.093,0.06
"P13","No sabe",0.406,0.302,0.493,0.401,0.313
"P14","La seguridad",0.053,0.077,0.04,0.039,0.01
