"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"CFK","Positiva",0.379,0.365,0.394,0.276,0.42,0.381,0.437,0.387,0.35,0.428,0.422,0.379,0.26,0.338,0.366,0.447
"CFK","Neutra",0.131,0.105,0.156,0.168,0.119,0.112,0.129,0.174,0.118,0.065,0.115,0.12,0.249,0.178,0.104,0.074
"CFK","Negativa",0.472,0.51,0.435,0.499,0.458,0.499,0.425,0.435,0.497,0.5,0.463,0.463,0.481,0.458,0.53,0.479
"CFK","No sabe",0.018,0.02,0.015,0.057,0.003,0.008,0.009,0.004,0.035,0.007,0,0.038,0.01,0.026,0,0
"Horacio Rodriguez Larreta","Positiva",0.298,0.295,0.302,0.277,0.254,0.35,0.386,0.284,0.318,0.283,0.336,0.243,0.313,0.323,0.194,0.426
"Horacio Rodriguez Larreta","Neutra",0.226,0.263,0.188,0.232,0.26,0.175,0.196,0.283,0.182,0.201,0.162,0.252,0.282,0.194,0.265,0.208
"Horacio Rodriguez Larreta","Negativa",0.427,0.407,0.447,0.434,0.436,0.443,0.357,0.39,0.436,0.491,0.426,0.455,0.34,0.462,0.515,0.316
"Horacio Rodriguez Larreta","No sabe",0.049,0.035,0.063,0.057,0.05,0.032,0.061,0.043,0.064,0.025,0.076,0.05,0.065,0.021,0.026,0.05
"Patricia Bullrich","Positiva",0.29,0.311,0.269,0.242,0.254,0.357,0.374,0.297,0.28,0.299,0.298,0.293,0.293,0.259,0.274,0.314
"Patricia Bullrich","Neutra",0.186,0.184,0.187,0.288,0.159,0.139,0.161,0.152,0.242,0.125,0.181,0.169,0.216,0.143,0.331,0.153
"Patricia Bullrich","Negativa",0.508,0.496,0.52,0.466,0.559,0.486,0.465,0.545,0.451,0.56,0.495,0.536,0.431,0.594,0.379,0.506
"Patricia Bullrich","No sabe",0.016,0.009,0.024,0.004,0.028,0.018,0,0.006,0.027,0.016,0.026,0.002,0.06,0.004,0.016,0.027
"Alberto Fernandez","Positiva",0.257,0.232,0.282,0.147,0.268,0.298,0.357,0.287,0.243,0.222,0.198,0.263,0.392,0.248,0.185,0.286
"Alberto Fernandez","Neutra",0.217,0.21,0.224,0.218,0.266,0.138,0.197,0.232,0.204,0.212,0.235,0.202,0.085,0.338,0.226,0.185
"Alberto Fernandez","Negativa",0.515,0.542,0.488,0.605,0.466,0.555,0.43,0.475,0.534,0.561,0.558,0.514,0.513,0.414,0.585,0.521
"Alberto Fernandez","No sabe",0.011,0.016,0.006,0.03,0,0.009,0.016,0.006,0.019,0.005,0.009,0.021,0.01,0,0.004,0.008
"Javier Milei","Positiva",0.231,0.292,0.169,0.273,0.241,0.221,0.141,0.234,0.22,0.251,0.148,0.252,0.275,0.2,0.177,0.32
"Javier Milei","Neutra",0.216,0.199,0.232,0.256,0.18,0.194,0.292,0.204,0.244,0.175,0.231,0.173,0.227,0.182,0.255,0.301
"Javier Milei","Negativa",0.48,0.48,0.481,0.414,0.489,0.512,0.52,0.487,0.444,0.55,0.539,0.502,0.378,0.54,0.527,0.329
"Javier Milei","No sabe",0.073,0.029,0.118,0.057,0.09,0.073,0.047,0.075,0.092,0.024,0.082,0.073,0.12,0.078,0.041,0.05
"Sergio Massa","Positiva",0.227,0.251,0.203,0.161,0.21,0.253,0.351,0.287,0.185,0.19,0.222,0.206,0.232,0.213,0.322,0.224
"Sergio Massa","Neutra",0.248,0.221,0.274,0.202,0.311,0.187,0.237,0.205,0.274,0.279,0.232,0.245,0.159,0.366,0.196,0.247
"Sergio Massa","Negativa",0.483,0.5,0.467,0.553,0.453,0.516,0.402,0.475,0.477,0.522,0.496,0.491,0.583,0.387,0.482,0.488
"Sergio Massa","No sabe",0.042,0.028,0.056,0.084,0.026,0.044,0.01,0.033,0.064,0.009,0.05,0.058,0.026,0.034,0,0.041
"Mauricio Macri","Positiva",0.217,0.226,0.209,0.212,0.16,0.271,0.315,0.254,0.194,0.193,0.18,0.229,0.213,0.222,0.172,0.264
"Mauricio Macri","Neutra",0.157,0.171,0.141,0.202,0.147,0.119,0.168,0.158,0.16,0.146,0.176,0.148,0.081,0.135,0.275,0.14
"Mauricio Macri","Negativa",0.611,0.59,0.633,0.582,0.677,0.593,0.492,0.58,0.626,0.644,0.628,0.614,0.669,0.64,0.532,0.575
"Mauricio Macri","No sabe",0.015,0.013,0.017,0.004,0.016,0.017,0.025,0.008,0.02,0.017,0.016,0.009,0.037,0.003,0.021,0.021
