"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P08","Muy buena",0.195,0.04,0.017,0.098,0.086,0
"P08","Buena",0.103,0.155,0.043,0.142,0.091,0.007
"P08","Ni buena ni mala",0.36,0.467,0.486,0.317,0.363,0.118
"P08","Mala",0.167,0.128,0.099,0.212,0.065,0.118
"P08","Muy mala",0.064,0.013,0.083,0.086,0.3,0
"P08","No sabe",0.111,0.197,0.272,0.145,0.095,0.757
"P09","Muy buena",0.524,0.072,0.042,0.039,0.022,0
"P09","Buena",0.104,0.403,0.089,0.035,0.007,0
"P09","Ni buena ni mala",0.306,0.322,0.599,0.24,0.131,0.207
"P09","Mala",0.034,0.025,0.074,0.473,0.092,0.34
"P09","Muy mala",0.012,0.074,0.031,0.185,0.722,0.011
"P09","No sabe",0.02,0.104,0.165,0.028,0.026,0.442
"P10","Muy buena",0.177,0.002,0.018,0.083,0.049,0
"P10","Buena",0.087,0.144,0.092,0.043,0.099,0
"P10","Ni buena ni mala",0.385,0.369,0.406,0.429,0.289,0.254
"P10","Mala",0.156,0.103,0.099,0.137,0.086,0.071
"P10","Muy mala",0.071,0.151,0.109,0.156,0.277,0.039
"P10","No sabe",0.124,0.231,0.276,0.152,0.2,0.636
"P11","Muy buena",0.284,0.002,0.076,0.181,0.087,0.039
"P11","Buena",0.035,0.205,0.17,0.136,0.102,0.08
"P11","Ni buena ni mala",0.307,0.262,0.244,0.17,0.142,0.351
"P11","Mala",0.194,0.232,0.208,0.29,0.091,0.05
"P11","Muy mala",0.103,0.269,0.186,0.209,0.524,0.084
"P11","No sabe",0.077,0.03,0.116,0.014,0.054,0.396
"P12","Muy buena",0.08,0.018,0.029,0.117,0.099,0.05
"P12","Buena",0.103,0.11,0.036,0.12,0.078,0.186
"P12","Ni buena ni mala",0.396,0.281,0.364,0.307,0.283,0.11
"P12","Mala",0.105,0.08,0.041,0.114,0.088,0.072
"P12","Muy mala",0.161,0.088,0.09,0.147,0.248,0.035
"P12","No sabe",0.155,0.423,0.44,0.195,0.204,0.547
"P13","Muy buena",0.117,0.007,0.024,0.002,0.052,0.073
"P13","Buena",0.079,0.045,0.029,0.061,0.025,0.199
"P13","Ni buena ni mala",0.375,0.307,0.322,0.408,0.326,0.029
"P13","Mala",0.086,0.056,0.06,0.191,0.088,0.075
"P13","Muy mala",0.149,0.135,0.066,0.031,0.18,0
"P13","No sabe",0.194,0.45,0.499,0.307,0.329,0.624
"P14","Muy buena",0.099,0.003,0.005,0.057,0.026,0
"P14","Buena",0.09,0.057,0.025,0.009,0.034,0.221
"P14","Ni buena ni mala",0.37,0.359,0.288,0.434,0.308,0.104
"P14","Mala",0.135,0.061,0.055,0.127,0.101,0
"P14","Muy mala",0.059,0.132,0.042,0.068,0.195,0.061
"P14","No sabe",0.247,0.388,0.585,0.305,0.336,0.614
"P15","La seguridad",0.2,0.015,0.065,0.03,0.045,0
"P15","El tránsito",0.089,0.038,0.028,0.058,0.08,0.231
"P15","El arreglo de las calles",0.292,0.319,0.255,0.104,0.075,0.261
"P15","El estado de las escuelas y la educación",0.049,0.091,0.066,0.066,0.027,0.014
"P15","El sistema de salud",0.07,0.015,0.038,0.037,0.038,0
"P15","El deporte y la cultura",0.147,0.29,0.205,0.26,0.138,0.132
"P15","La obra pública",0.08,0.035,0.039,0.009,0.015,0.231
"P15","La luminaria",0.005,0,0.082,0.056,0.104,0
"P15","No sabe",0.068,0.197,0.222,0.38,0.478,0.131
"P16","La seguridad",0.524,0.293,0.536,0.472,0.575,0.389
"P16","El tránsito",0.102,0.076,0.012,0.007,0.038,0.153
"P16","El arreglo de las calles",0.082,0.256,0.168,0.208,0.079,0.312
"P16","El estado de las escuelas y la educación",0.06,0.085,0.141,0.071,0.043,0.028
"P16","El sistema de salud",0.028,0.091,0.059,0.06,0.146,0.077
