"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Al candidato del Frente de Todos",0.727,0.219,0.143,0.332
"P07","Al candidato de Juntos por el Cambio",0.136,0.441,0.442,0.331
"P07","Al candidato de los liberales - libertarios",0.038,0.151,0.252,0.067
"P07","Al candidato de la Izquierda",0.01,0.041,0.046,0
"P07","A otro candidato",0.029,0.051,0.08,0.155
"P07","No sabe",0.06,0.097,0.037,0.115
"P08","A Julio Zamora por el Frente de Todos",0.677,0.164,0.08,0.135
"P08","A Malena Galmarini por el Frente de Todos",0.136,0.093,0.097,0.026
"P08","A Segundo Cernadas por Cambiemos",0.11,0.349,0.387,0.353
"P08","A Nicolás Massot por Cambiemos",0.035,0.134,0.153,0.01
"P08","Al candidato de los liberales libertarios",0.006,0.138,0.188,0.067
"P08","A Paula Akerfeld por el Frente de Izquierda",0.003,0.024,0.054,0
"P08","No sabe",0.033,0.098,0.041,0.409
"P10","A Julio Zamora por el Frente de Todos",0.749,0.201,0.079,0.15
"P10","A Segundo Cernadas por Cambiemos",0.163,0.458,0.398,0.355
"P10","Al candidato de los liberales libertarios",0.035,0.151,0.281,0.059
"P10","A Paula Akerfeld por el Frente de Izquierda",0.018,0.031,0.088,0.02
"P10","No sabe",0.035,0.159,0.154,0.416
"P12","A Malena Galmarini por el Frente de Todos",0.578,0.177,0.137,0.083
"P12","A Segundo Cernadas por Cambiemos",0.188,0.492,0.481,0.365
"P12","Al candidato de los liberales libertarios",0.049,0.159,0.257,0.109
"P12","A Paula Akerfeld por el Frente de Izquierda",0.028,0.013,0.061,0
"P12","No sabe",0.157,0.159,0.064,0.443
"P14","Positiva",0.501,0.169,0.155,0.044
"P14","Neutra",0.245,0.262,0.127,0.089
"P14","Negativa",0.214,0.449,0.703,0.274
"P14","No sabe",0.04,0.12,0.015,0.593
"P15","Positiva",0.784,0.243,0.057,0.16
"P15","Neutra",0.162,0.522,0.155,0.072
"P15","Negativa",0.027,0.213,0.78,0.276
"P15","No sabe",0.027,0.022,0.008,0.492
"P16","Positiva",0.284,0.468,0.413,0.216
"P16","Neutra",0.268,0.344,0.252,0.082
"P16","Negativa",0.351,0.14,0.263,0.037
"P16","No sabe",0.097,0.048,0.072,0.665
"P17","Positiva",0.133,0.087,0.094,0
"P17","Neutra",0.336,0.442,0.301,0.084
"P17","Negativa",0.146,0.068,0.306,0.03
"P17","No sabe",0.385,0.403,0.299,0.886
"P18","Positiva",0.137,0.175,0.285,0.028
"P18","Neutra",0.369,0.406,0.325,0.044
"P18","Negativa",0.25,0.117,0.221,0.263
"P18","No sabe",0.244,0.302,0.169,0.665
"P20","Que continúe el intendente Julio Zamora",0.439,0.018,0.022,0
"P20","Que continúe Julio Zamora pero con mejoras",0.431,0.232,0.072,0.196
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.092,0.338,0.074,0.135
"P20","Que cambie el intendente Julio Zamora",0.038,0.412,0.832,0.669
"P21","La seguridad",0.352,0.284,0.212,0.115
"P21","El tránsito",0.052,0.052,0.019,0.034
"P21","El arreglo de las calles",0.195,0.127,0.042,0.099
"P21","El estado de las escuelas y la educación",0.027,0.051,0.082,0.141
"P21","El sistema de salud",0.079,0.106,0.064,0.067
"P21","El deporte y la cultura",0.12,0.103,0.129,0
"P21","La obra pública",0.091,0.023,0.029,0
"P21","La luminaria",0.044,0.059,0.147,0.038
"P21","No sabe",0.04,0.195,0.276,0.506
"P22","La seguridad",0.132,0.202,0.152,0.124
"P22","El tránsito",0.128,0.135,0.119,0.129
"P22","El arreglo de las calles",0.164,0.11,0.186,0.056
