"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Al candidato del Frente de Todos",0.839,0.379,0.193,0.086
"P07","Al candidato de Juntos por el Cambio",0.071,0.205,0.453,0.282
"P07","Al candidato de los liberales - libertarios",0.001,0.118,0.218,0.086
"P07","Al candidato de la Izquierda",0.026,0.137,0.018,0
"P07","A otro candidato",0.02,0.06,0.058,0.501
"P07","No sabe",0.043,0.101,0.06,0.045
"P08","A Julio Zamora por el Frente de Todos",0.623,0.348,0.22,0.086
"P08","A Malena Galmarini por el Frente de Todos",0.154,0.101,0.078,0.467
"P08","A Segundo Cernadas por Cambiemos",0.134,0.251,0.342,0.363
"P08","A Nicolás Massot por Cambiemos",0.029,0.044,0.133,0
"P08","Al candidato de los liberales libertarios",0.001,0.008,0.165,0.005
"P08","A Paula Akerfeld por el Frente de Izquierda",0.019,0.107,0.013,0
"P08","No sabe",0.04,0.141,0.049,0.079
"P10","A Julio Zamora por el Frente de Todos",0.694,0.4,0.225,0.086
"P10","A Segundo Cernadas por Cambiemos",0.115,0.201,0.453,0.282
"P10","Al candidato de los liberales libertarios",0.064,0.099,0.193,0.085
"P10","A Paula Akerfeld por el Frente de Izquierda",0.044,0.168,0.03,0
"P10","No sabe",0.083,0.132,0.099,0.547
"P12","A Malena Galmarini por el Frente de Todos",0.605,0.242,0.178,0.467
"P12","A Segundo Cernadas por Cambiemos",0.184,0.384,0.463,0.418
"P12","Al candidato de los liberales libertarios",0.015,0.113,0.226,0.005
"P12","A Paula Akerfeld por el Frente de Izquierda",0.074,0.039,0.016,0
"P12","No sabe",0.122,0.222,0.117,0.11
"P14","Positiva",0.549,0.261,0.157,0.467
"P14","Neutra",0.214,0.276,0.203,0.434
"P14","Negativa",0.181,0.347,0.589,0.039
"P14","No sabe",0.056,0.116,0.051,0.06
"P15","Positiva",0.68,0.37,0.268,0.389
"P15","Neutra",0.172,0.296,0.278,0.607
"P15","Negativa",0.106,0.244,0.436,0
"P15","No sabe",0.042,0.09,0.018,0.004
"P16","Positiva",0.217,0.204,0.488,0.885
"P16","Neutra",0.223,0.356,0.27,0.115
"P16","Negativa",0.447,0.334,0.161,0
"P16","No sabe",0.113,0.106,0.081,0
"P17","Positiva",0.17,0.063,0.085,0.222
"P17","Neutra",0.3,0.391,0.368,0.091
"P17","Negativa",0.164,0.202,0.166,0.472
"P17","No sabe",0.366,0.344,0.381,0.215
"P18","Positiva",0.172,0.081,0.229,0
"P18","Neutra",0.286,0.35,0.4,0.313
"P18","Negativa",0.316,0.252,0.151,0.039
"P18","No sabe",0.226,0.317,0.22,0.648
"P19","Positiva",0.655,0.363,0.303,0.065
"P19","Neutra",0.16,0.198,0.292,0.463
"P19","Negativa",0.142,0.363,0.391,0.467
"P19","No sabe",0.043,0.076,0.014,0.005
"P20","Que continúe el intendente Julio Zamora",0.358,0.128,0.116,0.031
"P20","Que continúe Julio Zamora pero con mejoras",0.392,0.395,0.18,0.089
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.101,0.09,0.194,0.363
"P20","Que cambie el intendente Julio Zamora",0.149,0.387,0.51,0.517
"P21","La seguridad",0.314,0.146,0.301,0.172
"P21","El tránsito",0.057,0.074,0.033,0
"P21","El arreglo de las calles",0.153,0.251,0.106,0.06
"P21","El estado de las escuelas y la educación",0.034,0.126,0.04,0
"P21","El sistema de salud",0.087,0.034,0.077,0.222
"P21","El deporte y la cultura",0.105,0.076,0.136,0.034
"P21","La obra pública",0.102,0.061,0.026,0
"P21","La luminaria",0.044,0.028,0.112,0
"P21","No sabe",0.104,0.204,0.169,0.512
"P22","La seguridad",0.133,0.366,0.142,0.126
"P22","El tránsito",0.157,0.108,0.128,0.055
"P22","El arreglo de las calles",0.129,0.075,0.172,0.091
"P22","El estado de las escuelas y la educación",0.171,0.084,0.155,0.506
"P22","El sistema de salud",0.198,0.038,0.188,0.222
"P22","El deporte y la cultura",0.02,0.03,0.028,0
"P22","La obra pública",0.022,0.025,0.064,0
"P22","La luminaria",0.023,0,0.024,0
"P22","No sabe",0.147,0.274,0.099,0
"P23","Agua corriente y cloacas",0.361,0.548,0.454,0.577
"P23","Energía eléctrica",0.172,0.052,0.143,0.031
"P23","Red de gas natural",0.112,0.004,0.069,0
"P23","Recolección de residuos",0.126,0.123,0.137,0.115
"P23","Ninguno",0.229,0.273,0.197,0.277
"P24","Los robos",0.224,0.357,0.285,0.06
"P24","El narcotráfico",0.254,0.24,0.274,0.522
"P24","La ausencia de patrulleros y personal policial",0.208,0.12,0.18,0.005
"P24","Otro",0.141,0.156,0.196,0.191
"P24","Ninguno",0.173,0.127,0.065,0.222
"P25","Frente de Todos y el peronismo",0.718,0.368,0.134,0
"P25","Cambiemos",0.133,0.073,0.419,0.115
"P25","Liberales Libertarios",0.052,0.095,0.295,0.005
"P25","Izquierda",0.039,0.032,0.035,0
"P25","No sabe",0.058,0.432,0.117,0.88
"P27","A Alberto Fernández",0.261,0.314,0.209,0
"P27","A Sergio Massa",0.185,0.206,0.285,0
"P27","A algún candidato del peronismo",0.129,0.48,0.212,0
"P27","A algún candidato del kirchnerismo",0.425,0,0.294,0
"P28","A Alberto Fernández",0.181,0.301,0.011,0
"P28","A Sergio Massa",0.117,0.201,0.19,0
"P28","A algún candidato del peronismo",0.15,0.437,0.222,0
"P28","A Cristina Fernández de Kirchner",0.552,0.061,0.577,0
"P29","A Horacio Rodriguez Larreta",0.16,0.657,0.353,0.362
"P29","A Mauricio Macri",0.497,0.109,0.278,0.638
"P29","A Patricia Bullrich",0.152,0.164,0.307,0
"P29","A Facundo Manes",0.113,0,0.045,0
"P29","A Gerardo Morales",0.078,0.07,0.017,0
"P30","Seguro lo votaria",0.361,0.241,0.207,0.638
"P30","Quizás lo votaría",0.298,0.527,0.384,0
"P30","Nunca lo votaría",0.341,0.232,0.409,0.362
"P31","Positiva",0.494,0.116,0.05,0
"P31","Neutra",0.309,0.477,0.073,0.089
"P31","Negativa",0.19,0.392,0.861,0.785
"P31","No sabe",0.007,0.015,0.016,0.126
"P32","Positiva",0.253,0.004,0.404,0.115
"P32","Neutra",0.065,0.466,0.186,0.579
"P32","Negativa",0.662,0.525,0.408,0.039
"P32","No sabe",0.02,0.005,0.002,0.267
"P34","Positiva",0.236,0.249,0.425,0.85
"P34","Neutra",0.105,0.309,0.235,0.037
"P34","Negativa",0.628,0.416,0.333,0.005
"P34","No sabe",0.031,0.026,0.007,0.108
"P35","Positiva",0.547,0.403,0.156,0.274
"P35","Neutra",0.249,0.224,0.102,0.576
"P35","Negativa",0.197,0.373,0.737,0.101
"P35","No sabe",0.007,0,0.005,0.049
"P36","Positiva",0.197,0.252,0.521,0.648
"P36","Neutra",0.056,0.172,0.179,0.266
"P36","Negativa",0.708,0.457,0.294,0.086
"P36","No sabe",0.039,0.119,0.006,0
"P37","Positiva",0.109,0.192,0.415,0.072
"P37","Neutra",0.07,0.224,0.329,0.326
"P37","Negativa",0.744,0.456,0.233,0.602
"P37","No sabe",0.077,0.128,0.023,0
