"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.045,0.027,0.063,0.042,0.045,0.04,0.057,0.051,0.026,0.077,0.035,0.053,0.043,0.017,0.067,0.045,0.053,0.046,0.018,6
"Buena",0.044,0.025,0.066,0.096,0.024,0.029,0.039,0.018,0.073,0.03,0.098,0.049,0.034,0.006,0.017,0.021,0.073,0.016,0.032,6
"Ni buena ni mala",0.397,0.419,0.373,0.334,0.4,0.445,0.413,0.474,0.329,0.404,0.39,0.339,0.383,0.414,0.422,0.536,0.394,0.415,0.443,6
"Mala",0.067,0.077,0.057,0.042,0.091,0.072,0.037,0.055,0.076,0.071,0.079,0.096,0.004,0.102,0.036,0.017,0.059,0.069,0.011,6
"Muy mala",0.099,0.137,0.058,0.166,0.102,0.041,0.072,0.116,0.091,0.083,0.076,0.139,0.052,0.122,0.058,0.068,0.105,0.092,0.161,6
"No sabe",0.348,0.315,0.383,0.32,0.338,0.373,0.382,0.286,0.405,0.335,0.322,0.324,0.484,0.339,0.4,0.313,0.316,0.362,0.335,6
"Positiva",0.089,0.052,0.129,0.138,0.069,0.069,0.096,0.069,0.099,0.107,0.133,0.102,0.077,0.023,0.084,0.066,0.126,0.062,0.05,4
"Neutra",0.397,0.419,0.373,0.334,0.4,0.445,0.413,0.474,0.329,0.404,0.39,0.339,0.383,0.414,0.422,0.536,0.394,0.415,0.443,4
"Negativa",0.166,0.214,0.115,0.208,0.193,0.113,0.109,0.171,0.167,0.154,0.155,0.235,0.056,0.224,0.094,0.085,0.164,0.161,0.172,4
"No sabe",0.348,0.315,0.383,0.32,0.338,0.373,0.382,0.286,0.405,0.335,0.322,0.324,0.484,0.339,0.4,0.313,0.316,0.362,0.335,4
