"var","categoria","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Patricia Bullrich y Mauricio Macri","Al candidato de Javier Milei en el municipio de Merlo","Al candidato de José Luis Espert en la boleta de Espert gobernador","A Cristian Franco por el Frente de Izquierda","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.818,0.102,0.172,0.047,0.118,0.109
"P07","A David Zencich por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta y santilli",0.062,0.479,0.089,0.049,0.013,0.057
"P07","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich y joaquin de la torre ",0.054,0.344,0.16,0.286,0.024,0.023
"P07","Al candidato de Milei en el municipio de Merlo",0.002,0.018,0.512,0.472,0.01,0.082
"P07","Al candidato de Espert en la boleta de Espert gobernador",0.026,0.028,0.029,0.132,0.231,0.047
"P07","A Cristian Franco por el Frente de Izquierda",0.002,0,0,0,0.48,0.058
"P07","No sabe",0.036,0.029,0.038,0.014,0.124,0.624
"P11","A Gustavo Menendez por el Frente de Todos con el apoyo de Cristina Kirchner, Sergio Massa y Alberto Fernández",0.863,0.147,0.025,0.21,0.078,0.066
"P11","A Pablo Cocuzza por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta y Mauricio Macri",0.101,0.684,0.111,0.094,0.03,0.046
"P11","Al candidato de Javier Milei en el municipio de Merlo",0.013,0.092,0.841,0.232,0.013,0.101
"P11","Al candidato de José Luis Espert en la boleta de Espert gobernador",0.003,0.01,0.004,0.374,0.124,0
"P11","A Cristian Franco por el Frente de Izquierda",0.013,0,0.015,0,0.727,0.054
"P11","No sabe",0.007,0.067,0.004,0.09,0.028,0.733
"P13","Muy buena",0.333,0.116,0.093,0.227,0.009,0.033
"P13","Buena",0.275,0.07,0.076,0.027,0.08,0.074
"P13","Ni buena ni mala",0.2,0.194,0.169,0.28,0.226,0.179
"P13","Mala",0.077,0.125,0.127,0.192,0.061,0.257
"P13","Muy mala",0.046,0.421,0.443,0.241,0.614,0.259
"P13","No sabe",0.069,0.074,0.092,0.033,0.01,0.198
"P14","Muy buena",0.094,0.219,0.108,0.052,0.058,0.039
"P14","Buena",0.074,0.205,0.173,0.233,0.007,0.024
"P14","Ni buena ni mala",0.326,0.33,0.268,0.394,0.285,0.235
"P14","Mala",0.172,0.026,0.089,0.17,0.187,0.063
"P14","Muy mala",0.109,0.093,0.184,0.052,0.235,0.161
"P14","No sabe",0.225,0.127,0.178,0.099,0.228,0.478
"P15","Muy buena",0.044,0.146,0.074,0.271,0.009,0.024
"P15","Buena",0.049,0.188,0.153,0.113,0.015,0.026
"P15","Ni buena ni mala",0.321,0.386,0.388,0.306,0.175,0.358
"P15","Mala",0.211,0.04,0.144,0.134,0.166,0.091
"P15","Muy mala",0.125,0.082,0.093,0.053,0.402,0.119
"P15","No sabe",0.25,0.158,0.148,0.123,0.233,0.382
"P16","Muy buena",0.074,0.105,0.101,0.348,0.14,0.137
"P16","Buena",0.083,0.106,0.063,0.123,0.066,0.06
"P16","Ni buena ni mala",0.271,0.229,0.176,0.185,0.27,0.147
"P16","Mala",0.251,0.195,0.225,0.108,0.178,0.153
"P16","Muy mala",0.129,0.27,0.269,0.167,0.278,0.28
"P16","No sabe",0.192,0.095,0.166,0.069,0.068,0.223
"P17","Muy buena",0.011,0.04,0.121,0.202,0.109,0.03
"P17","Buena",0.043,0.019,0.05,0,0.079,0.028
"P17","Ni buena ni mala",0.374,0.453,0.345,0.28,0.224,0.239
"P17","Mala",0.124,0.032,0.036,0.194,0.043,0.014
"P17","Muy mala",0.076,0.144,0.076,0.089,0.168,0.114
"P17","No sabe",0.372,0.312,0.372,0.235,0.377,0.575
"P18","Lo votaría",0.474,0.099,0.084,0.102,0.017,0.018
"P18","Puede que lo vote",0.203,0.119,0.103,0.054,0.04,0.132
"P18","Nunca lo votaría",0.168,0.717,0.666,0.606,0.703,0.601
"P18","No sabe",0.155,0.065,0.147,0.238,0.24,0.249
"P19","Lo votaría",0.065,0.32,0.117,0.037,0.017,0.042
"P19","Puede que lo vote",0.128,0.272,0.281,0.224,0.092,0.013
"P19","Nunca lo votaría",0.536,0.207,0.359,0.33,0.644,0.607
"P19","No sabe",0.271,0.201,0.243,0.409,0.247,0.338
"P20","Lo votaría",0.054,0.202,0.124,0.098,0.022,0.033
"P20","Puede que lo vote",0.099,0.304,0.306,0.228,0.028,0.067
"P20","Nunca lo votaría",0.583,0.241,0.288,0.354,0.737,0.435
"P20","No sabe",0.264,0.253,0.282,0.32,0.213,0.465
"P21","Muy buena",0.563,0.052,0.05,0.108,0.355,0.236
"P21","Buena",0.151,0.037,0.068,0.13,0.159,0.224
"P21","Ni buena ni mala",0.135,0.146,0.171,0.254,0.294,0.204
"P21","Mala",0.075,0.283,0.238,0.096,0.16,0.128
"P21","Muy mala",0.034,0.472,0.422,0.401,0.032,0.118
"P21","No sabe",0.042,0.01,0.051,0.011,0,0.09
"P22","Muy buena",0.079,0.343,0.138,0.022,0.047,0.013
"P22","Buena",0.098,0.231,0.114,0.066,0.041,0.053
"P22","Ni buena ni mala",0.25,0.249,0.344,0.46,0.073,0.294
"P22","Mala",0.226,0.053,0.196,0.175,0.278,0.204
"P22","Muy mala",0.207,0.077,0.107,0.153,0.437,0.228
"P22","No sabe",0.14,0.047,0.101,0.124,0.124,0.208
"P23","Muy buena",0.032,0.183,0.068,0.022,0.011,0.019
"P23","Buena",0.043,0.258,0.133,0.204,0.025,0.009
"P23","Ni buena ni mala",0.3,0.308,0.41,0.327,0.155,0.282
"P23","Mala",0.201,0.083,0.104,0.098,0.271,0.21
"P23","Muy mala",0.251,0.075,0.143,0.246,0.457,0.296
"P23","No sabe",0.173,0.093,0.142,0.103,0.081,0.184
"P24","Muy buena",0.033,0.192,0.235,0.273,0.035,0.064
"P24","Buena",0.029,0.233,0.247,0.329,0,0.021
"P24","Ni buena ni mala",0.26,0.367,0.262,0.275,0.111,0.139
"P24","Mala",0.153,0.072,0.097,0.037,0.208,0.315
"P24","Muy mala",0.361,0.046,0.024,0.075,0.599,0.266
"P24","No sabe",0.164,0.09,0.135,0.011,0.047,0.195
"P25","Muy buena",0.023,0.122,0.216,0.106,0.011,0.005
"P25","Buena",0.074,0.222,0.153,0.069,0,0.055
"P25","Ni buena ni mala",0.291,0.302,0.362,0.519,0.253,0.175
"P25","Mala",0.167,0.122,0.17,0.068,0.194,0.143
"P25","Muy mala",0.299,0.087,0.023,0.137,0.403,0.402
"P25","No sabe",0.146,0.145,0.076,0.101,0.139,0.22
"P26","Lo votaría",0.663,0.084,0.051,0.235,0.6,0.442
"P26","Puede que lo vote",0.097,0.066,0.044,0.127,0.073,0.114
"P26","Nunca lo votaría",0.136,0.81,0.748,0.599,0.212,0.269
"P26","No sabe",0.104,0.04,0.157,0.039,0.115,0.175
"P27","Lo votaría",0.065,0.455,0.177,0.056,0.01,0.087
"P27","Puede que lo vote",0.074,0.279,0.331,0.451,0.02,0.157
"P27","Nunca lo votaría",0.626,0.205,0.386,0.421,0.955,0.594
"P27","No sabe",0.235,0.061,0.106,0.072,0.015,0.162
"P28","Lo votaría",0.022,0.307,0.222,0.218,0.01,0.014
"P28","Puede que lo vote",0.06,0.335,0.273,0.164,0.02,0.092
"P28","Nunca lo votaría",0.634,0.226,0.32,0.406,0.83,0.656
"P28","No sabe",0.284,0.132,0.185,0.212,0.14,0.238
"P29","Lo votaría",0.037,0.233,0.297,0.611,0.031,0.05
"P29","Puede que lo vote",0.062,0.307,0.371,0.135,0,0.073
"P29","Nunca lo votaría",0.606,0.27,0.226,0.147,0.813,0.649
"P29","No sabe",0.295,0.19,0.106,0.107,0.156,0.228
"P30","Lo votaría",0.048,0.129,0.208,0.142,0.01,0.033
"P30","Puede que lo vote",0.055,0.299,0.299,0.161,0.016,0.137
"P30","Nunca lo votaría",0.65,0.4,0.332,0.352,0.752,0.643
"P30","No sabe",0.247,0.172,0.161,0.345,0.222,0.187
"P31","La seguridad",0.106,0.148,0.133,0,0,0.066
"P31","El tránsito",0.019,0.021,0.137,0,0,0.018
"P31","El arreglo de las calles",0.3,0.193,0.045,0.11,0.053,0.197
"P31","Los parques y espacios públicos",0.271,0.087,0.143,0.222,0.404,0.245
"P31","El sistema de salud",0.058,0.038,0.041,0,0.149,0.003
"P31","La limpieza de las calles",0.04,0.012,0.018,0.019,0,0.088
"P31","El deporte y la cultura",0.073,0.046,0.032,0.086,0.159,0.031
"P31","La luminaria",0.017,0.04,0.025,0,0,0.026
"P31","No sabe",0.116,0.415,0.426,0.563,0.235,0.326
"P32","La seguridad",0.375,0.545,0.502,0.521,0.292,0.381
"P32","El tránsito",0.055,0.036,0.002,0,0.018,0.015
"P32","El arreglo de las calles",0.184,0.12,0.143,0.247,0.179,0.12
"P32","Los parques y espacios públicos",0.044,0.005,0.009,0.057,0.014,0.019
"P32","El sistema de salud",0.176,0.129,0.205,0.083,0.427,0.231
"P32","La limpieza de las calles",0.034,0.025,0.007,0,0,0.039
"P32","El deporte y la cultura",0.024,0.025,0,0,0.017,0.008
"P32","La luminaria",0.013,0,0.019,0,0,0.051
"P32","No sabe",0.095,0.115,0.113,0.092,0.053,0.136
"P33","Agua corriente y cloacas",0.45,0.506,0.496,0.411,0.559,0.434
"P33","Energía eléctrica",0.143,0.184,0.141,0.054,0.035,0.155
"P33","Red de gas natural",0.074,0.075,0.113,0.176,0.061,0.131
"P33","Recolección de residuos",0.109,0.136,0.164,0.312,0.265,0.099
"P33","Ninguno",0.224,0.099,0.086,0.047,0.08,0.181
"P34","Los robos",0.504,0.551,0.569,0.371,0.39,0.295
"P34","El narcotráfico",0.195,0.131,0.133,0.137,0.136,0.285
"P34","La ausencia de patrulleros y personal policial",0.212,0.226,0.145,0.245,0.241,0.253
"P34","Otro",0.058,0.063,0.134,0.245,0.197,0.14
"P34","Ninguno",0.031,0.029,0.019,0.002,0.036,0.027
"P35","Muy buena",0.151,0.119,0.04,0,0,0.039
"P35","Buena",0.306,0.062,0.056,0.131,0.037,0.192
"P35","Ni buena ni mala",0.323,0.291,0.121,0.244,0.608,0.298
"P35","Mala",0.115,0.255,0.403,0.243,0.215,0.153
"P35","Muy mala",0.076,0.236,0.278,0.382,0.034,0.263
"P35","No sabe",0.029,0.037,0.102,0,0.106,0.055
"P36","Muy buena",0.138,0.05,0.016,0.022,0,0
"P36","Buena",0.289,0.101,0.034,0.179,0,0.206
"P36","Ni buena ni mala",0.35,0.301,0.142,0.148,0.586,0.317
"P36","Mala",0.105,0.268,0.337,0.319,0.172,0.175
"P36","Muy mala",0.052,0.204,0.367,0.332,0.146,0.235
"P36","No sabe",0.066,0.076,0.104,0,0.096,0.067
"P37","Frente de Todos y el peronismo",0.763,0.061,0.027,0.132,0.429,0.453
"P37","Cambiemos",0.137,0.617,0.199,0.165,0,0.02
"P37","Liberales",0.04,0.142,0.607,0.582,0,0.098
"P37","Izquierda",0.012,0.078,0.052,0.058,0.51,0.112
"P37","No sabe",0.048,0.102,0.115,0.063,0.061,0.317
"P39","A Alberto Fernández",0.316,0.712,0.966,0,0.056,0.008
"P39","A Sergio Massa",0.18,0.054,0,0,0.056,0.262
"P39","A algún candidato del peronismo",0.09,0.208,0,0,0.182,0.088
"P39","A algún candidato del kirchnerismo",0.414,0.026,0.034,1,0.706,0.642
"P40","A Alberto Fernández",0.247,0.663,0,0,0.027,0.02
"P40","A Sergio Massa",0.164,0.043,0,0,0.029,0.106
"P40","A algún candidato del peronismo",0.01,0.208,0.966,0,0.044,0.188
"P40","A Cristina Fernández de Kirchner",0.579,0.086,0.034,1,0.9,0.686
"P41","A Horacio Rodriguez Larreta",0.167,0.413,0.061,0,0,0.544
"P41","A Mauricio Macri",0.258,0.117,0.022,0.258,0,0
"P41","A Patricia Bullrich",0.237,0.456,0.917,0.457,0,0.181
"P41","A Facundo Manes",0.299,0.014,0,0.285,0,0
"P41","A Gerardo Morales",0.039,0,0,0,0,0.275
"P42","Muy buena",0.217,0.07,0.006,0,0,0.076
"P42","Buena",0.203,0.023,0,0.133,0.202,0.09
"P42","Ni buena ni mala",0.297,0.111,0.436,0,0.46,0.321
"P42","Mala",0.189,0.218,0.113,0.215,0.24,0.296
"P42","Muy mala",0.05,0.578,0.438,0.652,0.098,0.189
"P42","No sabe",0.044,0,0.007,0,0,0.028
"P43","Muy buena",0.073,0.234,0.183,0.159,0,0.008
"P43","Buena",0.012,0.178,0.182,0.109,0,0.019
"P43","Ni buena ni mala",0.116,0.274,0.386,0.195,0.17,0.136
"P43","Mala",0.227,0.1,0.095,0.275,0.223,0.249
"P43","Muy mala",0.54,0.214,0.154,0.262,0.607,0.553
"P43","No sabe",0.032,0,0,0,0,0.035
"P44","Muy buena",0.67,0.034,0.096,0.136,0.399,0.338
"P44","Buena",0.096,0.075,0.019,0,0.079,0.144
"P44","Ni buena ni mala",0.065,0.029,0.061,0,0.32,0.05
"P44","Mala",0.054,0.209,0.087,0.2,0.083,0.128
"P44","Muy mala",0.103,0.648,0.732,0.664,0.119,0.291
"P44","No sabe",0.012,0.005,0.005,0,0,0.049
"P45","Muy buena",0.11,0.355,0.172,0.002,0.02,0.07
"P45","Buena",0.05,0.22,0.132,0.116,0,0.078
"P45","Ni buena ni mala",0.139,0.202,0.201,0.138,0.105,0.111
