"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P06","Al candidato del Frente de Todos",0.674,0.727,0.399,0.055,0.02,0.329
"P06","Al candidato de Juntos por el Cambio",0.218,0.203,0.218,0.414,0.576,0.165
"P06","Al candidato de la Izquierda",0,0.006,0.083,0.078,0.028,0.042
"P06","A otro candidato",0.02,0.017,0.163,0.25,0.247,0.098
"P06","No sabe",0.088,0.047,0.137,0.203,0.129,0.366
"P07","A Gustavo Menéndez",0.173,0.61,0.65,0.849,0.8,0.668
"P07","A Karina Menéndez",0.827,0.364,0.045,0,0,0.069
"P07","A Florencia Lizaraso",0,0,0.142,0.06,0,0.091
"P07","No sabe",0,0.026,0.163,0.091,0.2,0.172
"P08","A Gustavo Menéndez por el Frente de Todos",0.674,0.449,0.217,0.031,0.049,0.199
"P08","A Raúl Othacehé por el Frente de Todos",0.087,0.199,0.13,0.272,0.162,0.136
"P08","A David Zencich por Juntos por el Cambio",0.028,0.253,0.183,0.27,0.332,0.048
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.159,0.031,0.095,0.069,0.138,0.056
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.02,0.029,0.165,0.234,0.205,0.324
"P08","Al candidato del Frente de Izquierda",0,0.006,0.082,0.031,0.059,0.026
"P08","En blanco",0,0.006,0.024,0.015,0.04,0.025
"P08","No sabe",0.032,0.027,0.104,0.078,0.015,0.186
"P10","A Gustavo Menéndez por el Frente de Todos",0.785,0.575,0.246,0.085,0.058,0.197
"P10","A Raúl Othacehé por un partido vecinal",0.077,0.111,0.087,0.186,0.128,0.112
"P10","A David Zencich por Juntos por el Cambio",0.065,0.248,0.167,0.259,0.345,0.171
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.021,0.01,0.117,0.074,0.189,0.017
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.02,0.017,0.118,0.263,0.204,0.188
"P10","Al candidato del Frente de Izquierda",0,0.006,0.115,0.038,0.043,0.042
"P10","En blanco",0,0.006,0.041,0.025,0.014,0.036
"P10","No sabe",0.032,0.027,0.109,0.07,0.019,0.237
"P12","Lo votaría",0.665,0.579,0.246,0.038,0.017,0.281
"P12","Puede que lo vote",0.031,0.195,0.167,0.062,0.132,0.059
"P12","Nunca lo votaría",0.137,0.22,0.446,0.81,0.783,0.477
"P12","No sabe",0.167,0.006,0.141,0.09,0.068,0.183
"P13","Lo votaría",0.452,0.194,0.159,0.079,0.219,0.235
"P13","Puede que lo vote",0.06,0.159,0.142,0.058,0.195,0.207
"P13","Nunca lo votaría",0.488,0.587,0.559,0.798,0.563,0.347
"P13","No sabe",0,0.06,0.14,0.065,0.023,0.211
"P14","Lo votaría",0.237,0.226,0.196,0.225,0.319,0.069
"P14","Puede que lo vote",0.05,0.125,0.105,0.155,0.337,0.268
"P14","Nunca lo votaría",0.678,0.589,0.492,0.404,0.284,0.32
"P14","No sabe",0.035,0.06,0.207,0.216,0.06,0.343
"P15","Lo votaría",0.08,0.155,0.128,0.198,0.237,0.009
"P15","Puede que lo vote",0.041,0.108,0.203,0.193,0.367,0.245
"P15","Nunca lo votaría",0.674,0.5,0.518,0.364,0.336,0.356
"P15","No sabe",0.205,0.237,0.151,0.245,0.06,0.39
"P16","Lo votaría",0.55,0.311,0.077,0.011,0.011,0.11
"P16","Puede que lo vote",0.094,0.238,0.314,0.02,0.084,0.071
"P16","Nunca lo votaría",0.187,0.324,0.419,0.899,0.902,0.544
"P16","No sabe",0.169,0.127,0.19,0.07,0.003,0.275
"P17","Lo votaría",0.153,0.1,0.063,0.021,0.06,0.105
"P17","Puede que lo vote",0.167,0.184,0.167,0.051,0.086,0.071
