"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P08","Siempre",0.207,0.193,0.194,0.149
"P08","Casi siempre",0.389,0.368,0.281,0.557
"P08","Casi nunca",0.295,0.362,0.373,0.158
"P08","Nunca, pero esta es una excepción",0.109,0.077,0.152,0.136
"P09","Positiva",0.662,0.163,0.038,0.062
"P09","Neutra",0.266,0.674,0.228,0.362
"P09","Negativa",0.054,0.155,0.734,0.175
"P09","No sabe",0.018,0.008,0,0.401
"P11","Muy de acuerdo",0.235,0.045,0.028,0.039
"P11","De acuerdo",0.303,0.131,0.084,0.094
"P11","Ni de acuerdo ni en desacuerdo",0.254,0.54,0.242,0.164
"P11","En desacuerdo",0.042,0.09,0.262,0.049
"P11","Muy en desacuerdo",0.015,0.004,0.241,0.105
"P11","No sabe",0.151,0.19,0.143,0.549
"P14","Muy de acuerdo",0.228,0.064,0.08,0.069
"P14","De acuerdo",0.143,0.113,0.017,0.03
"P14","Ni de acuerdo ni en desacuerdo",0.304,0.387,0.243,0.315
"P14","En desacuerdo",0.191,0.262,0.238,0.109
"P14","Muy en desacuerdo",0.077,0.125,0.342,0.056
"P14","No sabe",0.057,0.049,0.08,0.421
"P15","Muy de acuerdo",0.493,0.277,0.123,0.158
"P15","De acuerdo",0.216,0.245,0.11,0.092
"P15","Ni de acuerdo ni en desacuerdo",0.152,0.251,0.299,0.259
"P15","En desacuerdo",0.083,0.159,0.264,0.224
"P15","Muy en desacuerdo",0.052,0.048,0.178,0.068
"P15","No sabe",0.004,0.02,0.026,0.199
"P16","Si",0.569,0.327,0.31,0.124
"P16","No",0.252,0.293,0.44,0.265
"P16","No sabe",0.179,0.38,0.25,0.611
"P17","Muy de acuerdo",0.414,0.287,0.369,0.143
"P17","De acuerdo",0.284,0.198,0.192,0.198
"P17","Ni de acuerdo ni en desacuerdo",0.194,0.318,0.193,0.184
"P17","En desacuerdo",0.061,0.106,0.129,0.207
"P17","Muy en desacuerdo",0.031,0.052,0.067,0.023
"P17","No sabe",0.016,0.039,0.05,0.245
"P18","Muy de acuerdo",0.221,0.042,0.077,0.07
"P18","De acuerdo",0.351,0.169,0.092,0.067
"P18","Ni de acuerdo ni en desacuerdo",0.236,0.445,0.243,0.241
