"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P08","Siempre",0.439,0.198,0.122,0.202,0.164,0.304
"P08","Casi siempre",0.333,0.452,0.373,0.311,0.441,0.019
"P08","Casi nunca",0.168,0.293,0.338,0.367,0.301,0.236
"P08","Nunca, pero esta es una excepción",0.06,0.057,0.167,0.12,0.094,0.441
"P09","Muy buena",0.298,0.11,0.169,0.171,0.099,0.304
"P09","Buena",0.255,0.315,0.176,0.352,0.239,0.377
"P09","Ni buena ni mala",0.298,0.403,0.546,0.274,0.359,0.06
"P09","Mala",0.12,0.115,0.081,0.167,0.18,0.202
"P09","Muy mala",0.029,0.025,0.006,0.021,0.093,0
"P09","No sabe",0,0.032,0.022,0.015,0.03,0.057
"P10","Muy buena",0.381,0.145,0.218,0.232,0.145,0.176
"P10","Buena",0.261,0.441,0.357,0.341,0.276,0.522
"P10","Ni buena ni mala",0.154,0.287,0.34,0.242,0.33,0.302
"P10","Mala",0.116,0.09,0.049,0.159,0.11,0
"P10","Muy mala",0.076,0.011,0.009,0.006,0.109,0
"P10","No sabe",0.012,0.026,0.027,0.02,0.03,0
"P11","Muy de acuerdo",0.31,0.143,0.115,0.094,0.056,0.682
"P11","De acuerdo",0.288,0.249,0.201,0.224,0.143,0.016
"P11","Ni de acuerdo ni en desacuerdo",0.246,0.337,0.478,0.394,0.365,0.243
"P11","En desacuerdo",0.01,0.069,0.054,0.127,0.089,0.018
"P11","Muy en desacuerdo",0.029,0.009,0.001,0.009,0.128,0
"P11","No sabe",0.117,0.193,0.151,0.152,0.219,0.041
"P14","Muy de acuerdo",0.436,0.147,0.217,0.049,0.054,0.522
"P14","De acuerdo",0.115,0.243,0.088,0.117,0.046,0.16
"P14","Ni de acuerdo ni en desacuerdo",0.231,0.267,0.355,0.393,0.293,0.24
"P14","En desacuerdo",0.099,0.24,0.171,0.301,0.249,0.037
"P14","Muy en desacuerdo",0.081,0.051,0.062,0.076,0.27,0
"P14","No sabe",0.038,0.052,0.107,0.064,0.088,0.041
"P15","Muy de acuerdo",0.515,0.368,0.412,0.446,0.32,0.101
"P15","De acuerdo",0.179,0.341,0.259,0.155,0.14,0.556
"P15","Ni de acuerdo ni en desacuerdo",0.096,0.187,0.227,0.199,0.204,0.183
"P15","En desacuerdo",0.167,0.091,0.05,0.172,0.191,0.16
"P15","Muy en desacuerdo",0.043,0.009,0.017,0.021,0.132,0
"P15","No sabe",0,0.004,0.035,0.007,0.013,0
"P16","Si",0.51,0.383,0.331,0.535,0.488,0.233
"P16","No",0.313,0.282,0.303,0.21,0.296,0.525
"P16","No sabe",0.177,0.335,0.366,0.255,0.216,0.242
