"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.124,0.139,0.108,0.105,0.131,0.107,0.166,0.216,0.088,0.091,0.122,0.258,0.083,0.058,0.205,0.07,0.176,0.078,6
"Buena",0.188,0.197,0.178,0.204,0.166,0.175,0.258,0.161,0.234,0.153,0.195,0.274,0.21,0.102,0.205,0.181,0.217,0.161,6
"Ni buena ni mala",0.328,0.285,0.374,0.346,0.329,0.332,0.281,0.248,0.343,0.377,0.358,0.226,0.375,0.289,0.356,0.303,0.265,0.384,6
"Mala",0.169,0.148,0.192,0.158,0.176,0.18,0.148,0.15,0.161,0.198,0.148,0.148,0.154,0.38,0.118,0.202,0.2,0.142,6
"Muy mala",0.139,0.166,0.11,0.153,0.146,0.133,0.102,0.159,0.13,0.132,0.13,0.056,0.126,0.167,0.072,0.186,0.121,0.155,6
"No sabe",0.052,0.065,0.038,0.034,0.052,0.073,0.045,0.066,0.044,0.049,0.047,0.038,0.052,0.004,0.044,0.058,0.021,0.08,6
"Positiva",0.312,0.336,0.286,0.309,0.297,0.282,0.424,0.377,0.322,0.244,0.317,0.532,0.293,0.16,0.41,0.251,0.393,0.239,4
"Neutra",0.328,0.285,0.374,0.346,0.329,0.332,0.281,0.248,0.343,0.377,0.358,0.226,0.375,0.289,0.356,0.303,0.265,0.384,4
"Negativa",0.308,0.314,0.302,0.311,0.322,0.313,0.25,0.309,0.291,0.33,0.278,0.204,0.28,0.547,0.19,0.388,0.321,0.297,4
"No sabe",0.052,0.065,0.038,0.034,0.052,0.073,0.045,0.066,0.044,0.049,0.047,0.038,0.052,0.004,0.044,0.058,0.021,0.08,4
