codigo	bloque	paleta	texto	label	aclaracion
P08	Control		¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P09	Bloque General	diverging	¿Qué opinión tiene usted sobre la gestión del actual Gobierno de la Provincia de Neuquén?	Opinión sobre la gestión del gobierno provincial	
P10	Bloque General	diverging	¿Podría indicarnos cuáles son sus expectativas sobre el gobierno  de Rolo Figueroa 	Expectativas sobre el gobierno de Rolo Figueroa	
P11	Bloque General	diverging	¿Qué opinión tiene usted sobre la gestión del actual Gobierno de la Intendencia de Neuquén?	Opinión sobre el gobierno de la Intendencia	(Sólo Neuquén Capital)
P12	Bloque General	diverging	¿Podría indicarnos cuáles son sus expectativas sobre el gobierno  de Mariano Gaido 	Expectativas sobre el gobierno de Mariano Gaido	(Sólo Neuquén Capital)
P13	Bloque General	sino	¿Podría indicarnos si cree que Rolo Figueroa tiene capacidad de gestión?	Opinión sobre la capacidad de gestión de Rolo Figueroa	
P14	Bloque General	sino	¿Podría indicarnos si cree que Mariano Gaido tiene capacidad de gestión?	Opinión sobre la capacidad de gestión de Mariano Gaido	(Sólo Neuquén Capital)
P15	Bloque General	quali	Quien considera usted que es el principal responsable de la actual situación de la provincia de Neuquén	Opinión sobre la responsabilidad de la actual situación de la Provincia	
P16	Bloque General	quali	Y quien considera usted que es él principal responsable de la situación actual de la provincia de Neuquén	Opinión sobre la persona responsable de la situación actual de la Provincia	(Responsabilidad Provincial)
P17	Bloque General	quali	Y quien considera usted que es él más responsable de la actual situación de la provincia de Neuquén	Opinión sobre la persona responsable de la situación actual de la Provincia	(Responsabilidad Nacional)
P18	Bloque General	diverging	¿Cuál es su opinión sobre la gestión de la salud pública de la provincia?	Opinión sobre la gestión de la salud pública provincial	
P19	Bloque General	diverging	¿Cuál es su opinión sobre la gestión de la educación pública de la provincia?	Opinión sobre la gestión de la educación pública provincial	
P20	Bloque General	diverging	¿Cuál es su opinión sobre la gestión de la seguridad de la provincia?	Opinión sobre la gestión de la seguridad provincial	
P21	Bloque General	diverging	Que opinión tiene usted sobre la creación de una empresa energética patagónica	Opinión sobre la creación de una empresa energética Patagónica	
P22	Bloque General	quali	Quien considera usted que debería administrar las centrales hidroeléctricas localizadas en la provincia de Neuquén	Opinión sobre la administración de centrales hidroeléctricas	
