"var","categoria","Si","Es probable","No","No sabe"
"P08","Empleado sector publico",0.327,0.269,0.224,0.195
"P08","Empleado sector privado",0.289,0.304,0.271,0.272
"P08","Changas o trabajos eventuales",0.185,0.18,0.191,0.192
"P08","Estudiante",0.014,0.014,0.093,0.015
"P08","Amas de casa",0.042,0.09,0.084,0.094
"P08","Profesional o independiente",0.065,0.058,0.042,0.075
"P08","Comerciante, emprendedor o empresario",0.04,0.028,0.026,0.077
"P08","Trabajador informal",0.005,0.01,0.012,0.002
"P08","No tengo trabajo",0.033,0.047,0.057,0.078
"P09","Siempre",0.299,0.212,0.205,0.142
"P09","Casi siempre",0.307,0.423,0.356,0.361
"P09","Casi nunca",0.267,0.26,0.315,0.33
"P09","Nunca, pero esta es una excepción",0.127,0.105,0.124,0.167
"P10","Muy buena",0.222,0.176,0.16,0.154
"P10","Buena",0.16,0.325,0.211,0.18
"P10","Ni buena ni mala",0.337,0.322,0.391,0.431
"P10","Mala",0.136,0.098,0.197,0.076
"P10","Muy mala",0.127,0.025,0.032,0.041
"P10","No sabe",0.018,0.054,0.009,0.118
"P11","Muy buena",0.263,0.143,0.193,0.111
"P11","Buena",0.171,0.407,0.292,0.288
"P11","Ni buena ni mala",0.271,0.274,0.335,0.382
"P11","Mala",0.153,0.11,0.103,0.1
"P11","Muy mala",0.123,0.025,0.031,0.027
"P11","No sabe",0.019,0.041,0.046,0.092
"P13","Muy buena",0.26,0.18,0.192,0.107
"P13","Buena",0.164,0.372,0.242,0.27
"P13","Ni buena ni mala",0.256,0.268,0.343,0.436
"P13","Mala",0.167,0.105,0.174,0.071
"P13","Muy mala",0.131,0.035,0.039,0.033
"P13","No sabe",0.022,0.04,0.01,0.083
"P14","Muy buena",0.191,0.102,0.155,0.064
"P14","Buena",0.096,0.311,0.154,0.202
"P14","Ni buena ni mala",0.217,0.194,0.288,0.328
"P14","Mala",0.272,0.289,0.221,0.241
"P14","Muy mala",0.218,0.062,0.136,0.067
"P14","No sabe",0.006,0.042,0.046,0.098
"P15","Muy buena",0.188,0.174,0.133,0.089
"P15","Buena",0.115,0.283,0.147,0.143
"P15","Ni buena ni mala",0.259,0.271,0.35,0.432
"P15","Mala",0.229,0.12,0.185,0.139
"P15","Muy mala",0.182,0.075,0.133,0.073
"P15","No sabe",0.027,0.077,0.052,0.124
"P16","Muy buena",0.214,0.166,0.176,0.123
"P16","Buena",0.09,0.326,0.241,0.166
"P16","Ni buena ni mala",0.206,0.216,0.277,0.347
"P16","Mala",0.257,0.153,0.143,0.155
"P16","Muy mala",0.213,0.083,0.094,0.073
"P16","No sabe",0.02,0.056,0.069,0.136
"P17","Muy buena",0.214,0.105,0.164,0.114
"P17","Buena",0.067,0.295,0.304,0.147
"P17","Ni buena ni mala",0.12,0.106,0.277,0.276
"P17","Mala",0.226,0.241,0.113,0.114
"P17","Muy mala",0.364,0.234,0.115,0.181
"P17","No sabe",0.009,0.019,0.027,0.168
"P18","Muy buena",0.494,0.243,0.115,0.102
"P18","Buena",0.153,0.316,0.126,0.218
"P18","Ni buena ni mala",0.119,0.145,0.146,0.157
"P18","Mala",0.104,0.161,0.238,0.182
"P18","Muy mala",0.121,0.117,0.361,0.192
"P18","No sabe",0.009,0.018,0.014,0.149
"P20","Muy buena",0.17,0.097,0.106,0.074
"P20","Buena",0.105,0.316,0.174,0.179
"P20","Ni buena ni mala",0.235,0.284,0.377,0.329
"P20","Mala",0.213,0.115,0.155,0.103
"P20","Muy mala",0.245,0.109,0.093,0.119
"P20","No sabe",0.032,0.079,0.095,0.196
"P21","Si",0.498,0.375,0.503,0.368
"P21","No",0.338,0.45,0.266,0.199
"P21","No sabe",0.164,0.175,0.231,0.433
"P23","Gobierno nacional",0.276,0.262,0.424,0.271
"P23","Gobierno provincial",0.651,0.579,0.425,0.421
"P23","No sabe",0.073,0.159,0.151,0.308
"P24","El gobierno anterior de Omar Gutierrez",0.591,0.229,0.35,0.241
"P24","El actual gobierno de Rolo Figueroa",0.145,0.484,0.261,0.172
"P24","No sabe",0.264,0.287,0.389,0.587
"P25","El gobierno anterior de Alberto Fernández",0.84,0.457,0.08,0.394
"P25","El actual gobierno de Javier Milei",0.116,0.463,0.82,0.304
"P25","No sabe",0.044,0.08,0.1,0.302
"P26","Si",0.892,0.745,0.845,0.644
"P26","No",0.108,0.255,0.155,0.356
"P27","Si",0.249,0.214,0.588,0.142
"P27","No estoy seguro",0.424,0.558,0.24,0.442
"P27","No",0.267,0.117,0.083,0.075
"P27","No sabe",0.06,0.111,0.089,0.341
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.407,0.207,0.168,0.047
"P28","Investigaciones científicas no declaradas con fines secretos",0.239,0.427,0.254,0.099
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.224,0.12,0.109,0.019
"P28","Otro",0.061,0.083,0.153,0.171
"P28","No sabe",0.069,0.163,0.316,0.664
"P29","Es imposible",0.492,0.188,0.197,0.06
"P29","Es muy difícil",0.321,0.54,0.086,0.141
"P29","Es bastante factible",0.056,0.1,0.279,0.043
"P29","Es posible",0.082,0.1,0.33,0.297
"P29","No sabe",0.049,0.072,0.108,0.459
"P31","De acuerdo",0.905,0.479,0.14,0.22
"P31","Ni de acuerdo ni en desacuerdo",0.054,0.401,0.228,0.226
"P31","En desacuerdo",0.034,0.083,0.599,0.128
"P31","No sabe",0.007,0.037,0.033,0.426
"P32","Si",0.839,0.571,0.638,0.371
"P32","No",0.098,0.318,0.18,0.136
"P32","No sabe",0.063,0.111,0.182,0.493
"P33","Muy de acuerdo",0.432,0.106,0.036,0.126
"P33","De acuerdo",0.238,0.313,0.112,0.069
"P33","Ni de acuerdo ni en desacuerdo",0.144,0.253,0.105,0.131
"P33","En desacuerdo",0.156,0.262,0.603,0.452
"P33","Muy en desacuerdo",0.026,0.033,0.124,0.153
"P33","No sabe",0.004,0.033,0.02,0.069
"P34","Si",0.819,0.495,0.701,0.463
"P34","No",0.181,0.505,0.299,0.537
"P35","Muy de acuerdo",0.411,0.151,0.08,0.108
"P35","De acuerdo",0.245,0.359,0.104,0.114
"P35","Ni de acuerdo ni en desacuerdo",0.157,0.19,0.103,0.202
"P35","En desacuerdo",0.125,0.224,0.5,0.286
"P35","Muy en desacuerdo",0.053,0.073,0.209,0.249
"P35","No sabe",0.009,0.003,0.004,0.041
"P36","1-Excelente",0.322,0.211,0.176,0.061
"P36","2",0.061,0.237,0.095,0.198
"P36","3",0.06,0.051,0.046,0.109
"P36","4",0.035,0.046,0.065,0.087
"P36","5",0.144,0.107,0.247,0.14
"P36","6",0.029,0.026,0.038,0.023
"P36","7",0.029,0.021,0.068,0.006
"P36","8",0.03,0.011,0.047,0.013
"P36","9-Pésimo",0.206,0.156,0.181,0.187
"P36","No sabe",0.084,0.134,0.037,0.176
"P37","1-Excelente",0.269,0.107,0.121,0.084
"P37","2",0.102,0.27,0.088,0.101
"P37","3",0.042,0.062,0.047,0.135
"P37","4",0.077,0.062,0.064,0.136
"P37","5",0.144,0.117,0.255,0.129
"P37","6",0.064,0.066,0.123,0.017
"P37","7",0.037,0.029,0.076,0.022
"P37","8",0.03,0.033,0.052,0.023
"P37","9-Pésimo",0.19,0.181,0.141,0.192
"P37","No sabe",0.045,0.073,0.033,0.161
"P38","1-Excelente",0.288,0.131,0.109,0.091
"P38","2",0.058,0.259,0.105,0.135
"P38","3",0.064,0.045,0.11,0.048
"P38","4",0.075,0.09,0.093,0.078
"P38","5",0.115,0.115,0.194,0.118
"P38","6",0.051,0.052,0.088,0.093
"P38","7",0.068,0.038,0.063,0.019
"P38","8",0.03,0.023,0.049,0.046
"P38","9-Pésimo",0.195,0.127,0.132,0.2
"P38","No sabe",0.056,0.12,0.057,0.172
"P39","1-Excelente",0.247,0.116,0.151,0.11
"P39","2",0.09,0.261,0.075,0.107
"P39","3",0.062,0.109,0.088,0.085
"P39","4",0.087,0.067,0.065,0.086
"P39","5",0.131,0.124,0.208,0.171
"P39","6",0.037,0.039,0.104,0.048
"P39","7",0.048,0.022,0.072,0.016
"P39","8",0.042,0.017,0.043,0.035
"P39","9-Pésimo",0.195,0.143,0.148,0.169
"P39","No sabe",0.061,0.102,0.046,0.173
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.29,0.278,0.729,0.408
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.156,0.319,0.161,0.146
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.318,0.181,0.03,0.079
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.223,0.149,0.027,0.11
"P40","No sabe",0.013,0.073,0.053,0.257
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.25,0.234,0.628,0.289
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.124,0.237,0.208,0.181
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.342,0.419,0.115,0.17
