"var","categoria","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","No sabe"
"P08","Empleado sector publico",0.319,0.219,0.245,0.162
"P08","Empleado sector privado",0.262,0.391,0.274,0.202
"P08","Changas o trabajos eventuales",0.193,0.185,0.188,0.179
"P08","Estudiante",0.012,0.05,0.092,0
"P08","Amas de casa",0.06,0.054,0.091,0.119
"P08","Profesional o independiente",0.074,0.044,0.037,0.048
"P08","Comerciante, emprendedor o empresario",0.039,0.015,0.019,0.154
"P08","Trabajador informal",0.005,0.017,0.006,0.004
"P08","No tengo trabajo",0.036,0.025,0.048,0.132
"P09","Siempre",0.262,0.2,0.237,0.215
"P09","Casi siempre",0.323,0.46,0.333,0.319
"P09","Casi nunca",0.305,0.259,0.295,0.217
"P09","Nunca, pero esta es una excepción",0.11,0.081,0.135,0.249
"P10","Muy buena",0.212,0.192,0.153,0.156
"P10","Buena",0.192,0.307,0.203,0.111
"P10","Ni buena ni mala",0.329,0.345,0.394,0.459
"P10","Mala",0.147,0.084,0.203,0.027
"P10","Muy mala",0.1,0.048,0.037,0.036
"P10","No sabe",0.02,0.024,0.01,0.211
"P11","Muy buena",0.258,0.185,0.116,0.088
"P11","Buena",0.224,0.366,0.269,0.283
"P11","Ni buena ni mala",0.262,0.298,0.386,0.351
"P11","Mala",0.15,0.064,0.164,0.032
"P11","Muy mala",0.087,0.061,0.041,0.03
"P11","No sabe",0.019,0.026,0.024,0.216
"P13","Muy buena",0.255,0.189,0.111,0.186
"P13","Buena",0.191,0.404,0.218,0.244
"P13","Ni buena ni mala",0.255,0.31,0.409,0.374
"P13","Mala",0.161,0.049,0.219,0.027
"P13","Muy mala",0.116,0.027,0.037,0.028
"P13","No sabe",0.022,0.021,0.006,0.141
"P14","Muy buena",0.178,0.116,0.081,0.172
"P14","Buena",0.105,0.349,0.154,0.228
"P14","Ni buena ni mala",0.219,0.247,0.296,0.315
"P14","Mala",0.299,0.159,0.291,0.112
"P14","Muy mala",0.178,0.081,0.144,0.047
"P14","No sabe",0.021,0.048,0.034,0.126
"P15","Muy buena",0.174,0.168,0.078,0.228
"P15","Buena",0.127,0.287,0.15,0.157
"P15","Ni buena ni mala",0.275,0.338,0.363,0.323
"P15","Mala",0.227,0.078,0.222,0.046
"P15","Muy mala",0.167,0.059,0.141,0.024
"P15","No sabe",0.03,0.07,0.046,0.222
"P16","Muy buena",0.191,0.167,0.192,0.117
"P16","Buena",0.103,0.389,0.234,0.181
"P16","Ni buena ni mala",0.221,0.248,0.282,0.317
"P16","Mala",0.262,0.078,0.153,0.083
"P16","Muy mala",0.193,0.07,0.088,0.03
"P16","No sabe",0.03,0.048,0.051,0.272
"P17","Muy buena",0.167,0.192,0.139,0.146
"P17","Buena",0.082,0.35,0.317,0.152
"P17","Ni buena ni mala",0.115,0.225,0.263,0.288
"P17","Mala",0.248,0.116,0.133,0.053
"P17","Muy mala",0.374,0.109,0.109,0.098
"P17","No sabe",0.014,0.008,0.039,0.263
"P18","Muy buena",0.454,0.117,0.089,0.162
"P18","Buena",0.174,0.307,0.127,0.165
"P18","Ni buena ni mala",0.127,0.164,0.13,0.178
"P18","Mala",0.109,0.202,0.265,0.161
"P18","Muy mala",0.12,0.204,0.356,0.147
"P18","No sabe",0.016,0.006,0.033,0.187
"P20","Muy buena",0.166,0.082,0.085,0.096
"P20","Buena",0.11,0.361,0.173,0.201
"P20","Ni buena ni mala",0.272,0.273,0.371,0.281
"P20","Mala",0.193,0.105,0.177,0.035
"P20","Muy mala",0.219,0.099,0.11,0.037
"P20","No sabe",0.04,0.08,0.084,0.35
"P21","Si",0.51,0.437,0.404,0.301
"P21","No",0.345,0.313,0.366,0.171
"P21","No sabe",0.145,0.25,0.23,0.528
"P23","Gobierno nacional",0.28,0.273,0.434,0.216
"P23","Gobierno provincial",0.636,0.539,0.45,0.292
"P23","No sabe",0.084,0.188,0.116,0.492
"P24","El gobierno anterior de Omar Gutierrez",0.548,0.186,0.333,0.152
"P24","El actual gobierno de Rolo Figueroa",0.179,0.448,0.257,0.195
"P24","No sabe",0.273,0.366,0.41,0.653
"P25","El gobierno anterior de Alberto Fernández",0.714,0.187,0.13,0.492
"P25","El actual gobierno de Javier Milei",0.172,0.719,0.757,0.442
"P25","No sabe",0.114,0.094,0.113,0.066
"P26","Si",0.926,0.639,0.82,0.458
"P26","No",0.074,0.361,0.18,0.542
"P27","Si",0.22,0.327,0.652,0.066
"P27","No estoy seguro",0.459,0.497,0.188,0.386
"P27","No",0.231,0.066,0.058,0.2
"P27","No sabe",0.09,0.11,0.102,0.348
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.364,0.104,0.153,0.058
"P28","Investigaciones científicas no declaradas con fines secretos",0.262,0.416,0.243,0.028
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.206,0.066,0.131,0.027
"P28","Otro",0.044,0.134,0.202,0.2
"P28","No sabe",0.124,0.28,0.271,0.687
"P29","Es imposible",0.404,0.175,0.214,0.08
"P29","Es muy difícil",0.343,0.416,0.064,0.134
"P29","Es bastante factible",0.085,0.098,0.252,0.04
"P29","Es posible",0.101,0.164,0.381,0.21
"P29","No sabe",0.067,0.147,0.089,0.536
"P30","Si",0.701,0.118,0.076,0.041
"P30","Es probable",0.184,0.441,0.09,0.102
"P30","No",0.062,0.286,0.747,0.107
"P30","No sabe",0.053,0.155,0.087,0.75
"P32","Si",0.842,0.512,0.492,0.32
"P32","No",0.104,0.333,0.233,0.05
"P32","No sabe",0.054,0.155,0.275,0.63
"P33","Muy de acuerdo",0.354,0.083,0.085,0.059
"P33","De acuerdo",0.213,0.322,0.094,0.075
"P33","Ni de acuerdo ni en desacuerdo",0.198,0.119,0.074,0.158
"P33","En desacuerdo",0.19,0.354,0.637,0.429
"P33","Muy en desacuerdo",0.029,0.107,0.11,0.137
"P33","No sabe",0.016,0.015,0,0.142
"P34","Si",0.767,0.526,0.708,0.321
"P34","No",0.233,0.474,0.292,0.679
"P35","Muy de acuerdo",0.367,0.06,0.107,0.095
"P35","De acuerdo",0.232,0.365,0.064,0.113
"P35","Ni de acuerdo ni en desacuerdo",0.173,0.183,0.108,0.085
"P35","En desacuerdo",0.167,0.237,0.504,0.341
"P35","Muy en desacuerdo",0.057,0.148,0.205,0.293
"P35","No sabe",0.004,0.007,0.012,0.073
"P36","1-Excelente",0.273,0.214,0.145,0.212
"P36","2",0.077,0.266,0.076,0.198
"P36","3",0.071,0.045,0.063,0.012
"P36","4",0.037,0.051,0.069,0.109
"P36","5",0.154,0.15,0.214,0.091
"P36","6",0.029,0.019,0.054,0.004
"P36","7",0.021,0.036,0.074,0.02
"P36","8",0.033,0.006,0.035,0.031
"P36","9-Pésimo",0.203,0.133,0.223,0.114
"P36","No sabe",0.102,0.08,0.047,0.209
"P37","1-Excelente",0.229,0.083,0.127,0.192
"P37","2",0.097,0.28,0.095,0.096
"P37","3",0.06,0.083,0.04,0.011
"P37","4",0.069,0.057,0.072,0.242
"P37","5",0.161,0.167,0.189,0.098
"P37","6",0.072,0.041,0.13,0.012
"P37","7",0.034,0.051,0.073,0.013
"P37","8",0.035,0.013,0.059,0.034
