"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"1-Excelente",0.189,0.196,0.182,0.361,0.139,0.079,0.132,0.324,0.135,0.121,0.248,0.149,0.113,0.205,0.267,0.174,0.24,0.145
"2",0.12,0.104,0.136,0.095,0.111,0.165,0.129,0.081,0.166,0.087,0.112,0.153,0.09,0.076,0.11,0.132,0.104,0.133
"3",0.07,0.061,0.078,0.063,0.056,0.104,0.072,0.029,0.095,0.075,0.051,0.063,0.163,0.077,0.097,0.055,0.082,0.058
"4",0.083,0.072,0.095,0.065,0.096,0.075,0.093,0.087,0.078,0.086,0.062,0.102,0.116,0.134,0.056,0.09,0.072,0.093
"5",0.135,0.168,0.099,0.09,0.145,0.189,0.114,0.108,0.122,0.187,0.171,0.118,0.144,0.07,0.14,0.138,0.108,0.158
"6",0.065,0.072,0.058,0.064,0.042,0.07,0.149,0.073,0.049,0.082,0.048,0.058,0.052,0.11,0.043,0.058,0.076,0.055
"7",0.055,0.066,0.044,0.031,0.07,0.043,0.091,0.031,0.064,0.07,0.071,0.046,0.027,0.012,0.052,0.062,0.043,0.066
"8",0.035,0.046,0.023,0.019,0.042,0.046,0.03,0.014,0.039,0.054,0.042,0.036,0.031,0.015,0.02,0.044,0.036,0.034
"9-Pésimo",0.166,0.158,0.175,0.146,0.21,0.146,0.091,0.165,0.156,0.185,0.156,0.164,0.133,0.199,0.156,0.154,0.165,0.168
"No sabe",0.082,0.057,0.11,0.066,0.089,0.083,0.099,0.088,0.096,0.053,0.039,0.111,0.131,0.102,0.059,0.093,0.074,0.09
