"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P07_imputadas","Julieta Corroza por Comunidad",0.277,0.307,0.27,0.168,0.071
"P07_imputadas","Sergio Soto por el MPN",0.162,0.208,0.155,0.395,0.186
"P07_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.366,0.143,0.434,0.106,0.34
"P07_imputadas","Andrés Peressini por Iguales",0.088,0.222,0.102,0.208,0.192
"P07_imputadas","Karina Ortiz por el PJ",0.107,0.12,0.039,0.123,0.211
"P11_imputadas","Julieta Corroza por Comunidad",0.429,0.402,0.435,0.295,0.222
"P11_imputadas","Sergio Soto por el MPN",0.091,0.229,0.13,0.17,0.154
"P11_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.3,0.163,0.132,0.096,0.109
"P11_imputadas","Andrés Peressini por Iguales",0.153,0.154,0.211,0.234,0.146
"P11_imputadas","Karina Ortiz por el PJ",0.027,0.052,0.092,0.205,0.369
