"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P07_imputadas","Julieta Corroza por Comunidad",0.237,0.156,0.342,0.22
"P07_imputadas","Sergio Soto por el MPN",0.159,0.295,0.148,0.285
"P07_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.213,0.257,0.348,0.179
"P07_imputadas","Andrés Peressini por Iguales",0.069,0.081,0.123,0.245
"P07_imputadas","Karina Ortiz por el PJ",0.322,0.211,0.039,0.071
"P11_imputadas","Julieta Corroza por Comunidad",0.541,0.277,0.453,0.348
"P11_imputadas","Sergio Soto por el MPN",0.147,0.104,0.105,0.211
"P11_imputadas","Luis Bertolini por Desarrollo Ciudadano",0.081,0.249,0.238,0.145
"P11_imputadas","Andrés Peressini por Iguales",0.108,0.228,0.189,0.14
"P11_imputadas","Karina Ortiz por el PJ",0.123,0.142,0.015,0.156
