"var","categoria","La política no sirve para nada","La política no me interesa","La política me interesa poco","La política me interesa","La política es muy importante","No sabe"
"P05","Sergio Massa por el Frente de Todos",0.113,0.111,0.148,0.193,0.306,0.148
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.105,0.09,0.126,0.132,0.094,0.09
"P05","Patricia Bulrich por Juntos por el Cambio",0.227,0.217,0.199,0.221,0.202,0.056
"P05","Javier Milei por La Libertad Avanza",0.353,0.288,0.285,0.266,0.186,0.259
"P05","Al candidato del Frente de Izquierda",0.018,0.019,0.029,0.028,0.039,0.006
"P05","No sabe",0.184,0.275,0.213,0.16,0.173,0.441
"P09","Si, habitualmente",0.21,0.111,0.166,0.251,0.267,0.153
"P09","Algunas veces",0.336,0.398,0.424,0.466,0.341,0.262
"P09","Nunca, pero esta es una excepción",0.454,0.491,0.41,0.283,0.392,0.585
"P10","Si",0.462,0.185,0.413,0.48,0.499,0.374
"P10","No",0.538,0.815,0.587,0.52,0.501,0.626
"P12","Nunca",0.775,0.744,0.682,0.567,0.492,0.708
"P12","A veces",0.122,0.167,0.161,0.244,0.313,0.145
"P12","Siempre",0.051,0.054,0.113,0.072,0.153,0.049
"P12","No sabe",0.052,0.035,0.044,0.117,0.042,0.098
"P13","Los políticos son todos ladrones y corruptos",0.629,0.443,0.213,0.147,0.135,0.278
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.175,0.251,0.315,0.198,0.159,0.212
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.143,0.19,0.251,0.396,0.333,0.333
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.031,0.052,0.144,0.174,0.179,0.091
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.014,0.037,0.015,0.045,0.138,0.043
"P13","No sabe",0.008,0.027,0.062,0.04,0.056,0.043
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.363,0.226,0.266,0.252,0.187,0.19
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.169,0.19,0.212,0.193,0.12,0.247
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.126,0.218,0.203,0.254,0.215,0.2
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.086,0.095,0.123,0.121,0.202,0.121
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.099,0.105,0.114,0.115,0.213,0.085
"P14","No sabe",0.157,0.166,0.082,0.065,0.063,0.157
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.679,0.403,0.381,0.433,0.303,0.449
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.1,0.113,0.195,0.2,0.149,0.057
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.087,0.202,0.172,0.2,0.245,0.185
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.038,0.104,0.135,0.08,0.14,0.064
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.034,0.051,0.032,0.059,0.13,0.065
"P15","No sabe",0.062,0.127,0.085,0.028,0.033,0.18
"P16","Muy de derecha",0.396,0.316,0.17,0.187,0.138,0.195
"P16","De derecha",0.255,0.256,0.304,0.266,0.203,0.349
"P16","De centro",0.176,0.298,0.348,0.381,0.312,0.251
"P16","De centro izquierda",0.093,0.093,0.099,0.11,0.27,0.155
"P16","Muy de izquierda",0.08,0.037,0.079,0.056,0.077,0.05
"P17","Muy de derecha",0.251,0.287,0.247,0.149,0.115,0.344
"P17","De derecha",0.148,0.152,0.14,0.114,0.098,0.051
"P17","De centro",0.098,0.099,0.142,0.112,0.126,0.122
"P17","De centro izquierda",0.134,0.231,0.154,0.256,0.398,0.146
"P17","Muy de izquierda",0.369,0.231,0.317,0.369,0.263,0.337
"P18","Muy de derecha",0.272,0.321,0.19,0.218,0.283,0.268
"P18","De derecha",0.332,0.227,0.287,0.296,0.328,0.231
"P18","De centro",0.161,0.176,0.233,0.292,0.184,0.142
"P18","De centro izquierda",0.087,0.072,0.175,0.128,0.103,0.108
"P18","Muy de izquierda",0.148,0.204,0.115,0.066,0.102,0.251
"P19","Muy de derecha",0.437,0.426,0.414,0.491,0.583,0.478
"P19","De derecha",0.205,0.218,0.227,0.182,0.208,0.13
"P19","De centro",0.133,0.167,0.134,0.125,0.101,0.113
"P19","De centro izquierda",0.062,0.054,0.112,0.072,0.036,0.044
"P19","Muy de izquierda",0.163,0.135,0.113,0.13,0.072,0.235
"P20","Si",0.424,0.423,0.413,0.493,0.481,0.274
"P20","No",0.576,0.577,0.587,0.507,0.519,0.726
