"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Tengo trabajo estable",0.486,0.536,0.585,0.467
"P05","Realizo changas o trabajos de vez en cuando",0.216,0.119,0.144,0.173
"P05","No tengo trabajo",0.107,0.105,0.118,0.154
"P05","Soy jubilado o pensionado",0.191,0.24,0.153,0.206
"P06","1",0.377,0.291,0.297,0.257
"P06","2",0.067,0.085,0.052,0.049
"P06","3",0.051,0.07,0.05,0.053
"P06","4",0.072,0.08,0.054,0.076
"P06","5",0.198,0.221,0.213,0.251
"P06","6",0.03,0.037,0.048,0.065
"P06","7",0.034,0.08,0.073,0.079
"P06","8",0.051,0.043,0.044,0.039
"P06","9",0.12,0.093,0.169,0.131
"P07","1",0.211,0.181,0.288,0.267
"P07","2",0.035,0.041,0.049,0.048
"P07","3",0.017,0.032,0.05,0.046
"P07","4",0.045,0.048,0.046,0.043
"P07","5",0.203,0.204,0.199,0.237
"P07","6",0.067,0.074,0.04,0.05
"P07","7",0.1,0.109,0.039,0.074
"P07","8",0.072,0.062,0.062,0.057
"P07","9",0.25,0.249,0.227,0.178
"P08","1",0.218,0.295,0.407,0.386
"P08","2",0.027,0.041,0.029,0.041
"P08","3",0.027,0.025,0.027,0.026
"P08","4",0.025,0.024,0.024,0.028
"P08","5",0.127,0.143,0.112,0.128
"P08","6",0.031,0.035,0.018,0.019
"P08","7",0.032,0.045,0.027,0.042
"P08","8",0.086,0.049,0.036,0.038
"P08","9",0.427,0.343,0.32,0.292
"P10","Del Frente de Todos y el peronismo",0.185,0.192,0.341,0.278
"P10","De Cambiemos",0.583,0.49,0.271,0.28
"P10","De los Liberales libertarios",0.201,0.206,0.232,0.174
"P10","De la Izquierda",0.005,0.043,0.039,0.038
"P10","No sabe",0.026,0.069,0.117,0.23
"P11","A Alberto Fernández",0.404,0.266,0.116,0.17
"P11","A Sergio Massa",0.071,0.204,0.202,0.168
"P11","A algún candidato del peronismo",0.229,0.157,0.165,0.133
"P11","A algún candidato del kirchnerismo",0.296,0.373,0.517,0.529
"P12","A Alberto Fernández",0.17,0.148,0.063,0.107
"P12","A Sergio Massa",0.086,0.154,0.129,0.104
"P12","A algún candidato del peronismo",0.125,0.145,0.113,0.106
"P12","A Cristina Fernández de Kirchner",0.619,0.553,0.695,0.683
"P13","A Horacio Rodriguez Larreta",0.159,0.17,0.281,0.304
"P13","A Patricia Bullrich",0.668,0.707,0.596,0.555
"P13","A Facundo Manes",0.084,0.076,0.074,0.076
