"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Tengo trabajo estable",0.613,0.592,0.574,0.505
"P05","Realizo changas o trabajos de vez en cuando",0.071,0.121,0.13,0.153
"P05","No tengo trabajo",0.083,0.107,0.129,0.161
"P05","Soy jubilado o pensionado",0.233,0.18,0.167,0.181
"P06","1",0.167,0.228,0.336,0.268
"P06","2",0.052,0.049,0.065,0.029
"P06","3",0.016,0.043,0.08,0.07
"P06","4",0.034,0.059,0.074,0.061
"P06","5",0.164,0.232,0.229,0.356
"P06","6",0.051,0.066,0.042,0.008
"P06","7",0.17,0.104,0.043,0.023
"P06","8",0.079,0.059,0.036,0.048
"P06","9",0.267,0.16,0.095,0.137
"P07","1",0.46,0.352,0.166,0.229
"P07","2",0.072,0.062,0.035,0.082
"P07","3",0.066,0.088,0.041,0.016
"P07","4",0.037,0.055,0.038,0.036
"P07","5",0.145,0.184,0.212,0.277
"P07","6",0.029,0.058,0.06,0.028
"P07","7",0.048,0.03,0.085,0.063
"P07","8",0.038,0.028,0.08,0.042
"P07","9",0.105,0.143,0.283,0.227
"P08","1",0.615,0.497,0.279,0.347
"P08","2",0.029,0.033,0.031,0.042
"P08","3",0.028,0.033,0.029,0.005
"P08","4",0.014,0.03,0.032,0.066
"P08","5",0.088,0.074,0.139,0.155
"P08","6",0.009,0.024,0.028,0.007
"P08","7",0.02,0.013,0.052,0.024
"P08","8",0.013,0.029,0.052,0.024
"P08","9",0.184,0.267,0.358,0.33
"P10","Del Frente de Todos y el peronismo",0.81,0.529,0.105,0.27
"P10","De Cambiemos",0.066,0.183,0.477,0.244
"P10","De los Liberales libertarios",0.053,0.145,0.306,0.205
"P10","De la Izquierda",0.016,0.029,0.038,0.022
"P10","No sabe",0.055,0.114,0.074,0.259
"P11","A Alberto Fernández",0.132,0.127,0.198,0.445
"P11","A Sergio Massa",0.187,0.261,0.16,0.144
"P11","A algún candidato del peronismo",0.124,0.117,0.182,0.095
"P11","A algún candidato del kirchnerismo",0.557,0.495,0.46,0.316
"P12","A Alberto Fernández",0.064,0.053,0.079,0.243
"P12","A Sergio Massa",0.12,0.198,0.076,0.054
"P12","A algún candidato del peronismo",0.06,0.113,0.186,0.142
"P12","A Cristina Fernández de Kirchner",0.756,0.636,0.659,0.561
"P13","A Horacio Rodriguez Larreta",0.359,0.366,0.218,0.19
"P13","A Patricia Bullrich",0.274,0.476,0.703,0.555
"P13","A Facundo Manes",0.317,0.107,0.05,0.191
"P13","A Gerardo Morales",0.05,0.051,0.029,0.064
"P14","Lo votaría",0.751,0.462,0.082,0.154
"P14","Puede que lo vote",0.072,0.117,0.054,0.176
"P14","Nunca lo votaría",0.122,0.352,0.826,0.517
"P14","No sabe",0.055,0.069,0.038,0.153
"P15","Lo votaría",0.242,0.114,0.034,0.04
"P15","Puede que lo vote",0.43,0.321,0.074,0.157
"P15","Nunca lo votaría",0.206,0.456,0.838,0.452
"P15","No sabe",0.122,0.109,0.054,0.351
"P16","Lo votaría",0.057,0.108,0.229,0.118
"P16","Puede que lo vote",0.109,0.18,0.309,0.088
"P16","Nunca lo votaría",0.785,0.617,0.405,0.441
"P16","No sabe",0.049,0.095,0.057,0.353
"P17","Lo votaría",0.037,0.095,0.208,0.161
"P17","Puede que lo vote",0.089,0.17,0.315,0.087
"P17","Nunca lo votaría",0.797,0.652,0.384,0.341
"P17","No sabe",0.077,0.083,0.093,0.411
"P18","Lo votaría",0.246,0.197,0.043,0.107
"P18","Puede que lo vote",0.444,0.291,0.093,0.193
"P18","Nunca lo votaría",0.221,0.453,0.835,0.49
"P18","No sabe",0.089,0.059,0.029,0.21
"P19","Lo votaría",0.076,0.064,0.05,0.084
"P19","Puede que lo vote",0.128,0.152,0.163,0.19
"P19","Nunca lo votaría",0.726,0.71,0.739,0.412
