"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Tengo trabajo estable",0.535,0.607,0.573,0.675,0.565,0.477
"P05","Realizo changas o trabajos de vez en cuando",0.131,0.073,0.128,0.08,0.131,0.078
"P05","No tengo trabajo",0.09,0.09,0.099,0.074,0.138,0.294
"P05","Soy jubilado o pensionado",0.244,0.23,0.2,0.171,0.166,0.151
"P06","1",0.317,0.177,0.127,0.175,0.363,0.167
"P06","2",0.035,0.045,0.04,0.032,0.072,0.121
"P06","3",0.03,0.028,0.024,0.034,0.087,0
"P06","4",0.018,0.023,0.049,0.074,0.077,0.034
"P06","5",0.142,0.167,0.2,0.28,0.231,0.415
"P06","6",0.075,0.051,0.069,0.061,0.034,0
"P06","7",0.031,0.158,0.191,0.142,0.024,0.049
"P06","8",0.047,0.084,0.091,0.07,0.026,0.064
"P06","9",0.305,0.267,0.209,0.132,0.086,0.15
"P07","1",0.476,0.436,0.387,0.26,0.168,0.258
"P07","2",0.036,0.077,0.075,0.046,0.038,0.121
"P07","3",0.023,0.043,0.079,0.118,0.038,0
"P07","4",0.02,0.036,0.053,0.068,0.035,0.034
"P07","5",0.181,0.147,0.167,0.208,0.213,0.191
"P07","6",0.029,0.039,0.044,0.051,0.06,0.016
"P07","7",0.016,0.046,0.051,0.062,0.081,0.174
"P07","8",0.03,0.028,0.03,0.069,0.077,0.044
"P07","9",0.189,0.148,0.114,0.118,0.29,0.162
"P08","1",0.527,0.663,0.651,0.5,0.224,0.316
"P08","2",0.007,0.029,0.025,0.042,0.035,0
"P08","3",0.035,0.024,0.032,0.024,0.029,0
"P08","4",0.002,0.016,0.023,0.024,0.035,0.174
"P08","5",0.073,0.102,0.074,0.096,0.144,0.097
"P08","6",0.012,0.006,0.026,0.011,0.029,0
"P08","7",0.004,0.018,0.006,0.046,0.051,0
"P08","8",0.005,0.013,0.011,0.043,0.054,0.093
"P08","9",0.335,0.129,0.152,0.214,0.399,0.32
"P10","Del Frente de Todos y el peronismo",0.77,0.892,0.693,0.449,0.046,0.217
"P10","De Cambiemos",0.058,0.038,0.086,0.244,0.507,0.203
"P10","De los Liberales libertarios",0.06,0.008,0.039,0.125,0.352,0.265
"P10","De la Izquierda",0.043,0.013,0.049,0.065,0.023,0
"P10","No sabe",0.069,0.049,0.133,0.117,0.072,0.315
"P11","A Alberto Fernández",0.424,0.177,0.073,0.093,0.1,0
"P11","A Sergio Massa",0.217,0.217,0.201,0.174,0.164,0.294
"P11","A algún candidato del peronismo",0.107,0.126,0.106,0.109,0.352,0.217
"P11","A algún candidato del kirchnerismo",0.252,0.48,0.62,0.624,0.384,0.489
"P12","A Alberto Fernández",0.3,0.071,0.013,0.007,0.069,0
"P12","A Sergio Massa",0.128,0.145,0.127,0.112,0.142,0
"P12","A algún candidato del peronismo",0.046,0.079,0.087,0.107,0.335,0
"P12","A Cristina Fernández de Kirchner",0.526,0.705,0.773,0.774,0.454,1
"P13","A Horacio Rodriguez Larreta",0.5,0.223,0.288,0.28,0.228,0.428
"P13","A Patricia Bullrich",0.357,0.127,0.39,0.429,0.709,0.572
