"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Tengo trabajo estable",0.652,0.513,0.65,0.668,0.507
"P05","Realizo changas o trabajos de vez en cuando",0.124,0.113,0.141,0.144,0.204
"P05","No tengo trabajo",0.077,0.093,0.116,0.099,0.145
"P05","Soy jubilado o pensionado",0.147,0.281,0.093,0.089,0.144
"P06","1",0.16,0.356,0.382,0.215,0.226
"P06","2",0.054,0.079,0.103,0.039,0.034
"P06","3",0.018,0.096,0.113,0,0.038
"P06","4",0.046,0.111,0.055,0.004,0.061
"P06","5",0.147,0.182,0.135,0.082,0.346
"P06","6",0.082,0.041,0.031,0.042,0.065
"P06","7",0.189,0.041,0.048,0.151,0.054
"P06","8",0.104,0.027,0.043,0.06,0.06
"P06","9",0.2,0.067,0.09,0.407,0.116
"P07","1",0.45,0.152,0.126,0.439,0.226
"P07","2",0.09,0.029,0.044,0.064,0.057
"P07","3",0.095,0.019,0.037,0.092,0.044
"P07","4",0.06,0.045,0.034,0.03,0.05
"P07","5",0.121,0.19,0.109,0.152,0.303
"P07","6",0.028,0.072,0.055,0.022,0.065
"P07","7",0.041,0.123,0.121,0.067,0.05
"P07","8",0.033,0.097,0.107,0.018,0.051
"P07","9",0.082,0.273,0.367,0.116,0.154
"P08","1",0.707,0.292,0.215,0.737,0.445
"P08","2",0.045,0.039,0.044,0.045,0.04
"P08","3",0.029,0.037,0.054,0.032,0.036
"P08","4",0.012,0.036,0.053,0.005,0.019
"P08","5",0.062,0.127,0.15,0.073,0.116
"P08","6",0.01,0.041,0.028,0.003,0.041
"P08","7",0.009,0.062,0.041,0.023,0.025
"P08","8",0.012,0.048,0.048,0,0.011
"P08","9",0.114,0.318,0.367,0.082,0.267
"P14","Del Frente de Todos y el peronismo",0.804,0.05,0.026,0.091,0.103
"P14","A Juntos por el Cambio",0.075,0.864,0.162,0.064,0.159
"P14","De los Liberales libertarios",0.019,0.045,0.736,0.03,0.034
"P14","De la Izquierda",0.073,0.01,0.01,0.751,0.046
"P14","No sabe",0.029,0.031,0.066,0.064,0.658
"P18","Lo votaría",0.083,0.334,0.1,0.055,0.13
"P18","Puede que lo vote",0.121,0.303,0.209,0.151,0.236
"P18","Nunca lo votaría",0.693,0.278,0.583,0.612,0.333
"P18","No sabe",0.103,0.085,0.108,0.182,0.301
"P19","Lo votaría",0.632,0.064,0.037,0.105,0.122
"P19","Puede que lo vote",0.158,0.112,0.12,0.336,0.158
"P19","Nunca lo votaría",0.149,0.706,0.705,0.444,0.41
"P19","No sabe",0.061,0.118,0.138,0.115,0.31
"P20","Lo votaría",0.083,0.134,0.062,0.013,0.031
"P20","Puede que lo vote",0.067,0.352,0.188,0.096,0.1
"P20","Nunca lo votaría",0.754,0.375,0.616,0.778,0.538
"P20","No sabe",0.096,0.139,0.134,0.113,0.331
"P21","Lo votaría",0.242,0.032,0.021,0.048,0.088
"P21","Puede que lo vote",0.415,0.1,0.091,0.204,0.142
"P21","Nunca lo votaría",0.245,0.763,0.719,0.635,0.481
"P21","No sabe",0.098,0.105,0.169,0.113,0.289
"P22","Lo votaría",0.067,0.331,0.116,0.044,0.123
"P22","Puede que lo vote",0.181,0.35,0.234,0.135,0.223
"P22","Nunca lo votaría",0.632,0.223,0.517,0.669,0.348
"P22","No sabe",0.12,0.096,0.133,0.152,0.306
"P23","Lo votaría",0.043,0.468,0.144,0.059,0.089
"P23","Puede que lo vote",0.054,0.315,0.294,0.036,0.157
"P23","Nunca lo votaría",0.868,0.162,0.461,0.824,0.519
"P23","No sabe",0.035,0.055,0.101,0.081,0.235
"P24","Lo votaría",0.027,0.38,0.129,0.065,0.075
"P24","Puede que lo vote",0.042,0.357,0.184,0.011,0.143
"P24","Nunca lo votaría",0.903,0.206,0.591,0.865,0.597
"P24","No sabe",0.028,0.057,0.096,0.059,0.185
"P25","Lo votaría",0.033,0.358,0.284,0.052,0.086
"P25","Puede que lo vote",0.038,0.352,0.299,0.015,0.158
"P25","Nunca lo votaría",0.89,0.212,0.303,0.899,0.515
"P25","No sabe",0.039,0.078,0.114,0.034,0.241
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.03,0.292,0.098,0.051,0.054
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.011,0.242,0.151,0.014,0.082
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.009,0.044,0.018,0.018,0.047
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.02,0.1,0.031,0.008,0.047
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.028,0.182,0.032,0.044,0.119
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.548,0.029,0.021,0.09,0.113
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.234,0.012,0.016,0.04,0.081
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.008,0.007,0.508,0.014,0.087
"P26","A los candidatos de la izquierda",0.014,0.001,0.004,0.605,0.042
"P26","No sabe",0.098,0.091,0.121,0.116,0.328
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.021,0.289,0.107,0.022,0.065
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.01,0.259,0.175,0.027,0.118
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.008,0.039,0.014,0.016,0.035
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.02,0.097,0.035,0.007,0.07
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.023,0.164,0.035,0.027,0.126
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.511,0.018,0.013,0.071,0.084
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.22,0.008,0.012,0.048,0.073
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.007,0.006,0.499,0.012,0.101
"P27","A los candidatos de la izquierda",0.042,0.003,0.013,0.626,0.069
"P27","No sabe",0.138,0.117,0.097,0.144,0.259
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.035,0.374,0.136,0.014,0.139
