"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P05","Tengo trabajo estable",0.494,0.537,0.594,0.553,0.659,0.718,0.658,0.698,0.621
"P05","Realizo changas o trabajos de vez en cuando",0.105,0.09,0.088,0.104,0.094,0.099,0.133,0.098,0.096
"P05","No tengo trabajo",0.066,0.078,0.07,0.094,0.065,0.053,0.105,0.112,0.094
"P05","Soy jubilado o pensionado",0.335,0.295,0.248,0.249,0.182,0.13,0.104,0.092,0.189
"P06","1",0.459,0.33,0.268,0.333,0.117,0.105,0.442,0.284,0.186
"P06","2",0.089,0.061,0.045,0.054,0.055,0.034,0.117,0.031,0.056
"P06","3",0.084,0.097,0.078,0.153,0.024,0.022,0.098,0.071,0.051
"P06","4",0.068,0.108,0.09,0.121,0.03,0.081,0.034,0.021,0.034
"P06","5",0.188,0.198,0.264,0.165,0.139,0.164,0.141,0.085,0.233
"P06","6",0.02,0.03,0.067,0.038,0.086,0.122,0.018,0.045,0.066
"P06","7",0.03,0.073,0.085,0.04,0.204,0.245,0.019,0.122,0.068
"P06","8",0.024,0.018,0.022,0.058,0.111,0.064,0.047,0.072,0.072
"P06","9",0.038,0.085,0.081,0.038,0.234,0.163,0.084,0.269,0.234
"P07","1",0.142,0.177,0.136,0.095,0.483,0.357,0.095,0.333,0.282
"P07","2",0.016,0.014,0.041,0.026,0.111,0.089,0.068,0.037,0.042
"P07","3",0.019,0.021,0.033,0.035,0.107,0.077,0.016,0.029,0.081
