"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.456,0.551,0.587,0.66,0.693,0.7,0.758,0.624
"P05","Realizo changas o trabajos de vez en cuando",0.131,0.088,0.09,0.094,0.105,0.137,0.031,0.113
"P05","No tengo trabajo",0.057,0.073,0.06,0.062,0.071,0.057,0.133,0.135
"P05","Soy jubilado o pensionado",0.356,0.288,0.263,0.184,0.131,0.106,0.078,0.128
"P06","1",0.375,0.382,0.281,0.095,0.148,0.444,0.232,0.319
"P06","2",0.063,0.078,0.044,0.049,0.029,0.077,0.068,0.047
"P06","3",0.097,0.116,0.078,0.017,0.051,0.087,0.063,0.094
"P06","4",0.064,0.106,0.09,0.046,0.037,0.036,0.014,0.053
"P06","5",0.188,0.178,0.308,0.144,0.137,0.147,0.147,0.183
"P06","6",0.044,0.038,0.066,0.08,0.083,0.016,0.023,0.077
"P06","7",0.05,0.035,0.073,0.219,0.199,0.046,0.131,0.048
"P06","8",0.034,0.03,0.031,0.113,0.079,0.054,0.081,0.039
"P06","9",0.085,0.037,0.029,0.237,0.237,0.093,0.241,0.14
"P07","1",0.208,0.087,0.131,0.498,0.402,0.117,0.32,0.24
"P07","2",0.019,0.022,0.055,0.1,0.058,0.035,0.077,0.018
"P07","3",0.013,0.024,0.025,0.097,0.13,0.029,0.073,0.011
"P07","4",0.028,0.033,0.039,0.054,0.098,0.034,0.035,0.102
"P07","5",0.206,0.126,0.292,0.118,0.127,0.104,0.193,0.187
"P07","6",0.062,0.064,0.136,0.014,0.032,0.036,0.036,0.018
"P07","7",0.095,0.159,0.106,0.037,0.033,0.123,0.063,0.079
"P07","8",0.094,0.15,0.064,0.02,0.021,0.1,0.029,0.08
"P07","9",0.275,0.335,0.152,0.062,0.099,0.422,0.174,0.265
"P08","1",0.325,0.205,0.382,0.724,0.768,0.244,0.648,0.403
"P08","2",0.023,0.032,0.043,0.05,0.043,0.045,0.011,0.036
"P08","3",0.047,0.037,0.062,0.037,0.022,0.041,0.067,0.029
"P08","4",0.044,0.023,0.031,0.019,0.01,0.012,0.006,0.025
"P08","5",0.136,0.165,0.128,0.067,0.05,0.132,0.102,0.146
"P08","6",0.011,0.044,0.049,0.009,0.005,0.037,0.012,0.029
"P08","7",0.032,0.083,0.047,0.009,0.027,0.027,0.015,0.043
"P08","8",0.048,0.068,0.033,0.013,0.007,0.051,0,0.022
"P08","9",0.334,0.343,0.225,0.072,0.068,0.411,0.139,0.267
"P10","Del Frente de Todos y el peronismo",0.067,0.02,0.075,0.883,0.74,0.058,0.23,0.196
"P10","De Cambiemos",0.824,0.802,0.669,0.039,0.1,0.073,0.033,0.22
"P10","De los Liberales libertarios",0.051,0.13,0.099,0.015,0.054,0.785,0.199,0.393
"P10","De la Izquierda",0.002,0.001,0.035,0.02,0.034,0.004,0.405,0.078
"P10","No sabe",0.056,0.047,0.122,0.043,0.072,0.08,0.133,0.113
"P11","A Alberto Fernández",0.496,0.034,0.199,0.078,0.147,0.31,0.041,0.056
"P11","A Sergio Massa",0.214,0.319,0.462,0.167,0.172,0.269,0.157,0.285
"P11","A algún candidato del peronismo",0.216,0.594,0.209,0.106,0.223,0.035,0.059,0.099
"P11","A algún candidato del kirchnerismo",0.074,0.053,0.13,0.649,0.458,0.386,0.743,0.56
"P12","A Alberto Fernández",0.246,0.034,0.168,0.044,0.087,0.275,0,0.024
"P12","A Sergio Massa",0.189,0,0.5,0.072,0.124,0.072,0.157,0.285
"P12","A algún candidato del peronismo",0.186,0.912,0.164,0.07,0.113,0.107,0.078,0.097
"P12","A Cristina Fernández de Kirchner",0.379,0.054,0.168,0.814,0.676,0.546,0.765,0.594
"P13","A Horacio Rodriguez Larreta",0.417,0.057,0.336,0.208,0.484,0.334,0.096,0.23
"P13","A Mauricio Macri",0.368,0.374,0.208,0.048,0.114,0.23,0.312,0.323
"P13","A Patricia Bullrich",0.176,0.555,0.294,0.129,0.081,0.377,0.235,0.314
"P13","A Facundo Manes",0.018,0.008,0.091,0.395,0.321,0.059,0.357,0.105
"P13","A Gerardo Morales",0.021,0.006,0.071,0.22,0,0,0,0.028
"P14","Del Frente de Todos y el peronismo",0.036,0.012,0.064,0.822,0.74,0.034,0.2,0.167
"P14","A Juntos por el Cambio",0.906,0.823,0.754,0.048,0.057,0.143,0.032,0.242
"P14","De los Liberales libertarios",0.011,0.128,0.075,0.018,0.072,0.703,0.24,0.378
"P14","De la Izquierda",0.021,0.004,0.028,0.078,0.055,0.009,0.444,0.107
"P14","No sabe",0.026,0.033,0.079,0.034,0.076,0.111,0.084,0.106
"P16","A Leandro Santoro",0.496,0.407,0.846,0.762,0.353,0.706,0.756,0.324
"P16","A Matias Lammens",0.324,0.593,0.154,0.045,0.456,0.205,0.013,0.612
"P16","A Mariano Recalde",0.18,0,0,0.193,0.191,0.089,0.231,0.064
"P17","A Soledad Acuña",0.042,0.041,0.019,0.03,0,0.11,0,0.186
"P17","A Jorge Macri",0.384,0.359,0.12,0.136,0.065,0.273,0.099,0.234
"P17","A Martín Lousteau",0.228,0.113,0.644,0.299,0.175,0.074,0.901,0.113
"P17","A Fernan Quirós",0.284,0.159,0.174,0.393,0.491,0.293,0,0.326
"P17","A Ricardo López Murphy",0.062,0.328,0.043,0.142,0.269,0.25,0,0.141
"P18","Lo votaría",0.345,0.18,0.652,0.068,0.105,0.053,0.085,0.078
"P18","Puede que lo vote",0.347,0.343,0.221,0.084,0.146,0.159,0.077,0.271
"P18","Nunca lo votaría",0.213,0.393,0.064,0.752,0.643,0.661,0.713,0.555
"P18","No sabe",0.095,0.084,0.063,0.096,0.106,0.127,0.125,0.096
"P19","Lo votaría",0.089,0.027,0.083,0.745,0.498,0.038,0.147,0.177
"P19","Puede que lo vote",0.118,0.066,0.156,0.124,0.284,0.105,0.26,0.138
"P19","Nunca lo votaría",0.621,0.828,0.611,0.097,0.174,0.769,0.502,0.613
"P19","No sabe",0.172,0.079,0.15,0.034,0.044,0.088,0.091,0.072
"P20","Lo votaría",0.151,0.12,0.087,0.075,0.045,0.047,0.022,0.076
"P20","Puede que lo vote",0.344,0.41,0.268,0.072,0.092,0.163,0.079,0.1
"P20","Nunca lo votaría",0.342,0.374,0.478,0.781,0.79,0.608,0.766,0.725
"P20","No sabe",0.163,0.096,0.167,0.072,0.073,0.182,0.133,0.099
"P21","Lo votaría",0.067,0.009,0.063,0.224,0.395,0.026,0.043,0.091
"P21","Puede que lo vote",0.104,0.066,0.102,0.494,0.32,0.088,0.195,0.116
"P21","Nunca lo votaría",0.7,0.85,0.728,0.212,0.252,0.739,0.517,0.667
"P21","No sabe",0.129,0.075,0.107,0.07,0.033,0.147,0.245,0.126
"P22","Lo votaría",0.423,0.311,0.304,0.052,0.094,0.101,0.027,0.117
"P22","Puede que lo vote",0.314,0.39,0.367,0.146,0.195,0.183,0.149,0.202
"P22","Nunca lo votaría",0.184,0.212,0.238,0.703,0.612,0.583,0.622,0.609
"P22","No sabe",0.079,0.087,0.091,0.099,0.099,0.133,0.202,0.072
"P23","Lo votaría",0.585,0.526,0.214,0.027,0.013,0.125,0.004,0.14
"P23","Puede que lo vote",0.29,0.332,0.285,0.044,0.095,0.272,0.069,0.192
"P23","Nunca lo votaría",0.088,0.102,0.413,0.912,0.852,0.506,0.8,0.606
"P23","No sabe",0.037,0.04,0.088,0.017,0.04,0.097,0.127,0.062
"P24","Lo votaría",0.453,0.354,0.319,0.018,0.02,0.105,0.023,0.102
"P24","Puede que lo vote",0.365,0.332,0.283,0.035,0.078,0.162,0.029,0.163
"P24","Nunca lo votaría",0.159,0.269,0.358,0.935,0.875,0.619,0.838,0.688
"P24","No sabe",0.023,0.045,0.04,0.012,0.027,0.114,0.11,0.047
"P25","Lo votaría",0.232,0.552,0.149,0.018,0.054,0.209,0.022,0.177
"P25","Puede que lo vote",0.382,0.323,0.35,0.042,0.037,0.338,0.108,0.164
"P25","Nunca lo votaría",0.31,0.089,0.421,0.917,0.87,0.325,0.775,0.601
"P25","No sabe",0.076,0.036,0.08,0.023,0.039,0.128,0.095,0.058
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.257,0.404,0.172,0.01,0.007,0.078,0.015,0.123
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.079,0.464,0.096,0.004,0.028,0.076,0.038,0.03
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.1,0.028,0.057,0.007,0.016,0.004,0.005,0.045
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.23,0.046,0.098,0.031,0.019,0.036,0.005,0.058
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.275,0.042,0.46,0.015,0.055,0.013,0.034,0.044
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.007,0.046,0.709,0.438,0.039,0.147,0.088
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.026,0.002,0.023,0.213,0.413,0.024,0.113,0.135
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.019,0.007,0.039,0,0.009,0.73,0.195,0.38
"P26","A los candidatos de la izquierda",0,0,0.009,0.011,0.015,0,0.448,0.097
"P26","No sabe",0,0,0,0,0,0,0,0
