"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Tengo trabajo estable",0.498,0.533,0.548,0.718,0.727,0.536
"P05","Realizo changas o trabajos de vez en cuando",0.102,0.095,0.115,0.077,0.075,0.336
"P05","No tengo trabajo",0.097,0.058,0.1,0.045,0.064,0
"P05","Soy jubilado o pensionado",0.303,0.314,0.237,0.16,0.134,0.128
"P06","1",0.357,0.279,0.296,0.267,0.231,0
"P06","2",0.041,0.071,0.049,0.08,0.051,0
"P06","3",0.103,0.128,0.107,0.071,0.025,0.464
"P06","4",0.058,0.129,0.075,0.105,0.039,0
"P06","5",0.238,0.219,0.247,0.12,0.122,0.536
"P06","6",0.04,0.045,0.047,0.087,0.057,0
"P06","7",0.053,0.056,0.036,0.128,0.182,0
"P06","8",0.032,0.036,0.062,0.032,0.108,0
"P06","9",0.078,0.037,0.081,0.11,0.185,0
"P07","1",0.143,0.088,0.109,0.183,0.414,0
"P07","2",0.041,0.037,0.022,0.069,0.082,0
"P07","3",0.014,0.023,0.043,0.081,0.079,0
"P07","4",0.027,0.065,0.032,0.033,0.052,0
"P07","5",0.2,0.157,0.234,0.185,0.101,0.536
"P07","6",0.064,0.083,0.063,0.039,0.018,0
"P07","7",0.095,0.186,0.122,0.117,0.067,0.336
"P07","8",0.111,0.1,0.098,0.072,0.047,0.128
"P07","9",0.305,0.261,0.277,0.221,0.14,0
"P08","1",0.269,0.266,0.288,0.372,0.651,0
"P08","2",0.016,0.035,0.053,0.039,0.045,0
"P08","3",0.054,0.047,0.042,0.05,0.044,0.336
"P08","4",0.033,0.029,0.02,0.015,0.019,0
"P08","5",0.144,0.171,0.181,0.137,0.062,0.536
"P08","6",0.046,0.042,0.013,0.024,0.017,0
"P08","7",0.041,0.07,0.066,0.026,0.042,0
"P08","8",0.055,0.065,0.04,0.06,0.014,0
"P08","9",0.342,0.275,0.297,0.277,0.106,0.128
"P10","Del Frente de Todos y el peronismo",0.093,0.048,0.109,0.338,0.612,0
"P10","De Cambiemos",0.821,0.805,0.546,0.253,0.092,0
"P10","De los Liberales libertarios",0.069,0.103,0.256,0.291,0.171,0.732
"P10","De la Izquierda",0.002,0.003,0.012,0.015,0.077,0
"P10","No sabe",0.015,0.041,0.077,0.103,0.048,0.268
"P11","A Alberto Fernández",0.221,0.214,0.208,0.149,0.083,0
"P11","A Sergio Massa",0.379,0.366,0.363,0.23,0.181,0
"P11","A algún candidato del peronismo",0.2,0.279,0.201,0.136,0.091,0
"P11","A algún candidato del kirchnerismo",0.2,0.141,0.228,0.485,0.645,0
"P12","A Alberto Fernández",0.049,0.048,0.082,0.059,0.042,0
"P12","A Sergio Massa",0.224,0.421,0.203,0.161,0.077,0
"P12","A algún candidato del peronismo",0.2,0.18,0.355,0.152,0.054,0
"P12","A Cristina Fernández de Kirchner",0.527,0.351,0.36,0.628,0.827,0
"P13","A Horacio Rodriguez Larreta",0.416,0.152,0.138,0.031,0.038,0
"P13","A Mauricio Macri",0.314,0.323,0.282,0.369,0.301,0
"P13","A Patricia Bullrich",0.249,0.439,0.539,0.548,0.402,0
"P13","A Facundo Manes",0.007,0.059,0.034,0.035,0.249,0
"P13","A Gerardo Morales",0.014,0.027,0.007,0.017,0.01,0
"P14","Del Frente de Todos y el peronismo",0.054,0.021,0.093,0.296,0.589,0
"P14","A Juntos por el Cambio",0.841,0.86,0.619,0.302,0.068,0.128
"P14","De los Liberales libertarios",0.075,0.086,0.196,0.261,0.177,0.604
"P14","De la Izquierda",0.026,0.01,0.019,0.053,0.116,0
"P14","No sabe",0.004,0.023,0.073,0.088,0.05,0.268
"P16","A Leandro Santoro",0.475,0.416,0.682,0.744,0.697,0
"P16","A Matias Lammens",0.525,0.359,0.28,0.201,0.106,0
"P16","A Mariano Recalde",0,0.225,0.038,0.055,0.197,0
"P17","A Soledad Acuña",0.066,0.028,0.063,0.055,0.024,0
"P17","A Jorge Macri",0.332,0.322,0.276,0.214,0.302,0
"P17","A Martín Lousteau",0.219,0.26,0.2,0.121,0.212,0
"P17","A Fernan Quirós",0.272,0.194,0.18,0.16,0.112,0
"P17","A Ricardo López Murphy",0.111,0.196,0.281,0.45,0.35,1
"P18","Lo votaría",0.36,0.331,0.212,0.103,0.057,0.336
"P18","Puede que lo vote",0.313,0.37,0.331,0.211,0.067,0
"P18","Nunca lo votaría",0.252,0.21,0.332,0.577,0.822,0.396
"P18","No sabe",0.075,0.089,0.125,0.109,0.054,0.268
"P19","Lo votaría",0.098,0.039,0.097,0.286,0.496,0
"P19","Puede que lo vote",0.124,0.092,0.095,0.123,0.132,0
"P19","Nunca lo votaría",0.67,0.762,0.662,0.551,0.341,0.732
"P19","No sabe",0.108,0.107,0.146,0.04,0.031,0.268
"P20","Lo votaría",0.206,0.133,0.053,0.07,0.065,0.268
"P20","Puede que lo vote",0.377,0.39,0.34,0.135,0.069,0.128
"P20","Nunca lo votaría",0.298,0.345,0.429,0.669,0.816,0.336
"P20","No sabe",0.119,0.132,0.178,0.126,0.05,0.268
"P21","Lo votaría",0.06,0.028,0.045,0.082,0.221,0
"P21","Puede que lo vote",0.083,0.079,0.104,0.218,0.291,0
"P21","Nunca lo votaría",0.746,0.807,0.73,0.576,0.43,0.732
"P21","No sabe",0.111,0.086,0.121,0.124,0.058,0.268
"P22","Lo votaría",0.487,0.353,0.245,0.088,0.091,0
"P22","Puede que lo vote",0.272,0.417,0.365,0.262,0.115,0
"P22","Nunca lo votaría",0.152,0.153,0.287,0.517,0.737,0.732
"P22","No sabe",0.089,0.077,0.103,0.133,0.057,0.268
"P23","Lo votaría",0.495,0.478,0.351,0.139,0.07,0.128
"P23","Puede que lo vote",0.296,0.312,0.318,0.223,0.095,0
"P23","Nunca lo votaría",0.163,0.146,0.26,0.548,0.809,0.604
"P23","No sabe",0.046,0.064,0.071,0.09,0.026,0.268
"P24","Lo votaría",0.518,0.399,0.18,0.101,0.034,0
"P24","Puede que lo vote",0.306,0.378,0.349,0.15,0.038,0.464
"P24","Nunca lo votaría",0.169,0.182,0.387,0.687,0.913,0.268
"P24","No sabe",0.007,0.041,0.084,0.062,0.015,0.268
"P25","Lo votaría",0.378,0.368,0.346,0.279,0.121,0.128
"P25","Puede que lo vote",0.323,0.359,0.286,0.196,0.078,0
"P25","Nunca lo votaría",0.261,0.2,0.295,0.484,0.767,0.604
"P25","No sabe",0.038,0.073,0.073,0.041,0.034,0.268
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.17,0.349,0.256,0.125,0.048,0
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.142,0.264,0.277,0.226,0.088,0.464
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.132,0.032,0.02,0.003,0.003,0
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.251,0.091,0.087,0.02,0.012,0
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.206,0.18,0.11,0.042,0.009,0
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.041,0.008,0.083,0.266,0.478,0
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.035,0.018,0.034,0.107,0.172,0
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.057,0.123,0.194,0.106,0.536
"P26","A los candidatos de la izquierda",0,0.001,0.01,0.017,0.084,0
