"var","categoria","A Leandro Santoro por el Frente de Todos","A Jorge Macri por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P04","Siempre",0.169,0.208,0.215,0.208,0.121,0.191,0.173
"P04","Casi siempre",0.478,0.476,0.37,0.41,0.487,0.445,0.462
"P04","Casi nunca",0.287,0.249,0.334,0.348,0.349,0.306,0.305
"P04","Nunca, pero esta es una excepción",0.066,0.067,0.081,0.034,0.043,0.058,0.06
"P06","Del Frente de Todos y el peronismo",0.787,0.07,0.153,0.269,0.252,0.08,0.119
"P06","De Cambiemos",0.105,0.768,0.188,0.054,0.29,0.537,0.499
"P06","De los Liberales libertarios",0.032,0.101,0.61,0.13,0.092,0.178,0.156
"P06","De la Izquierda",0.034,0.016,0.01,0.488,0.209,0.024,0.02
"P06","No sabe",0.042,0.045,0.039,0.059,0.157,0.181,0.206
"P07","A Daniel Scioli",0.113,0.338,0.283,0.166,0.037,0.126,0.204
"P07","A Sergio Massa",0.204,0.303,0.213,0.422,0.082,0.208,0.236
"P07","A algún candidato del peronismo",0.057,0.233,0.158,0.073,0.08,0.145,0.132
"P07","A algún candidato del kirchnerismo",0.626,0.126,0.346,0.339,0.801,0.521,0.428
"P08","A Daniel Scioli",0.071,0.246,0.131,0.017,0.037,0,0.037
"P08","A Sergio Massa",0.151,0.157,0.127,0.394,0.028,0.233,0.127
"P08","A algún candidato del peronismo",0.04,0.34,0.175,0.263,0.107,0.139,0.151
"P08","A Cristina Fernández de Kirchner",0.738,0.257,0.567,0.326,0.828,0.628,0.685
"P09","A Horacio Rodriguez Larreta",0.27,0.245,0.244,0.286,0.361,0.375,0.363
"P09","A Patricia Bullrich",0.502,0.712,0.549,0.619,0.402,0.477,0.544
"P09","A Facundo Manes",0.228,0.018,0.079,0,0.139,0.064,0.033
"P09","A Gerardo Morales",0,0.025,0.128,0.095,0.098,0.084,0.06
"P10","Leandro Santoro por el Frente de Todos",0.787,0.05,0.125,0.09,0.037,0.044,0.036
"P10","Jorge Macri por Juntos por el Cambio",0.04,0.652,0.105,0.07,0.133,0.166,0.132
"P10","Martín Lousteau por Juntos por el Cambio",0.082,0.238,0.125,0.101,0.137,0.336,0.388
"P10","Ramiro Marra por La Libertad Avanza",0.018,0.025,0.556,0.046,0.053,0.019,0.01
"P10","Al candidato del Frente de Izquierda",0.008,0,0.005,0.551,0.043,0.004,0.026
"P10","A Luis Zamora por Autodeterminación y Libertad",0.015,0.001,0,0.063,0.506,0.013,0.005
"P10","En blanco",0.017,0.007,0.031,0.016,0.042,0.275,0.036
"P10","No sabe",0.033,0.027,0.053,0.063,0.049,0.143,0.367
"P11","María Eugenia Vidal por Juntos por el Cambio",0.056,0.476,0.135,0.037,0.086,0.266,0.204
"P11","Martín Lousteau por Juntos por el Cambio",0.116,0.279,0.127,0.121,0.166,0.303,0.326
"P11","Leandro Santoro por el Frente de Todos",0.774,0.08,0.089,0.078,0.031,0.045,0.031
"P11","Ramiro Marra por La Libertad Avanza",0.017,0.051,0.579,0.105,0.077,0.019,0.012
"P11","Al candidato del Frente de Izquierda",0.005,0.003,0,0.522,0.036,0.004,0.007
"P11","A Luis Zamora por Autodeterminación y Libertad",0.007,0.001,0,0.052,0.508,0.017,0.009
"P11","En blanco",0.002,0.035,0.033,0.019,0.042,0.22,0.027
"P11","No sabe",0.023,0.075,0.037,0.066,0.054,0.126,0.384
"P12","A Jorge Macri por Juntos por el Cambio",0.032,0.494,0.102,0.066,0.164,0.11,0.082
"P12","A Martín Lousteau por Juntos por el Cambio",0.066,0.192,0.094,0.103,0.174,0.324,0.352
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.043,0.209,0.144,0.071,0.054,0.218,0.206
"P12","A Leandro Santoro por el Frente de Todos",0.684,0.045,0.114,0.056,0.051,0.023,0.024
"P12","A Matías Lammens por el Frente de Todos",0.118,0.017,0.03,0.111,0.037,0.015,0.039
"P12","A Ramiro Marra por La Libertad Avanza",0.009,0.015,0.452,0.061,0.131,0.026,0.021
"P12","Al candidato del Frente de Izquierda",0.008,0.002,0.012,0.444,0,0.004,0.011
"P12","A Luis Zamora por Autodeterminación y Libertad",0.006,0.003,0,0.07,0.353,0.033,0.056
"P12","En blanco",0.011,0.006,0.027,0.013,0.036,0.195,0.019
"P12","No sabe",0.023,0.017,0.025,0.005,0,0.052,0.19
"P13","A Martín Lousteau por Juntos por el Cambio",0.07,0.198,0.077,0.143,0.152,0.353,0.339
"P13","A Jorge Macri por Juntos por el Cambio",0.053,0.505,0.08,0.033,0.069,0.083,0.08
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.018,0.203,0.154,0,0.054,0.185,0.24
"P13","A Leandro Santoro por el Frente de Todos",0.662,0.032,0.112,0.116,0.069,0.039,0.016
"P13","A Pedro Rosemblat por el Frente de Todos",0.151,0.031,0.048,0.061,0.055,0.051,0.062
"P13","A Ramiro Marra por La Libertad Avanza",0.011,0.014,0.491,0.057,0.054,0.032,0.012
"P13","Al candidato del Frente de Izquierda",0.006,0.002,0,0.537,0.016,0.009,0.02
"P13","A Luis Zamora por Autodeterminación y Libertad",0.009,0.005,0,0.033,0.507,0,0.033
"P13","En blanco",0.003,0,0.024,0.005,0.024,0.187,0.011
"P13","No sabe",0.017,0.01,0.014,0.015,0,0.061,0.187
"P14","A Leandro Santoro por el Frente de Todos",0.652,0.082,0.111,0.047,0.089,0.031,0.016
"P14","A Pedro Rosemblat por el Frente de Todos",0.161,0.035,0.028,0.138,0.022,0.024,0.084
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.064,0.442,0.107,0.018,0.118,0.245,0.196
"P14","A Martín Lousteau por Juntos por el Cambio",0.076,0.261,0.13,0.107,0.151,0.292,0.309
"P14","A Ramiro Marra por La Libertad Avanza",0.018,0.069,0.508,0.02,0.03,0.052,0.034
"P14","Al candidato del Frente de Izquierda",0.003,0.004,0.053,0.453,0.007,0.004,0.011
"P14","A Luis Zamora por Autodeterminación y Libertad",0.008,0.008,0.002,0.193,0.46,0.017,0.006
"P14","En blanco",0.004,0.041,0.021,0.013,0.098,0.21,0.078
"P14","No sabe",0.014,0.058,0.04,0.011,0.025,0.125,0.266
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.815,0.053,0.122,0.153,0.061,0.05,0.081
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.05,0.683,0.116,0.023,0.08,0.187,0.195
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.066,0.208,0.092,0.098,0.214,0.395,0.348
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.025,0.031,0.581,0.122,0.095,0.032,0.044
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.019,0.016,0.048,0.471,0.018,0.004,0.009
"P15","A Luis Zamora por Autodeterminación y Libertad",0.008,0,0.014,0.078,0.456,0.025,0.013
"P15","En blanco",0.003,0.001,0.003,0.045,0.068,0.217,0.031
"P15","No sabe",0.014,0.008,0.024,0.01,0.008,0.09,0.279
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.847,0.051,0.115,0.105,0.04,0.053,0.091
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.058,0.602,0.104,0.025,0.136,0.252,0.233
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.062,0.225,0.114,0.105,0.194,0.381,0.327
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.016,0.064,0.622,0.116,0.03,0.044,0.021
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0.001,0.011,0.583,0.028,0.004,0.013
"P16","A Luis Zamora por Autodeterminación y Libertad",0.005,0.002,0.007,0.027,0.455,0.013,0.021
"P16","En blanco",0.001,0.019,0.003,0.03,0.086,0.241,0.026
"P16","No sabe",0.006,0.036,0.024,0.009,0.031,0.012,0.268
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.081,0.501,0.106,0.029,0.048,0.093,0.137
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.062,0.199,0.091,0.182,0.22,0.36,0.332
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.035,0.21,0.134,0.029,0.047,0.184,0.21
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.542,0.036,0.102,0.053,0.032,0.044,0.024
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.247,0.025,0.066,0.255,0.065,0.064,0.054
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.011,0.011,0.494,0.015,0.1,0.033,0.034
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.001,0.001,0.405,0.064,0.078,0.011
"P17","A Luis Zamora por Autodeterminación y Libertad",0.012,0.01,0.003,0.027,0.4,0.003,0.053
"P17","En blanco",0.001,0.002,0.002,0,0,0.136,0.017
"P17","No sabe",0.005,0.005,0.001,0.005,0.024,0.005,0.128
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.534,0.064,0.082,0.072,0.032,0.054,0.048
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.276,0.036,0.056,0.192,0.075,0.074,0.059
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.077,0.573,0.11,0.029,0.16,0.219,0.209
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.064,0.215,0.131,0.099,0.099,0.336,0.306
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.025,0.049,0.562,0.021,0.048,0.063,0.048
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.01,0.04,0.335,0.058,0.017,0.033
"P18","A Luis Zamora por Autodeterminación y Libertad",0.008,0.001,0.004,0.129,0.482,0.042,0.01
"P18","En blanco",0.001,0.026,0.009,0.081,0.032,0.174,0.055
"P18","No sabe",0.009,0.026,0.006,0.042,0.014,0.021,0.232
