"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P05","Siempre",0.366,0.2,0.146,0.152,0.251
"P05","Casi siempre",0.362,0.487,0.301,0.129,0.142
"P05","Casi nunca",0.21,0.258,0.413,0.347,0.334
"P05","Nunca, pero esta es una excepción",0.062,0.055,0.14,0.372,0.273
"P07","Del Frente de Todos y el peronismo",0.469,0.24,0.192,0.185,0.136
"P07","De Juntos por el Cambio",0.304,0.515,0.388,0.103,0.177
"P07","De los Liberales libertarios",0.143,0.13,0.21,0.23,0.066
"P07","De la Izquierda",0.033,0.046,0.046,0.125,0.118
"P07","No sabe",0.051,0.069,0.164,0.357,0.503
"P08","A Leandro Santoro",0.658,0.65,0.65,0.608,0.395
"P08","A Matias Lammens",0.092,0.11,0.2,0.207,0.296
"P08","A Mariano Recalde",0.25,0.24,0.15,0.185,0.309
"P09","A Jorge Macri",0.532,0.428,0.424,0.475,0.244
"P09","A Martín Lousteau",0.253,0.385,0.45,0.406,0.512
"P09","A Ricardo López Murphy",0.215,0.187,0.126,0.119,0.244
"P10","Jorge Macri por Juntos por el Cambio",0.204,0.264,0.253,0.11,0.16
"P10","Martín Lousteau  por Juntos por el Cambio",0.078,0.171,0.177,0.105,0.037
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.102,0.126,0.09,0.077,0.031
"P10","Leandro Santoro por el Frente de Todos",0.23,0.16,0.111,0.083,0.034
"P10","Mariano Recalde por el Frente de Todos",0.066,0.043,0.021,0.036,0.059
"P10","Pedro Rosemblat por el Frente de Todos",0.09,0.051,0.038,0.042,0.053
"P10","Ramiro Marra por la Libertad Avanza",0.131,0.099,0.112,0.158,0.05
"P10","Al candidato del Frente de Izquierda",0.027,0.03,0.03,0.024,0.127
"P10","En blanco",0.02,0.012,0.061,0.131,0.077
"P10","No sabe",0.052,0.044,0.107,0.234,0.372
"P13","Jorge Macri por Juntos por el Cambio",0.234,0.301,0.272,0.152,0.161
"P13","Martín Lousteau  por Juntos por el Cambio",0.119,0.201,0.211,0.088,0.036
"P13","Leandro Santoro por el Frente de Todos",0.343,0.218,0.151,0.09,0.056
"P13","Ramiro Marra por la Libertad Avanza",0.153,0.133,0.12,0.242,0.073
"P13","Al candidato del Frente de Izquierda",0.042,0.045,0.051,0.062,0.145
"P13","En blanco",0.034,0.032,0.051,0.082,0.214
"P13","No sabe",0.075,0.07,0.144,0.284,0.315
"P16","Jorge Macri por Juntos por el Cambio",0.237,0.276,0.25,0.107,0.181
"P16","Martín Lousteau  por Juntos por el Cambio",0.088,0.179,0.196,0.144,0.048
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.106,0.117,0.08,0.075,0.041
"P16","Leandro Santoro por el Frente de Todos",0.339,0.222,0.147,0.094,0.107
"P16","Ramiro Marra por la Libertad Avanza",0.125,0.111,0.136,0.259,0.062
"P16","Al candidato del Frente de Izquierda",0.029,0.038,0.025,0.029,0.168
"P16","En blanco",0.032,0.024,0.049,0.093,0.183
"P16","No sabe",0.044,0.033,0.117,0.199,0.21
"P19","Jorge Macri por Juntos por el Cambio",0.338,0.444,0.379,0.228,0.176
"P19","Leandro Santoro por el Frente de Todos",0.396,0.257,0.176,0.118,0.079
"P19","Ramiro Marra por la Libertad Avanza",0.136,0.135,0.182,0.232,0.073
"P19","Al candidato del Frente de Izquierda",0.043,0.029,0.031,0.079,0.188
"P19","En blanco",0.041,0.044,0.071,0.109,0.105
"P19","No sabe",0.046,0.091,0.161,0.234,0.379
"P22","Martín Lousteau  por Juntos por el Cambio",0.221,0.337,0.337,0.188,0.226
"P22","Leandro Santoro por el Frente de Todos",0.381,0.256,0.184,0.174,0.099
"P22","Ramiro Marra por la Libertad Avanza",0.193,0.19,0.203,0.218,0.044
"P22","Al candidato del Frente de Izquierda",0.037,0.024,0.029,0.073,0.18
"P22","En blanco",0.08,0.057,0.092,0.114,0.159
"P22","No sabe",0.088,0.136,0.155,0.233,0.292
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.304,0.397,0.323,0.184,0.274
"P25","Leandro Santoro por el Frente de Todos",0.402,0.248,0.197,0.104,0.082
"P25","Ramiro Marra por la Libertad Avanza",0.133,0.144,0.175,0.203,0.078
"P25","Al candidato del Frente de Izquierda",0.039,0.035,0.021,0.07,0.193
"P25","En blanco",0.053,0.066,0.101,0.141,0.154
"P25","No sabe",0.069,0.11,0.183,0.298,0.219
