"var","categoria","Jorge Macri por Juntos por el Cambio","Martín Lousteau  por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Siempre",0.302,0.251,0.224,0.277,0.257,0.22,0.232
"P05","Casi siempre",0.423,0.399,0.457,0.295,0.412,0.286,0.324
"P05","Casi nunca",0.218,0.292,0.252,0.303,0.207,0.337,0.294
"P05","Nunca, pero esta es una excepción",0.057,0.058,0.067,0.125,0.124,0.157,0.15
"P06","Mucho",0.379,0.312,0.574,0.436,0.361,0.333,0.303
"P06","Bastante",0.401,0.436,0.301,0.313,0.322,0.253,0.232
"P06","Poco",0.168,0.211,0.096,0.131,0.17,0.187,0.221
"P06","Nada",0.039,0.037,0.024,0.11,0.086,0.127,0.183
"P06","No sabe",0.013,0.004,0.005,0.01,0.061,0.1,0.061
"P07","Del Frente de Todos y el peronismo",0.04,0.107,0.857,0.11,0.246,0.313,0.224
"P07","De Juntos por el Cambio",0.831,0.666,0.044,0.139,0.17,0.205,0.173
"P07","De los Liberales libertarios",0.081,0.12,0.044,0.678,0.048,0.08,0.105
"P07","De la Izquierda",0.013,0.024,0.021,0.016,0.454,0.095,0.036
"P07","No sabe",0.035,0.083,0.034,0.057,0.082,0.307,0.462
"P08","A Leandro Santoro",0.64,0.507,0.755,0.498,0.569,0.415,0.351
"P08","A Matias Lammens",0.147,0.155,0.068,0.193,0.095,0.279,0.189
"P08","A Mariano Recalde",0.213,0.338,0.177,0.309,0.336,0.306,0.46
"P09","A Jorge Macri",0.744,0.071,0.261,0.34,0.5,0.04,0.114
"P09","A Martín Lousteau",0.116,0.776,0.592,0.205,0.456,0.407,0.194
"P09","A Ricardo López Murphy",0.14,0.153,0.147,0.455,0.044,0.553,0.692
"P10","Jorge Macri por Juntos por el Cambio",0.736,0.097,0.031,0.057,0.145,0.013,0.03
"P10","Martín Lousteau  por Juntos por el Cambio",0.032,0.6,0.015,0.053,0.049,0.155,0.032
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.149,0.141,0.015,0.129,0.014,0.114,0.166
"P10","Leandro Santoro por el Frente de Todos",0.012,0.042,0.599,0.052,0.145,0.012,0.019
"P10","Mariano Recalde por el Frente de Todos",0.002,0.023,0.117,0.04,0.056,0.07,0.037
"P10","Pedro Rosemblat por el Frente de Todos",0.018,0.02,0.152,0.023,0.09,0.112,0.078
"P10","Ramiro Marra por la Libertad Avanza",0.029,0.035,0.033,0.605,0.019,0.022,0.075
"P10","Al candidato del Frente de Izquierda",0.007,0.003,0.006,0.003,0.433,0.058,0.013
"P10","En blanco",0.006,0.014,0.005,0.014,0.016,0.302,0.075
"P10","No sabe",0.009,0.025,0.027,0.024,0.033,0.142,0.475
"P16","Jorge Macri por Juntos por el Cambio",0.71,0.085,0.057,0.129,0.146,0.016,0.06
"P16","Martín Lousteau  por Juntos por el Cambio",0.052,0.645,0.024,0.065,0.052,0.103,0.029
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.149,0.135,0.028,0.088,0.058,0.155,0.139
"P16","Leandro Santoro por el Frente de Todos",0.022,0.041,0.835,0.066,0.164,0.078,0.066
"P16","Ramiro Marra por la Libertad Avanza",0.04,0.049,0.031,0.629,0.038,0.015,0.069
