"var","categoria","Si","No"
"P05","Mucho",0.556,0.487
"P05","Bastante",0.372,0.339
"P05","Poco",0.053,0.108
"P05","Nada",0.019,0.053
"P05","No sabe",0,0.013
"P06","Siempre",0.293,0.234
"P06","Casi siempre",0.492,0.444
"P06","Casi nunca",0.191,0.232
"P06","Nunca, pero esta es una excepción",0.024,0.09
"P08","Unión por la Patria",0.399,0.343
"P08","Juntos por el Cambio ",0.412,0.418
"P08","Liberales",0.131,0.127
"P08","Izquierda",0.029,0.034
"P08","Otro",0.007,0.02
"P08","No sabe",0.022,0.058
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.271,0.198
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.118,0.11
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.301,0.301
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.132,0.173
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.108,0.142
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.032
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.011
"P09","Otros",0.015,0.006
"P09","En blanco",0.004,0.003
"P09","No sabe",0.005,0.024
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.318,0.245
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.295,0.284
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.206,0.226
"P12","Ramiro Marra por la Libertad Avanza",0.122,0.122
"P12","Vanina Biasi por el Frente de Izquierda",0.034,0.064
"P12","Otros",0.02,0.034
"P12","En blanco",0.003,0.007
"P12","No sabe",0.002,0.018
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.193,0.21
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.15,0.121
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.276
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.188,0.17
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.127,0.104
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.026
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.012
"P18","Otros",0.006,0.033
"P18","En blanco",0.021,0.017
"P18","No sabe",0.012,0.031
