"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Del Frente de Todos y el peronismo",0.262,0.202,0.296,0.067
"P07","De Cambiemos",0.363,0.438,0.347,0.428
"P07","De los Liberales libertarios",0.199,0.19,0.183,0.214
"P07","De la Izquierda",0.011,0.013,0.056,0.039
"P07","Otros",0.07,0.064,0.061,0.077
"P07","No sabe",0.095,0.093,0.057,0.175
"P08","A Alberto Fernández",0.201,0.154,0.089,1
"P08","A Sergio Massa",0.211,0.124,0.144,0
"P08","A algún candidato del peronismo",0.384,0.329,0.114,0
"P08","A algún candidato del kirchnerismo",0.204,0.393,0.653,0
"P09","A Alberto Fernández",0.152,0.096,0.058,0.915
"P09","A Sergio Massa",0.169,0.089,0.087,0
"P09","A algún candidato del peronismo",0.337,0.268,0.079,0
"P09","A Cristina Fernández de Kirchner",0.342,0.547,0.776,0.085
"P10","A Horacio Rodriguez Larreta",0.248,0.206,0.211,0.501
"P10","A Mauricio Macri",0.347,0.286,0.282,0.361
"P10","A Patricia Bullrich",0.343,0.454,0.361,0.062
"P10","A Facundo Manes",0.051,0.038,0.072,0.076
"P10","A Gerardo Morales",0.011,0.016,0.074,0
"P11","A Juntos por el Cambio",0.292,0.375,0.328,0.34
"P11","Al Frente de Todos",0.111,0.122,0.23,0.097
"P11","A Hacemos por Córdoba",0.401,0.187,0.095,0.074
"P11","A los liberales libertarios de Milei",0.087,0.145,0.163,0.244
"P11","A Encuentro Vecinal Córdoba",0.014,0.056,0.034,0
"P11","Al Frente de Izquierda",0.017,0.026,0.078,0.01
"P11","No sabe",0.078,0.089,0.072,0.235
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.672,0.665,0.632,0.799
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.23,0.278,0.31,0.095
"P12","No sabe",0.098,0.057,0.058,0.106
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.323,0.474,0.346,0.303
"P13","A Martín Llaryora por Hacemos por Córdoba",0.491,0.177,0.126,0.228
"P13","Al candidato del Frente de Todos",0.042,0.094,0.216,0.037
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.063,0.115,0.116,0.244
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.016,0.044,0.027,0.008
"P13","Al candidato del Frente de Izquierda",0.004,0.015,0.062,0.01
"P13","Votaría en blanco",0.014,0.024,0.053,0.026
"P13","No sabe",0.047,0.057,0.054,0.144
"P15","A Luis Juez por Juntos por el Cambio",0.311,0.418,0.344,0.35
"P15","A Martín Llaryora por Hacemos por Córdoba",0.517,0.231,0.146,0.096
"P15","Al candidato del Frente de Todos",0.033,0.09,0.208,0.105
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.06,0.124,0.133,0.252
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.024,0.043,0.025,0
"P15","Al candidato del Frente de Izquierda",0.007,0.018,0.065,0.011
"P15","Votaría en blanco",0.006,0.028,0.031,0.026
"P15","No sabe",0.042,0.048,0.048,0.16
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.346,0.484,0.383,0.335
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.46,0.172,0.1,0.167
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.04,0.077,0.218,0
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.067,0.117,0.119,0.222
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.021,0.035,0.028,0
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.022,0.066,0.011
"P17","Votaría en blanco",0.009,0.016,0.038,0.026
"P17","No sabe",0.054,0.077,0.048,0.239
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.322,0.49,0.355,0.35
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.482,0.154,0.103,0.186
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.045,0.091,0.213,0.058
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.074,0.118,0.118,0.183
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.041,0.034,0
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.009,0.021,0.066,0.01
"P18","Votaría en blanco",0.012,0.019,0.049,0.067
"P18","No sabe",0.042,0.066,0.062,0.146
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.332,0.493,0.368,0.394
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.458,0.174,0.122,0.135
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.041,0.069,0.215,0
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.076,0.138,0.123,0.201
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.016,0.028,0.029,0.058
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.011,0.012,0.057,0.01
"P19","Votaría en blanco",0.022,0.031,0.039,0.046
"P19","No sabe",0.044,0.055,0.047,0.156
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.331,0.493,0.352,0.305
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.464,0.173,0.129,0.232
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.036,0.071,0.194,0.008
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.082,0.132,0.123,0.244
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.015,0.035,0.03,0.01
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.012,0.057,0
"P20","Votaría en blanco",0.021,0.015,0.057,0.046
"P20","No sabe",0.046,0.069,0.058,0.155
"P21","Lo votaría",0.308,0.385,0.295,0.148
"P21","Puede que lo vote",0.28,0.252,0.194,0.566
"P21","Nunca lo votaría",0.41,0.363,0.511,0.179
"P21","No sabe",0.002,0,0,0.107
"P22","Lo votaría",0.487,0.19,0.123,0.212
"P22","Puede que lo vote",0.219,0.254,0.174,0.293
"P22","Nunca lo votaría",0.292,0.556,0.703,0.388
"P22","No sabe",0.002,0,0,0.107
"P23","Lo votaría",0.279,0.36,0.299,0.455
"P23","Puede que lo vote",0.218,0.242,0.15,0.069
"P23","Nunca lo votaría",0.501,0.398,0.551,0.299
"P23","No sabe",0.002,0,0,0.177
"P24","Lo votaría",0.095,0.119,0.157,0.233
"P24","Puede que lo vote",0.183,0.161,0.171,0.154
"P24","Nunca lo votaría",0.72,0.72,0.671,0.387
"P24","No sabe",0.002,0,0.001,0.226
"P25","Positiva",0.423,0.467,0.397,0.407
"P25","Neutra",0.379,0.341,0.231,0.1
"P25","Negativa",0.154,0.161,0.356,0.028
"P25","No sabe",0.044,0.031,0.016,0.465
"P26","Positiva",0.431,0.502,0.378,0.38
"P26","Neutra",0.205,0.258,0.121,0.109
"P26","Negativa",0.343,0.235,0.493,0.191
"P26","No sabe",0.021,0.005,0.008,0.32
"P27","Positiva",0.63,0.296,0.198,0.275
"P27","Neutra",0.229,0.435,0.216,0.166
"P27","Negativa",0.12,0.256,0.581,0.228
"P27","No sabe",0.021,0.013,0.005,0.331
"P28","Positiva",0.275,0.279,0.201,0.109
"P28","Neutra",0.416,0.41,0.308,0.18
"P28","Negativa",0.156,0.135,0.392,0.15
"P28","No sabe",0.153,0.176,0.099,0.561
"P29","Positiva",0.201,0.127,0.17,0.089
"P29","Neutra",0.162,0.18,0.156,0
"P29","Negativa",0.6,0.652,0.653,0.36
"P29","No sabe",0.037,0.041,0.021,0.551
"P30","Positiva",0.217,0.163,0.311,0.067
"P30","Neutra",0.087,0.078,0.05,0.062
"P30","Negativa",0.675,0.755,0.637,0.658
"P30","No sabe",0.021,0.004,0.002,0.213
"P31","Positiva",0.402,0.398,0.305,0.272
"P31","Neutra",0.167,0.181,0.108,0.058
"P31","Negativa",0.418,0.415,0.585,0.447
"P31","No sabe",0.013,0.006,0.002,0.223
"P32","Positiva",0.392,0.335,0.233,0.381
"P32","Neutra",0.279,0.317,0.182,0.057
"P32","Negativa",0.298,0.332,0.579,0.058
"P32","No sabe",0.031,0.016,0.006,0.504
"P33","Positiva",0.265,0.17,0.175,0.068
"P33","Neutra",0.191,0.222,0.137,0.102
