"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.035,0.444,0.85,0.031,0.079,0.284,0.139,0.111
"P07","De Cambiemos",0.657,0.244,0.041,0.092,0.295,0.052,0.363,0.255
"P07","De los Liberales libertarios",0.18,0.101,0.016,0.698,0.203,0.05,0.098,0.1
"P07","De la Izquierda",0.013,0.023,0.052,0.021,0.059,0.508,0.007,0.025
"P07","Otros",0.051,0.085,0.021,0.074,0.318,0.043,0.05,0.131
"P07","No sabe",0.064,0.103,0.02,0.084,0.046,0.063,0.343,0.378
"P08","A Alberto Fernández",0.151,0.174,0.091,0.329,0,0.192,0.107,0.098
"P08","A Sergio Massa",0.152,0.207,0.199,0.363,0.384,0.137,0.262,0.116
"P08","A algún candidato del peronismo",0.65,0.331,0.094,0.308,0.522,0.149,0.2,0.39
"P08","A algún candidato del kirchnerismo",0.047,0.288,0.616,0,0.094,0.522,0.431,0.396
"P09","A Alberto Fernández",0.201,0.074,0.04,0.33,0,0.116,0,0.034
"P09","A Sergio Massa",0.129,0.15,0.166,0.064,0.19,0,0.043,0.081
"P09","A algún candidato del peronismo",0.583,0.287,0.015,0.491,0.281,0.114,0.246,0.329
"P09","A Cristina Fernández de Kirchner",0.087,0.489,0.779,0.115,0.529,0.77,0.711,0.556
"P10","A Horacio Rodriguez Larreta",0.189,0.28,0,0.057,0.094,0.879,0.164,0.233
"P10","A Mauricio Macri",0.318,0.322,0.448,0.478,0.1,0,0.306,0.181
"P10","A Patricia Bullrich",0.407,0.332,0.413,0.465,0.438,0,0.451,0.515
"P10","A Facundo Manes",0.035,0.063,0.139,0,0.139,0.121,0.048,0.023
"P10","A Gerardo Morales",0.051,0.003,0,0,0.229,0,0.031,0.048
"P11","A Juntos por el Cambio",0.646,0.111,0.031,0.153,0.128,0.034,0.28,0.194
"P11","Al Frente de Todos",0.056,0.136,0.738,0,0.013,0.045,0.041,0.029
"P11","A Hacemos por Córdoba",0.112,0.598,0.053,0.147,0.162,0.075,0.163,0.14
"P11","A los liberales libertarios de Milei",0.092,0.033,0.09,0.62,0.075,0.028,0.025,0.066
"P11","A Encuentro Vecinal Córdoba",0.019,0.016,0.007,0.007,0.523,0,0.007,0.044
"P11","Al Frente de Izquierda",0.007,0.024,0.012,0.05,0.035,0.765,0.101,0.08
"P11","No sabe",0.068,0.082,0.069,0.023,0.064,0.053,0.383,0.447
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.707,0.459,0.626,0.562,0.27,0,0.229,0.156
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.261,0.112,0.17,0.426,0.64,1,0.662,0.625
"P12","No sabe",0.032,0.429,0.204,0.012,0.09,0,0.109,0.219
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.763,0.068,0.028,0.115,0.105,0.048,0.105,0.129
"P13","A Martín Llaryora por Hacemos por Córdoba",0.09,0.883,0.111,0.039,0.134,0.038,0.195,0.183
"P13","Al candidato del Frente de Todos",0.007,0.023,0.808,0.007,0.017,0.021,0.012,0.024
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.051,0.011,0.016,0.765,0.015,0.014,0,0.012
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.029,0.001,0.003,0.023,0.577,0.008,0.016,0.038
"P13","Al candidato del Frente de Izquierda",0.004,0,0.004,0.002,0.084,0.797,0.009,0
"P13","Votaría en blanco",0.025,0,0.008,0.024,0.009,0.024,0.432,0.042
"P13","No sabe",0.031,0.014,0.022,0.025,0.059,0.05,0.231,0.572
"P15","A Luis Juez por Juntos por el Cambio",0.67,0.11,0.036,0.171,0.111,0.09,0.305,0.263
"P15","A Martín Llaryora por Hacemos por Córdoba",0.175,0.847,0.13,0.04,0.167,0.049,0.184,0.199
"P15","Al candidato del Frente de Todos",0.005,0.015,0.773,0.002,0.005,0.011,0.039,0.007
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.05,0.006,0.027,0.716,0,0.037,0,0.016
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.031,0.002,0.005,0.016,0.594,0,0.043,0.018
"P15","Al candidato del Frente de Izquierda",0.006,0,0.004,0.018,0.077,0.75,0.009,0.012
"P15","Votaría en blanco",0.009,0.005,0.007,0.009,0.016,0.034,0.279,0.026
"P15","No sabe",0.054,0.015,0.018,0.028,0.03,0.029,0.141,0.459
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.806,0.097,0.031,0.149,0.165,0.056,0.226,0.239
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.076,0.863,0.026,0.027,0.082,0.017,0.053,0.026
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.001,0.012,0.898,0.006,0.006,0,0.011,0.008
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.047,0.007,0.022,0.792,0.009,0.037,0,0.008
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.025,0.002,0,0.012,0.706,0.008,0.009,0.006
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.002,0,0.015,0.014,0.007,0.857,0.009,0.015
"P17","Votaría en blanco",0.003,0.006,0.004,0,0,0,0.563,0.079
"P17","No sabe",0.04,0.013,0.004,0,0.025,0.025,0.129,0.619
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.833,0.046,0.025,0.136,0.104,0.058,0.257,0.197
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.06,0.851,0.153,0.013,0.037,0.15,0.14,0.047
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.01,0.028,0.786,0,0,0.01,0,0.012
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.048,0.016,0.01,0.804,0.01,0,0.013,0.03
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.017,0.002,0.004,0.003,0.805,0,0,0.003
