"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Del Frente de Todos y el peronismo",0.336,0.297,0.188,0.265,0.319,0.016
"P07","De Cambiemos",0.324,0.353,0.41,0.324,0.283,0.309
"P07","De los Liberales libertarios",0.156,0.247,0.166,0.205,0.187,0.343
"P07","De la Izquierda",0.022,0.013,0.015,0.04,0.093,0.082
"P07","Otros",0.08,0.031,0.093,0.073,0.063,0
"P07","No sabe",0.082,0.059,0.128,0.093,0.055,0.25
"P08","A Alberto Fernández",0.245,0.142,0.08,0.082,0.109,1
"P08","A Sergio Massa",0.197,0.412,0.082,0.213,0.099,0
"P08","A algún candidato del peronismo",0.395,0.293,0.372,0.072,0.125,0
"P08","A algún candidato del kirchnerismo",0.163,0.153,0.466,0.633,0.667,0
"P09","A Alberto Fernández",0.107,0.108,0.044,0.03,0.084,0
"P09","A Sergio Massa",0.102,0.242,0.056,0.149,0.028,0
"P09","A algún candidato del peronismo",0.373,0.261,0.182,0.051,0.088,0
"P09","A Cristina Fernández de Kirchner",0.418,0.389,0.718,0.77,0.8,1
"P10","A Horacio Rodriguez Larreta",0.34,0.199,0.162,0.166,0.202,0.688
"P10","A Mauricio Macri",0.314,0.369,0.281,0.254,0.279,0.176
"P10","A Patricia Bullrich",0.328,0.372,0.497,0.449,0.404,0.136
"P10","A Facundo Manes",0.007,0.038,0.041,0.034,0.054,0
"P10","A Gerardo Morales",0.011,0.022,0.019,0.097,0.061,0
"P11","A Juntos por el Cambio",0.211,0.372,0.36,0.268,0.32,0.184
"P11","Al Frente de Todos",0.133,0.12,0.124,0.191,0.188,0.016
"P11","A Hacemos por Córdoba",0.506,0.315,0.197,0.122,0.144,0.12
"P11","A los liberales libertarios de Milei",0.068,0.092,0.127,0.17,0.144,0.362
"P11","A Encuentro Vecinal Córdoba",0.008,0.016,0.065,0.055,0.034,0
"P11","Al Frente de Izquierda",0.011,0.014,0.037,0.081,0.116,0.021
"P11","No sabe",0.063,0.071,0.09,0.113,0.054,0.297
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.602,0.64,0.615,0.494,0.647,0.804
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.154,0.288,0.342,0.43,0.298,0.196
"P12","No sabe",0.244,0.072,0.043,0.076,0.055,0
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.234,0.354,0.425,0.325,0.351,0.163
"P13","A Martín Llaryora por Hacemos por Córdoba",0.646,0.441,0.207,0.157,0.154,0.283
"P13","Al candidato del Frente de Todos",0.019,0.051,0.078,0.188,0.157,0
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.047,0.045,0.13,0.1,0.126,0.362
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.014,0.049,0.063,0.048,0.027,0.016
"P13","Al candidato del Frente de Izquierda",0.005,0.006,0.007,0.073,0.082,0.021
"P13","Votaría en blanco",0.005,0.006,0.016,0.064,0.038,0.056
"P13","No sabe",0.03,0.048,0.074,0.045,0.065,0.099
"P15","A Luis Juez por Juntos por el Cambio",0.185,0.381,0.392,0.347,0.321,0.239
"P15","A Martín Llaryora por Hacemos por Córdoba",0.686,0.427,0.24,0.171,0.2,0.146
"P15","Al candidato del Frente de Todos",0.015,0.045,0.078,0.143,0.145,0.104
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.055,0.05,0.134,0.155,0.126,0.378
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.021,0.055,0.051,0.049,0.028,0
"P15","Al candidato del Frente de Izquierda",0.005,0.004,0.008,0.07,0.076,0.021
"P15","Votaría en blanco",0.015,0.003,0.016,0.016,0.033,0.056
"P15","No sabe",0.018,0.035,0.081,0.049,0.071,0.056
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.246,0.399,0.443,0.384,0.381,0.205
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.613,0.358,0.168,0.119,0.119,0.278
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.015,0.058,0.077,0.175,0.152,0
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.06,0.056,0.157,0.108,0.109,0.362
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.026,0.045,0.05,0.066,0.027,0
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.001,0.008,0.053,0.087,0.021
"P17","Votaría en blanco",0.005,0.014,0.008,0.036,0.068,0.056
"P17","No sabe",0.03,0.069,0.089,0.059,0.057,0.078
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.226,0.318,0.457,0.321,0.346,0.076
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.632,0.368,0.163,0.131,0.13,0.323
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.026,0.064,0.081,0.176,0.154,0
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.053,0.107,0.125,0.126,0.125,0.362
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.005,0.049,0.044,0.069,0.032,0
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.004,0.014,0.058,0.087,0.021
"P18","Votaría en blanco",0.016,0.018,0.015,0.027,0.045,0.098
"P18","No sabe",0.037,0.072,0.101,0.092,0.081,0.12
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.195,0.387,0.469,0.329,0.359,0.205
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.643,0.299,0.18,0.147,0.159,0.21
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.033,0.072,0.056,0.169,0.142,0
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.06,0.085,0.162,0.124,0.125,0.362
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.05,0.03,0.074,0.022,0
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.016,0.003,0.002,0.046,0.085,0.021
"P19","Votaría en blanco",0.013,0.029,0.015,0.046,0.039,0.099
"P19","No sabe",0.033,0.075,0.086,0.065,0.069,0.103
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.243,0.337,0.453,0.31,0.345,0.06
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.608,0.345,0.182,0.163,0.156,0.297
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.027,0.059,0.059,0.148,0.147,0.017
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.052,0.102,0.135,0.139,0.116,0.362
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.042,0.038,0.066,0.022,0.021
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.008,0.003,0.003,0.049,0.085,0
"P20","Votaría en blanco",0.013,0.03,0.016,0.041,0.061,0.098
"P20","No sabe",0.039,0.082,0.114,0.084,0.068,0.145
"P21","Lo votaría",0.315,0.28,0.32,0.287,0.272,0.301
"P21","Puede que lo vote",0.19,0.312,0.251,0.21,0.179,0.354
"P21","Nunca lo votaría",0.492,0.4,0.429,0.503,0.549,0.117
"P21","No sabe",0.003,0.008,0,0,0,0.228
"P22","Lo votaría",0.663,0.337,0.2,0.11,0.125,0.296
"P22","Puede que lo vote",0.171,0.283,0.235,0.216,0.161,0.291
"P22","Nunca lo votaría",0.163,0.372,0.565,0.674,0.714,0.185
"P22","No sabe",0.003,0.008,0,0,0,0.228
