"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Del Frente de Todos y el peronismo",0.178,0.256,0.349,0.287
"P07","De Cambiemos",0.484,0.349,0.282,0.247
"P07","De los Liberales libertarios",0.148,0.204,0.221,0.148
"P07","De la Izquierda",0.033,0.023,0.056,0.035
"P07","Otros",0.067,0.061,0.053,0.108
"P07","No sabe",0.09,0.107,0.039,0.175
"P08","A Alberto Fernández",0.188,0.144,0.12,0.135
"P08","A Sergio Massa",0.308,0.163,0.19,0.066
"P08","A algún candidato del peronismo",0.342,0.304,0.165,0.375
"P08","A algún candidato del kirchnerismo",0.162,0.389,0.525,0.424
"P09","A Alberto Fernández",0.286,0.052,0.037,0.051
"P09","A Sergio Massa",0.15,0.102,0.089,0.067
"P09","A algún candidato del peronismo",0.337,0.27,0.066,0.354
"P09","A Cristina Fernández de Kirchner",0.227,0.576,0.808,0.528
"P10","A Horacio Rodriguez Larreta",0.206,0.251,0.139,0.284
"P10","A Mauricio Macri",0.29,0.299,0.263,0.379
"P10","A Patricia Bullrich",0.371,0.399,0.541,0.316
"P10","A Facundo Manes",0.093,0.017,0.009,0
"P10","A Gerardo Morales",0.04,0.034,0.048,0.021
"P11","A Juntos por el Cambio",0.444,0.35,0.218,0.153
"P11","Al Frente de Todos",0.126,0.134,0.21,0.047
"P11","A Hacemos por Córdoba",0.201,0.266,0.226,0.412
"P11","A los liberales libertarios de Milei",0.073,0.105,0.164,0.129
"P11","A Encuentro Vecinal Córdoba",0.031,0.028,0.042,0.068
"P11","Al Frente de Izquierda",0.025,0.052,0.079,0.018
"P11","No sabe",0.1,0.065,0.061,0.173
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.666,0.617,0.549,0.542
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.267,0.28,0.375,0.287
"P12","No sabe",0.067,0.103,0.076,0.171
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.475,0.364,0.255,0.23
"P13","A Martín Llaryora por Hacemos por Córdoba",0.279,0.357,0.266,0.488
"P13","Al candidato del Frente de Todos",0.039,0.078,0.169,0.023
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.034,0.091,0.126,0.047
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.055,0.036,0.032,0.064
"P13","Al candidato del Frente de Izquierda",0.02,0.013,0.072,0.023
"P13","Votaría en blanco",0.039,0.016,0.033,0.021
"P13","No sabe",0.059,0.045,0.047,0.104
"P15","A Luis Juez por Juntos por el Cambio",0.457,0.358,0.231,0.293
"P15","A Martín Llaryora por Hacemos por Córdoba",0.305,0.36,0.32,0.458
"P15","Al candidato del Frente de Todos",0.033,0.072,0.139,0.027
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.057,0.101,0.142,0.047
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.066,0.042,0.028,0.034
"P15","Al candidato del Frente de Izquierda",0.013,0.014,0.071,0.018
"P15","Votaría en blanco",0.016,0.012,0.021,0.027
"P15","No sabe",0.053,0.041,0.048,0.096
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.513,0.406,0.274,0.271
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.25,0.29,0.242,0.41
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.039,0.077,0.152,0.039
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.062,0.094,0.142,0.045
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.052,0.036,0.039,0.065
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.017,0.011,0.065,0.02
"P17","Votaría en blanco",0.008,0.023,0.039,0.028
"P17","No sabe",0.059,0.063,0.047,0.122
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.521,0.344,0.217,0.296
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.237,0.323,0.251,0.401
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.044,0.074,0.159,0.059
