"var","categoria","A Juntos por el Cambio","Al Frente de Todos","A Hacemos por Córdoba","A los liberales libertarios de Milei","A Encuentro Vecinal Córdoba","Al Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.071,0.608,0.363,0.101,0.083,0.139,0.096
"P07","De Cambiemos",0.709,0.237,0.246,0.106,0.15,0.042,0.179
"P07","De los Liberales libertarios",0.161,0.032,0.178,0.587,0.149,0,0.089
"P07","De la Izquierda",0.004,0.034,0.013,0.073,0.12,0.298,0.028
"P07","Otros",0.008,0.033,0.097,0.057,0.471,0.112,0.147
"P07","No sabe",0.047,0.056,0.103,0.076,0.027,0.409,0.461
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.687,0.143,0.121,0.146,0.117,0.041,0.154
"P13","A Martín Llaryora por Hacemos por Córdoba",0.13,0.35,0.759,0.1,0.171,0.146,0.22
"P13","Al candidato del Frente de Todos",0.016,0.454,0.012,0.042,0.023,0.066,0.034
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.041,0.003,0.061,0.605,0.006,0.051,0.019
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.021,0.012,0.017,0.053,0.55,0.004,0.028
"P13","Al candidato del Frente de Izquierda",0.005,0.005,0,0.007,0.061,0.458,0.014
"P13","Votaría en blanco",0.034,0.014,0.001,0.013,0,0.045,0.114
"P13","No sabe",0.066,0.019,0.029,0.034,0.072,0.189,0.417
"P15","A Luis Juez por Juntos por el Cambio",0.676,0.125,0.136,0.171,0.18,0.105,0.206
"P15","A Martín Llaryora por Hacemos por Córdoba",0.198,0.368,0.745,0.111,0.116,0.152,0.241
"P15","Al candidato del Frente de Todos",0.009,0.438,0.011,0.036,0.015,0.029,0.03
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.029,0.015,0.065,0.578,0.024,0.052,0.028
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.031,0.011,0.008,0.037,0.514,0.005,0.039
"P15","Al candidato del Frente de Izquierda",0.002,0.006,0,0.024,0.069,0.449,0.018
"P15","Votaría en blanco",0.012,0.014,0,0.005,0.036,0.016,0.09
"P15","No sabe",0.043,0.023,0.035,0.038,0.046,0.192,0.348
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.763,0.16,0.14,0.216,0.201,0.105,0.223
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.125,0.298,0.655,0.063,0.057,0.069,0.211
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.007,0.474,0.018,0.047,0.017,0.02,0.064
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.032,0.01,0.078,0.584,0.022,0.113,0.011
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.019,0.012,0.01,0.021,0.587,0.023,0.027
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.014,0.004,0.026,0.019,0.418,0.019
"P17","Votaría en blanco",0.012,0.009,0.024,0.005,0.015,0.097,0.11
"P17","No sabe",0.039,0.023,0.071,0.038,0.082,0.155,0.335
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.714,0.147,0.148,0.228,0.17,0.046,0.2
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.102,0.297,0.654,0.068,0.12,0.137,0.199
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.509,0.018,0.058,0.017,0.022,0.052
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.062,0,0.072,0.565,0.021,0.126,0.025
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.017,0.004,0.025,0.022,0.55,0.028,0.022
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.009,0.008,0.005,0,0.413,0.012
"P18","Votaría en blanco",0.03,0.011,0.021,0.006,0.006,0.066,0.107
"P18","No sabe",0.063,0.023,0.054,0.048,0.116,0.162,0.383
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.776,0.162,0.089,0.225,0.213,0.049,0.24
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.108,0.333,0.677,0.064,0.082,0.212,0.164
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.004,0.436,0.034,0.046,0.009,0.02,0.046
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.035,0.006,0.084,0.593,0.021,0.078,0.027
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.019,0.009,0.025,0.022,0.555,0.016,0.019
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.017,0.003,0.006,0.021,0.386,0.01
"P19","Votaría en blanco",0.028,0.02,0.022,0.011,0.017,0.038,0.089
"P19","No sabe",0.027,0.017,0.066,0.033,0.082,0.201,0.405
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.709,0.167,0.127,0.215,0.149,0.059,0.214
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.106,0.364,0.672,0.067,0.076,0.217,0.201
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.424,0.022,0.049,0.009,0.021,0.044
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.043,0,0.078,0.592,0.038,0.08,0.03
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.027,0.004,0.006,0.015,0.534,0.022,0.021
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.008,0.004,0.009,0,0.398,0.011
"P20","Votaría en blanco",0.051,0.017,0.036,0.005,0.036,0.03,0.079
"P20","No sabe",0.054,0.016,0.055,0.048,0.158,0.173,0.4
"P21","Lo votaría",0.55,0.198,0.167,0.156,0.212,0.078,0.175
"P21","Puede que lo vote",0.283,0.14,0.173,0.356,0.178,0.249,0.301
"P21","Nunca lo votaría",0.16,0.658,0.642,0.401,0.543,0.644,0.4
"P21","No sabe",0.007,0.004,0.018,0.087,0.067,0.029,0.124
"P22","Lo votaría",0.177,0.363,0.622,0.081,0.068,0.053,0.228
"P22","Puede que lo vote",0.139,0.258,0.17,0.272,0.181,0.446,0.293
"P22","Nunca lo votaría",0.677,0.375,0.191,0.629,0.708,0.48,0.359
"P22","No sabe",0.007,0.004,0.017,0.018,0.043,0.021,0.12
"P23","Lo votaría",0.524,0.194,0.133,0.205,0.209,0.093,0.26
"P23","Puede que lo vote",0.246,0.121,0.147,0.213,0.124,0.197,0.17
"P23","Nunca lo votaría",0.216,0.675,0.696,0.533,0.638,0.689,0.437
"P23","No sabe",0.014,0.01,0.024,0.049,0.029,0.021,0.133
"P24","Lo votaría",0.077,0.358,0.096,0.039,0.031,0.048,0.053
"P24","Puede que lo vote",0.096,0.227,0.193,0.112,0.107,0.222,0.16
"P24","Nunca lo votaría",0.823,0.411,0.696,0.843,0.851,0.714,0.745
"P24","No sabe",0.004,0.004,0.015,0.006,0.011,0.016,0.042
"P25","Muy buena",0.456,0.132,0.139,0.197,0.114,0.005,0.17
"P25","Buena",0.207,0.122,0.14,0.211,0.139,0.21,0.171
"P25","Ni buena ni mala",0.272,0.227,0.362,0.336,0.418,0.402,0.25
