"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P07","Del Frente de Todos y el peronismo",0.68,0.445,0.164,0
"P07","De Cambiemos",0.176,0.282,0.386,0.369
"P07","De los Liberales libertarios",0.064,0.084,0.237,0.166
"P07","De la Izquierda",0.015,0.036,0.035,0.073
"P07","Otros",0.036,0.078,0.073,0.063
"P07","No sabe",0.029,0.075,0.105,0.329
"P08","A Alberto Fernández",0.097,0.089,0.178,0
"P08","A Sergio Massa",0.216,0.166,0.231,0
"P08","A algún candidato del peronismo",0.119,0.242,0.368,0
"P08","A algún candidato del kirchnerismo",0.568,0.503,0.223,0
"P09","A Alberto Fernández",0.103,0.028,0.084,0
"P09","A Sergio Massa",0.143,0.078,0.145,0
"P09","A algún candidato del peronismo",0.032,0.218,0.309,0
"P09","A Cristina Fernández de Kirchner",0.722,0.676,0.462,0
"P10","A Horacio Rodriguez Larreta",0.25,0.355,0.203,0
"P10","A Mauricio Macri",0.275,0.232,0.316,0.362
"P10","A Patricia Bullrich",0.438,0.36,0.405,0.537
"P10","A Facundo Manes",0.037,0.039,0.034,0.101
"P10","A Gerardo Morales",0,0.014,0.042,0
"P11","A Juntos por el Cambio",0.218,0.197,0.357,0.108
"P11","Al Frente de Todos",0.446,0.206,0.079,0.056
"P11","A Hacemos por Córdoba",0.223,0.327,0.25,0.358
"P11","A los liberales libertarios de Milei",0.043,0.089,0.142,0.065
"P11","A Encuentro Vecinal Córdoba",0.01,0.024,0.04,0.034
"P11","Al Frente de Izquierda",0.022,0.074,0.05,0.073
"P11","No sabe",0.038,0.083,0.082,0.306
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.653,0.669,0.603,0.726
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.2,0.23,0.323,0.274
"P12","No sabe",0.147,0.101,0.074,0
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.219,0.24,0.386,0.329
"P13","A Martín Llaryora por Hacemos por Córdoba",0.275,0.416,0.311,0.243
"P13","Al candidato del Frente de Todos",0.372,0.161,0.027,0
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.051,0.038,0.117,0.065
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.011,0.049,0.042,0
"P13","Al candidato del Frente de Izquierda",0.016,0.035,0.03,0.073
"P13","Votaría en blanco",0.007,0.009,0.03,0.074
"P13","No sabe",0.049,0.052,0.057,0.216
"P15","A Luis Juez por Juntos por el Cambio",0.186,0.201,0.378,0.204
"P15","A Martín Llaryora por Hacemos por Córdoba",0.328,0.463,0.333,0.301
"P15","Al candidato del Frente de Todos",0.351,0.134,0.025,0
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.063,0.027,0.124,0.065
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.017,0.049,0.041,0
"P15","Al candidato del Frente de Izquierda",0.012,0.049,0.029,0.073
"P15","Votaría en blanco",0.006,0.014,0.018,0.074
"P15","No sabe",0.037,0.063,0.052,0.283
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.282,0.247,0.415,0.079
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.262,0.369,0.268,0.236
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.358,0.159,0.027,0
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.05,0.045,0.124,0.065
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.028,0.031,0.043,0
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.066,0.024,0.073
"P17","Votaría en blanco",0.003,0.018,0.031,0.074
"P17","No sabe",0.011,0.065,0.068,0.473
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.24,0.211,0.394,0.181
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.278,0.42,0.258,0.102
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.377,0.16,0.029,0.056
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.06,0.046,0.126,0.11
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.035,0.047,0
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.055,0.027,0.073
"P18","Votaría en blanco",0.003,0.011,0.032,0.13
"P18","No sabe",0.023,0.062,0.087,0.348
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.247,0.196,0.405,0.079
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.321,0.445,0.257,0.068
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.319,0.143,0.037,0.056
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.061,0.061,0.13,0.065
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.006,0.027,0.046,0
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.02,0.047,0.022,0.073
"P19","Votaría en blanco",0.013,0.025,0.029,0.209
"P19","No sabe",0.013,0.056,0.074,0.45
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.266,0.197,0.376,0.108
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.327,0.48,0.257,0.067
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.322,0.13,0.032,0.101
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.04,0.06,0.135,0.065
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.021,0.039,0.029
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.011,0.047,0.023,0.044
"P20","Votaría en blanco",0.003,0.012,0.048,0.165
"P20","No sabe",0.018,0.053,0.09,0.421
"P21","Lo votaría",0.228,0.192,0.33,0.153
"P21","Puede que lo vote",0.133,0.259,0.252,0.087
"P21","Nunca lo votaría",0.639,0.549,0.418,0.023
"P21","No sabe",0,0,0,0.737
"P22","Lo votaría",0.4,0.423,0.263,0.142
"P22","Puede que lo vote",0.298,0.306,0.187,0.058
"P22","Nunca lo votaría",0.302,0.271,0.55,0.063
"P22","No sabe",0,0,0,0.737
"P23","Lo votaría",0.46,0.134,0.294,0.108
"P23","Puede que lo vote",0.052,0.297,0.192,0
"P23","Nunca lo votaría",0.488,0.569,0.514,0.058
"P23","No sabe",0,0,0,0.834
"P25","Muy buena",0.255,0.184,0.246,0.314
"P25","Buena",0.056,0.24,0.179,0
"P25","Ni buena ni mala",0.201,0.187,0.352,0
"P25","Mala",0.191,0.17,0.091,0.099
"P25","Muy mala",0.284,0.173,0.101,0
"P25","No sabe",0.013,0.046,0.031,0.587
"P26","Muy buena",0.205,0.153,0.215,0.21
"P26","Buena",0.091,0.17,0.204,0.103
"P26","Ni buena ni mala",0.098,0.17,0.197,0
"P26","Mala",0.131,0.149,0.191,0.1
"P26","Muy mala",0.429,0.344,0.18,0
"P26","No sabe",0.046,0.014,0.013,0.587
"P27","Muy buena",0.304,0.234,0.216,0.271
"P27","Buena",0.291,0.281,0.172,0.102
