"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Del Frente de Todos y el peronismo",0.592,0.668,0.432,0.192,0.071,0.14
"P07","De Cambiemos",0.286,0.157,0.193,0.39,0.472,0.114
"P07","De los Liberales libertarios",0.027,0.042,0.106,0.176,0.311,0.213
"P07","De la Izquierda",0.027,0.017,0.04,0.024,0.046,0.01
"P07","Otros",0.027,0.093,0.103,0.072,0.042,0.121
"P07","No sabe",0.041,0.023,0.126,0.146,0.058,0.402
"P08","A Alberto Fernández",0.305,0.052,0.132,0.174,0.152,0.467
"P08","A Sergio Massa",0.491,0.185,0.097,0.124,0.312,0
"P08","A algún candidato del peronismo",0.043,0.351,0.284,0.235,0.162,0.533
"P08","A algún candidato del kirchnerismo",0.161,0.412,0.487,0.467,0.374,0
"P09","A Alberto Fernández",0.072,0.076,0.069,0.062,0.111,0.309
"P09","A Sergio Massa",0.379,0.061,0.057,0.061,0.213,0
"P09","A algún candidato del peronismo",0.038,0.222,0.194,0.32,0.249,0.224
"P09","A Cristina Fernández de Kirchner",0.511,0.641,0.68,0.557,0.427,0.467
"P10","A Horacio Rodriguez Larreta",0.8,0.211,0.228,0.234,0.16,0.483
"P10","A Mauricio Macri",0.149,0.264,0.392,0.329,0.291,0.434
"P10","A Patricia Bullrich",0.051,0.364,0.271,0.355,0.497,0.083
"P10","A Facundo Manes",0,0.019,0.024,0.061,0.03,0
"P10","A Gerardo Morales",0,0.142,0.085,0.021,0.022,0
"P11","A Juntos por el Cambio",0.221,0.145,0.165,0.293,0.446,0.228
"P11","Al Frente de Todos",0.442,0.287,0.191,0.098,0.068,0.008
"P11","A Hacemos por Córdoba",0.227,0.364,0.417,0.264,0.17,0.18
"P11","A los liberales libertarios de Milei",0,0.046,0.064,0.187,0.154,0.243
"P11","A Encuentro Vecinal Córdoba",0.008,0.07,0.013,0.042,0.036,0
"P11","Al Frente de Izquierda",0.028,0.054,0.065,0.022,0.054,0.034
"P11","No sabe",0.074,0.034,0.085,0.094,0.072,0.307
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.494,0.556,0.611,0.542,0.653,0.667
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.174,0.282,0.188,0.388,0.304,0.212
"P12","No sabe",0.332,0.162,0.201,0.07,0.043,0.121
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.289,0.164,0.172,0.319,0.497,0.22
"P13","A Martín Llaryora por Hacemos por Córdoba",0.313,0.449,0.487,0.347,0.185,0.504
"P13","Al candidato del Frente de Todos",0.236,0.251,0.132,0.045,0.029,0.023
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.005,0.015,0.093,0.091,0.133,0.149
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.042,0.033,0.019,0.052,0.048,0
"P13","Al candidato del Frente de Izquierda",0.028,0.048,0.032,0.016,0.033,0.026
"P13","Votaría en blanco",0.013,0,0.019,0.047,0.029,0.027
"P13","No sabe",0.074,0.04,0.046,0.083,0.046,0.051
"P15","A Luis Juez por Juntos por el Cambio",0.169,0.276,0.11,0.35,0.446,0.171
"P15","A Martín Llaryora por Hacemos por Córdoba",0.404,0.412,0.551,0.339,0.224,0.541
"P15","Al candidato del Frente de Todos",0.223,0.204,0.122,0.042,0.027,0.022
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.037,0.011,0.096,0.083,0.165,0.149
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.07,0.014,0.019,0.045,0.054,0
"P15","Al candidato del Frente de Izquierda",0.028,0.045,0.031,0.019,0.031,0.01
"P15","Votaría en blanco",0.021,0,0.025,0.027,0.016,0.027
"P15","No sabe",0.048,0.038,0.046,0.095,0.037,0.08
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.203,0.201,0.171,0.455,0.509,0.236
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.42,0.393,0.45,0.233,0.158,0.411
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.207,0.238,0.126,0.045,0.029,0.071
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.039,0.019,0.101,0.097,0.142,0.149
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.077,0.072,0.011,0.043,0.042,0
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.022,0.022,0.034,0.016,0.035,0.01
"P17","Votaría en blanco",0.023,0.002,0.027,0.019,0.037,0.027
"P17","No sabe",0.009,0.053,0.08,0.092,0.048,0.096
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.222,0.177,0.191,0.395,0.455,0.263
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.391,0.443,0.431,0.284,0.147,0.391
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.245,0.229,0.123,0.058,0.034,0.071
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.032,0.028,0.096,0.083,0.166,0.149
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.023,0.047,0.014,0.039,0.05,0
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.022,0.019,0.034,0.021,0.04,0.01
"P18","Votaría en blanco",0.023,0.006,0.023,0.029,0.027,0.063
"P18","No sabe",0.042,0.051,0.088,0.091,0.081,0.053
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.222,0.209,0.147,0.375,0.495,0.263
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.439,0.451,0.447,0.275,0.144,0.33
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.202,0.193,0.131,0.076,0.027,0.071
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0,0.021,0.114,0.096,0.172,0.149
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.028,0.037,0.017,0.042,0.043,0
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.052,0.019,0.025,0.017,0.034,0.01
"P19","Votaría en blanco",0.032,0.02,0.037,0.034,0.025,0.047
