"var","categoria","Mucho","Bastante","Poco","Nada","No sabe"
"P06","Siempre",0.355,0.135,0.075,0.216,0.213
"P06","Casi siempre",0.342,0.505,0.229,0.134,0.101
"P06","Casi nunca",0.22,0.301,0.55,0.284,0.285
"P06","Nunca, pero esta es una excepción",0.083,0.059,0.146,0.366,0.401
"P08","Unión por la Patria",0.395,0.295,0.2,0.037,0.222
"P08","Juntos por el Cambio ",0.367,0.429,0.356,0.297,0.218
"P08","Liberales",0.122,0.118,0.09,0.231,0.112
"P08","Izquierda",0.048,0.036,0.023,0.025,0.103
"P08","Otro",0.019,0.029,0.08,0.075,0.112
"P08","No sabe",0.049,0.093,0.251,0.335,0.233
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.28,0.202,0.158,0.083,0
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.118,0.087,0.041,0,0.149
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.316,0.296,0.181,0.173
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.113,0.16,0.131,0.191,0.159
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.124,0.125,0.133,0.314,0.149
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.027,0.057,0.008,0.125
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.008,0.011,0.031,0
"P09","Otros",0.022,0.022,0.036,0.011,0.184
"P09","En blanco",0.005,0.008,0.052,0.02,0.026
"P09","No sabe",0.012,0.045,0.085,0.161,0.035
"P12","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.337,0.255,0.183,0.143,0.135
"P12","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.256,0.255,0.261,0.298,0.035
"P12","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.15,0.275,0.206,0.163,0.032
"P12","Ramiro Marra por la Libertad Avanza",0.13,0.098,0.158,0.214,0.103
"P12","Vanina Biasi por el Frente de Izquierda",0.064,0.018,0.051,0.079,0.33
"P12","Otros",0.04,0.05,0.067,0.014,0.196
"P12","En blanco",0.012,0.02,0.034,0.029,0.169
"P12","No sabe",0.011,0.029,0.04,0.06,0
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.239,0.18,0.165,0.122,0.195
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.139,0.105,0.054,0,0
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.244,0.246,0.243,0.084
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.134,0.21,0.198,0.208,0.141
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.124,0.119,0.117,0.223,0.263
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.035,0.036,0.058,0,0
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.018,0.004,0.004,0.026,0
"P18","Otros",0.016,0.027,0.047,0,0.045
"P18","En blanco",0.019,0.034,0.045,0.104,0
"P18","No sabe",0.013,0.041,0.066,0.074,0.272
"P21","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.25,0.145,0.155,0.046,0
"P21","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.26,0.258,0.287,0.404,0
"P21","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.155,0.21,0.25,0.217,0.102
"P21","Ramiro Marra por la Libertad Avanza",0.103,0.117,0.054,0.163,0
