"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.551,0.451,0.556,0.509,0.723,0.611,0.446,0.374
"P06","Bastante",0.286,0.346,0.329,0.327,0.208,0.241,0.364,0.421
"P06","Poco",0.124,0.164,0.097,0.124,0.056,0.074,0.159,0.156
"P06","Nada",0.026,0.036,0.014,0.034,0.006,0.007,0.031,0.033
"P06","No sabe",0.013,0.003,0.004,0.006,0.007,0.067,0,0.016
"P07","Siempre",0.296,0.292,0.199,0.342,0.214,0.305,0.161,0.156
"P07","Casi siempre",0.447,0.45,0.374,0.252,0.471,0.368,0.336,0.386
"P07","Casi nunca",0.189,0.187,0.347,0.349,0.282,0.243,0.385,0.259
"P07","Nunca, pero esta es una excepción",0.068,0.071,0.08,0.057,0.033,0.084,0.118,0.199
"P08","Tiene Decidido que va a ir a votar",0.873,0.864,0.849,0.856,0.898,0.779,0.834,0.827
"P08","Tiene dudas sobre si va a ir a  votar",0.103,0.094,0.124,0.055,0.074,0.072,0.097,0.078
"P08","Tiene Decidido que no va a ir a votar",0.024,0.042,0.027,0.089,0.028,0.149,0.069,0.095
"P10","Unión por la Patria",0.656,0.137,0.258,0.132,0.713,0.333,0.282,0.329
"P10","Juntos por el Cambio",0.189,0.663,0.607,0.395,0.113,0.302,0.226,0.302
"P10","Liberales",0.066,0.122,0.059,0.391,0.029,0.054,0.247,0.085
"P10","Izquierda",0.039,0.026,0.019,0.039,0.105,0.125,0.065,0
"P10","Otro",0.012,0.024,0.025,0.02,0,0.044,0.095,0.016
"P10","No sabe",0.038,0.028,0.032,0.023,0.04,0.142,0.085,0.268
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.535,0.05,0.147,0.088,0.391,0.236,0.169,0.188
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.179,0.019,0.041,0.015,0.272,0.164,0.117,0.041
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.573,0.399,0.28,0.159,0.182,0.22,0.185
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.09,0.196,0.259,0.109,0.026,0.153,0.027,0.129
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.114,0.092,0.43,0.023,0.052,0.243,0.166
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.05,0.026,0.017,0.037,0.058,0.072,0.063,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.008,0,0.003,0.011,0.006,0.024,0.014,0
"P11","Otros",0.01,0.001,0.011,0.006,0.045,0.083,0.057,0.018
"P11","En blanco",0.01,0.003,0.007,0.013,0,0.034,0.09,0.023
"P11","No sabe",0.008,0.018,0.024,0.011,0.02,0,0,0.25
"P14","Totalmente seguro",0.639,0.661,0.587,0.74,0.647,0.646,0.727,0.461
"P14","Bastante seguro",0.191,0.176,0.205,0.045,0.188,0.247,0.138,0.148
"P14","Algo seguro",0.083,0.1,0.143,0.135,0.075,0.075,0.069,0.127
"P14","Para nada seguro",0.087,0.063,0.065,0.08,0.09,0.032,0.066,0.264
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.584,0.036,0.195,0.149,0.696,0.326,0.294,0.208
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.065,0.521,0.43,0.349,0.1,0.148,0.199,0.251
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.166,0.217,0.245,0.09,0.056,0.117,0.096,0.078
"P15","Ramiro Marra por la Libertad Avanza",0.065,0.154,0.054,0.354,0.057,0.107,0.206,0.193
"P15","Vanina Biasi por el Frente de Izquierda",0.065,0.037,0.043,0.006,0.038,0.145,0.004,0.013
"P15","Otros",0.044,0.018,0.011,0.027,0.026,0.132,0.101,0.031
"P15","En blanco",0,0.009,0.005,0.018,0.014,0,0.1,0
"P15","No sabe",0.011,0.008,0.017,0.007,0.013,0.025,0,0.226
"P18","Totalmente seguro",0.706,0.696,0.535,0.75,0.744,0.698,0.757,0.484
"P18","Bastante seguro",0.169,0.165,0.227,0.131,0.118,0.139,0.109,0.088
"P18","Algo seguro",0.071,0.092,0.169,0.087,0.073,0.109,0.046,0.18
"P18","Para nada seguro",0.054,0.047,0.069,0.032,0.065,0.054,0.088,0.248
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.544,0.075,0.1,0.121,0.298,0.151,0.143,0.062
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.148,0.038,0.117,0.016,0.338,0.109,0.153,0.119
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.54,0.288,0.302,0.069,0.154,0.093,0.141
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.106,0.169,0.355,0.06,0.103,0.156,0.109,0.106
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.091,0.139,0.077,0.455,0.036,0.102,0.093,0.044
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.006,0.01,0.005,0.022,0.123,0.145,0.034,0.026
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.007,0.006,0,0,0.045,0.013,0.011
"P23","Otros",0.014,0,0.018,0.009,0.02,0.113,0.009,0.061
"P23","En blanco",0.004,0.009,0.019,0.009,0,0,0.338,0.126
"P23","No sabe",0.012,0.013,0.015,0.006,0.013,0.025,0.015,0.304
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.704,0.056,0.221,0.096,0.622,0.322,0.253,0.225
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.103,0.703,0.516,0.353,0.145,0.202,0.233,0.221
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.032,0.156,0.098,0.424,0.016,0.065,0.23,0.173
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.056,0,0.028,0.027,0.144,0.051,0.077,0.022
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.011,0.031,0.027,0.012,0.072,0.011,0.034
"P30","Otros",0.021,0.028,0.035,0.006,0.025,0.231,0.04,0.005
"P30","En blanco",0.054,0.018,0.042,0.06,0,0.025,0.152,0.073
"P30","No sabe",0.019,0.028,0.029,0.007,0.036,0.032,0.004,0.247
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.718,0.064,0.208,0.105,0.578,0.356,0.254,0.199
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.117,0.586,0.577,0.254,0.128,0.106,0.134,0.269
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.206,0.115,0.537,0.047,0.084,0.312,0.129
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.04,0.023,0.022,0.014,0.194,0.062,0.063,0.023
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.006,0.022,0.019,0.005,0.013,0.016,0.084
"P31","Otros",0.014,0.026,0.022,0.013,0.028,0.317,0.013,0.023
"P31","En blanco",0.004,0.027,0.001,0.024,0,0.029,0.184,0.031
"P31","No sabe",0.05,0.062,0.033,0.034,0.02,0.033,0.024,0.242
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.777,0.061,0.163,0.122,0.676,0.363,0.248,0.225
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.105,0.756,0.591,0.378,0.114,0.159,0.24,0.206
"P32","Ramiro Marra por la Libertad Avanza",0.037,0.126,0.07,0.401,0.026,0.045,0.205,0.167
"P32","Vanina Biasi por el Frente de Izquierda",0.027,0.02,0.04,0.036,0.116,0.026,0.005,0.016
"P32","Otros",0.025,0.014,0.059,0.024,0.038,0.153,0.032,0.005
"P32","En blanco",0.016,0.006,0.026,0.01,0,0.217,0.161,0.033
"P32","No sabe",0.013,0.017,0.051,0.029,0.03,0.037,0.109,0.348
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.752,0.068,0.174,0.129,0.67,0.53,0.273,0.22
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.167,0.537,0.692,0.16,0.124,0.085,0.142,0.216
"P33","Ramiro Marra por la Libertad Avanza",0.024,0.178,0.052,0.587,0.026,0.056,0.266,0.102
"P33","Vanina Biasi por el Frente de Izquierda",0.014,0.026,0.018,0.013,0.105,0.077,0.005,0.017
"P33","Otros",0.012,0.055,0.023,0.055,0.035,0.216,0.021,0.108
"P33","En blanco",0.008,0.055,0.027,0.025,0.026,0.018,0.228,0.058
"P33","No sabe",0.023,0.081,0.014,0.031,0.014,0.018,0.065,0.279
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.828,0.081,0.266,0.125,0.704,0.463,0.308,0.2
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.848,0.647,0.641,0.171,0.278,0.378,0.495
"P36","En blanco",0.06,0.054,0.037,0.162,0.095,0.204,0.293,0.061
"P36","No sabe",0.027,0.017,0.05,0.072,0.03,0.055,0.021,0.244
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.214,0.755,0.589,0.391,0.184,0.251,0.214,0.358
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.138,0.19,0.417,0.14,0.052,0.288,0.194
"P37","En blanco",0.571,0.055,0.129,0.159,0.563,0.587,0.457,0.256
"P37","No sabe",0.179,0.052,0.092,0.033,0.113,0.11,0.041,0.192
