"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P06","Mucho",0.662,0.533,0.634,0.544,0.286,0.642,0.256
"P06","Bastante",0.268,0.332,0.262,0.343,0.392,0.208,0.256
"P06","Poco",0.048,0.104,0.036,0.027,0.308,0.133,0.378
"P06","Nada",0.019,0.017,0.066,0.067,0.014,0,0.06
"P06","No sabe",0.003,0.014,0.002,0.019,0,0.017,0.05
"P07","Siempre",0.199,0.212,0.256,0.308,0.216,0.334,0.071
"P07","Casi siempre",0.425,0.438,0.307,0.232,0.244,0.256,0.512
"P07","Casi nunca",0.333,0.258,0.322,0.352,0.44,0.392,0.231
"P07","Nunca, pero esta es una excepción",0.043,0.092,0.115,0.108,0.1,0.018,0.186
"P08","Tiene Decidido que va a ir a votar",0.938,0.879,0.958,0.912,0.693,0.714,0.839
"P08","Tiene dudas sobre si va a ir a  votar",0.034,0.059,0.007,0.027,0.198,0.239,0.049
"P08","Tiene Decidido que no va a ir a votar",0.028,0.062,0.035,0.061,0.109,0.047,0.112
"P11","Unión por la Patria",0.777,0.054,0.126,0.171,0.246,0.041,0.076
"P11","Juntos por el Cambio",0.048,0.645,0.063,0.094,0.129,0.483,0.208
"P11","Liberales",0.056,0.229,0.57,0.146,0.318,0.034,0.117
"P11","Izquierda",0.059,0.018,0.126,0.415,0.029,0,0.101
"P11","Otro",0.024,0.032,0.094,0.124,0.14,0.121,0.015
"P11","No sabe",0.036,0.022,0.021,0.05,0.138,0.321,0.483
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.767,0.043,0.069,0.033,0.132,0.041,0.084
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.063,0.696,0.132,0.081,0.14,0.296,0.304
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.057,0.222,0.732,0.287,0.31,0.179,0.161
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.008,0.03,0.36,0.049,0,0.045
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.01,0.028,0.023,0.139,0,0
"P12","Otros",0.022,0.007,0,0.072,0.19,0.016,0
"P12","En blanco",0.004,0.003,0,0,0.029,0.295,0.015
"P12","No sabe",0.023,0.011,0.009,0.144,0.011,0.173,0.391
"P15","Totalmente seguro",0.74,0.675,0.742,0.328,0.588,0.511,0.312
"P15","Bastante seguro",0.112,0.173,0.199,0.265,0.08,0.034,0.167
"P15","Algo seguro",0.09,0.108,0.051,0.01,0.112,0.05,0.133
"P15","Para nada seguro",0.058,0.044,0.008,0.397,0.22,0.405,0.388
"P19","Totalmente seguro",0.781,0.73,0.709,0.569,0.189,0.606,0.174
"P19","Bastante seguro",0.127,0.17,0.193,0.058,0.227,0.158,0.012
"P19","Algo seguro",0.081,0.075,0.061,0.048,0.208,0.048,0.109
"P19","Para nada seguro",0.011,0.025,0.037,0.325,0.376,0.188,0.705
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.563,0.066,0.192,0.443,0.09,0,0
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.468,0.253,0.35,0.116,0.058,0.281
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.055,0.307,0.477,0,0.111,0,0.529
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.208,0,0.015,0.207,0,0,0.069
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.044,0,0,0,0.032,0
"P24","Otros",0,0.025,0,0,0.683,0.544,0
"P24","En blanco",0.034,0.034,0.014,0,0,0.366,0
"P24","No sabe",0.041,0.056,0.049,0,0,0,0.121
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.404,0.05,0.267,0.067,0.159,0,0.463
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.091,0.395,0.309,0.404,0.175,0,0.277
"P27","Ramiro Marra por la Libertad Avanza",0.013,0.309,0.341,0.335,0.172,0,0
"P27","Vanina Biasi por el Frente de Izquierda",0.349,0.025,0.024,0.194,0,0,0
"P27","Otros",0.055,0.019,0,0,0.067,0,0
"P27","En blanco",0.035,0.112,0.047,0,0.427,0.621,0
"P27","No sabe",0.053,0.09,0.012,0,0,0.379,0.26
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.826,0.067,0.188,0.215,0.267,0.074,0.201
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.832,0.458,0.16,0.302,0.276,0.312
"P31","En blanco",0.057,0.052,0.28,0.431,0.294,0.65,0.015
"P31","No sabe",0.049,0.049,0.074,0.194,0.137,0,0.472
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.145,0.702,0.133,0.028,0.366,0.336,0.274
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.107,0.234,0.77,0.247,0.36,0.022,0.096
"P32","En blanco",0.533,0.023,0.058,0.492,0.125,0.606,0.034
"P32","No sabe",0.215,0.041,0.039,0.233,0.149,0.036,0.596
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.871,0.086,0.115,0.192,0.27,0.089,0.265
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.544,0.798,0.305,0.394,0.021,0.159
"P33","En blanco",0.044,0.224,0.055,0.321,0.235,0.736,0.038
"P33","No sabe",0.021,0.146,0.032,0.182,0.101,0.154,0.538
"P34","Leandro Santoro por Union por la Patria",0.908,0.069,0.177,0.232,0.175,0.038,0.162
"P34","Jorge Macri por Juntos por el Cambio",0.038,0.896,0.545,0.217,0.257,0.161,0.169
"P34","En blanco",0.018,0.02,0.228,0.386,0.447,0.683,0.061
"P34","No sabe",0.036,0.015,0.05,0.165,0.121,0.118,0.608
"P35","Lo votaría",0.841,0.045,0.147,0.231,0.251,0.055,0.071
"P35","Puede que lo vote",0.104,0.102,0.13,0.081,0.055,0.101,0.164
"P35","Nunca lo votaría",0.032,0.801,0.69,0.592,0.66,0.769,0.459
"P35","No sabe",0.023,0.052,0.033,0.096,0.034,0.075,0.306
"P36","Lo votaría",0.099,0.693,0.203,0.282,0.27,0.242,0.259
"P36","Puede que lo vote",0.113,0.179,0.38,0.106,0.157,0.025,0.108
"P36","Nunca lo votaría",0.727,0.109,0.407,0.447,0.484,0.593,0.406
"P36","No sabe",0.061,0.019,0.01,0.165,0.089,0.14,0.227
"P37","Lo votaría",0.069,0.275,0.806,0.243,0.345,0.025,0.081
"P37","Puede que lo vote",0.06,0.278,0.102,0.151,0.19,0,0.147
