"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.532,0.488,0.458,0.783,0.518,0.268,0.678,0.159
"P06","Bastante",0.328,0.272,0.426,0.133,0.088,0.333,0.322,0.525
"P06","Poco",0.14,0.178,0.1,0.072,0.055,0.333,0,0.16
"P06","Nada",0,0,0.016,0.012,0.339,0.066,0,0.128
"P06","No sabe",0,0.062,0,0,0,0,0,0.028
"P07","Siempre",0.309,0.334,0.232,0.039,0.387,0.357,0.343,0.032
"P07","Casi siempre",0.299,0.283,0.5,0.45,0.409,0.077,0.481,0.469
"P07","Casi nunca",0.331,0.27,0.225,0.354,0.177,0.5,0.176,0.409
"P07","Nunca, pero esta es una excepción",0.061,0.113,0.043,0.157,0.027,0.066,0,0.09
"P08","Tiene Decidido que va a ir a votar",0.982,0.852,0.939,0.928,0.573,0.125,0.931,0.825
"P08","Tiene dudas sobre si va a ir a  votar",0,0.03,0.01,0.072,0.088,0.666,0.069,0.077
"P08","Tiene Decidido que no va a ir a votar",0.018,0.118,0.051,0,0.339,0.209,0,0.098
"P11","Unión por la Patria",0.584,0.039,0.067,0.613,0.85,0,0.172,0.17
"P11","Juntos por el Cambio",0.125,0.541,0.376,0,0.12,0.11,0.282,0.247
"P11","Liberales",0.12,0.335,0.504,0.075,0,0,0.153,0.142
"P11","Izquierda",0.042,0.013,0.013,0.269,0,0,0.094,0
"P11","Otro",0.11,0.067,0.021,0,0,0.252,0,0.251
"P11","No sabe",0.019,0.005,0.019,0.043,0.03,0.638,0.299,0.19
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.425,0.039,0.004,0.613,0.48,0,0.172,0.163
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.144,0.56,0.453,0,0.491,0.109,0.468,0.261
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.202,0.374,0.432,0.075,0,0.172,0.061,0.161
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.132,0.004,0.07,0.081,0,0,0,0
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.007,0.005,0.188,0,0.184,0,0.146
"P12","Otros",0.082,0.003,0.031,0,0,0.069,0,0
"P12","En blanco",0,0,0,0,0.029,0.466,0.022,0
"P12","No sabe",0,0.013,0.005,0.043,0,0,0.277,0.269
"P15","Totalmente seguro",0.614,0.686,0.755,0.572,0.471,0.576,0.674,0.257
"P15","Bastante seguro",0.141,0.202,0.138,0.174,0.371,0,0.049,0.314
"P15","Algo seguro",0.074,0.085,0.079,0.089,0.129,0,0,0
"P15","Para nada seguro",0.171,0.027,0.028,0.165,0.029,0.424,0.277,0.429
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.632,0.051,0.052,0.813,0.3,0,0.212,0.206
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.142,0.723,0.554,0,0.664,0.284,0.404,0.538
"P16","Ramiro Marra por la Libertad Avanza",0.152,0.144,0.317,0.041,0,0,0.06,0.172
"P16","Vanina Biasi por el Frente de Izquierda",0.067,0.038,0,0.109,0,0,0,0
"P16","Otros",0.007,0.006,0.007,0,0,0.272,0,0
"P16","En blanco",0,0.006,0,0,0.036,0.444,0.324,0
"P16","No sabe",0,0.032,0.07,0.037,0,0,0,0.084
"P19","Totalmente seguro",0.774,0.702,0.838,0.652,0.38,0.75,0.898,0.11
"P19","Bastante seguro",0.08,0.2,0.044,0.275,0.06,0,0,0.705
"P19","Algo seguro",0.139,0.042,0.079,0.037,0,0,0.102,0.119
"P19","Para nada seguro",0.007,0.056,0.039,0.036,0.56,0.25,0,0.066
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.495,0.097,0.146,0.154,0,0,0,0
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.163,0.606,0.233,0.015,0.052,0,0,0.035
"P27","Ramiro Marra por la Libertad Avanza",0.134,0.216,0.44,0.023,0.41,0,0,0
"P27","Vanina Biasi por el Frente de Izquierda",0.177,0.002,0.035,0.733,0.383,0,0,0.064
"P27","Otros",0.022,0.033,0.002,0.075,0.022,0.019,0,0.038
"P27","En blanco",0,0.026,0.096,0,0.133,0.889,0.494,0.19
"P27","No sabe",0.009,0.02,0.048,0,0,0.092,0.506,0.673
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.686,0.056,0.095,0.791,0.45,0.022,0.184,0.194
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.173,0.864,0.828,0.047,0.099,0.127,0.417,0.381
"P31","En blanco",0.044,0.071,0.044,0.162,0.329,0.851,0.399,0.164
"P31","No sabe",0.097,0.009,0.033,0,0.122,0,0,0.261
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.237,0.606,0.413,0.077,0.293,0.143,0.373,0.404
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.237,0.381,0.495,0.027,0,0,0.101,0.15
"P32","En blanco",0.27,0.013,0,0.663,0.539,0.83,0.526,0.162
"P32","No sabe",0.256,0,0.092,0.233,0.168,0.027,0,0.284
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.793,0.065,0.086,0.823,0.45,0.024,0.185,0.2
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.179,0.516,0.803,0.018,0.325,0.132,0.056,0.338
"P33","En blanco",0.028,0.272,0.042,0.159,0.105,0.844,0.683,0.07
"P33","No sabe",0,0.147,0.069,0,0.12,0,0.076,0.392
"P34","Leandro Santoro por Union por la Patria",0.732,0.049,0.021,0.911,0.816,0,0.308,0.201
"P34","Jorge Macri por Juntos por el Cambio",0.141,0.892,0.771,0.018,0,0.381,0.361,0.47
"P34","En blanco",0,0.037,0.16,0.071,0.041,0.619,0.331,0
"P34","No sabe",0.127,0.022,0.048,0,0.143,0,0,0.329
"P35","Lo votaría",0.574,0.056,0.079,0.787,0.712,0.02,0.207,0.249
"P35","Puede que lo vote",0.293,0.06,0.067,0.113,0.16,0.321,0.297,0
"P35","Nunca lo votaría",0.111,0.851,0.849,0.1,0.128,0.659,0.496,0.517
"P35","No sabe",0.022,0.033,0.005,0,0,0,0,0.234
"P36","Lo votaría",0.229,0.648,0.487,0,0.694,0.123,0.4,0.306
"P36","Puede que lo vote",0.208,0.232,0.212,0.204,0.151,0,0,0.147
"P36","Nunca lo votaría",0.406,0.083,0.223,0.796,0,0.877,0.568,0.45
"P36","No sabe",0.157,0.037,0.078,0,0.155,0,0.032,0.097
"P37","Lo votaría",0.256,0.399,0.503,0.135,0,0.095,0.168,0.207
"P37","Puede que lo vote",0.107,0.12,0.416,0,0,0.027,0,0.07
"P37","Nunca lo votaría",0.504,0.437,0.07,0.865,1,0.878,0.832,0.618
"P37","No sabe",0.133,0.044,0.011,0,0,0,0,0.105
"P38","Lo votaría",0.312,0.078,0.104,0.329,0,0.228,0,0.046
"P38","Puede que lo vote",0.274,0.033,0.014,0.671,0.149,0,0.178,0.047
"P38","Nunca lo votaría",0.372,0.842,0.876,0,0.699,0.772,0.822,0.661
"P38","No sabe",0.042,0.047,0.006,0,0.152,0,0,0.246
"P39","Lo votaría",0.135,0.106,0.05,0.133,0,0.02,0,0
"P39","Puede que lo vote",0.41,0.026,0.07,0.326,0.416,0.124,0.675,0.135
"P39","Nunca lo votaría",0.429,0.791,0.857,0.521,0.584,0.856,0.325,0.409
"P39","No sabe",0.026,0.077,0.023,0.02,0,0,0,0.456
"P45","Lo votaría",0.516,0.048,0.095,0.903,0,0,0.276,0.167
"P45","Puede que lo vote",0.328,0.014,0.096,0.031,0.399,0.089,0.06,0
"P45","Nunca lo votaría",0.144,0.85,0.779,0.066,0.601,0.911,0.664,0.66
"P45","No sabe",0.012,0.088,0.03,0,0,0,0,0.173
"P46","Lo votaría",0.314,0.656,0.464,0.023,0,0.493,0.197,0.495
"P46","Puede que lo vote",0.173,0.162,0.34,0,0.059,0,0,0.346
"P46","Nunca lo votaría",0.513,0.159,0.175,0.977,0.941,0.507,0.77,0.091
"P46","No sabe",0,0.023,0.021,0,0,0,0.033,0.068
"P52","Si",0.403,0.434,0.234,0.185,0.849,0.856,0.17,0.082
"P52","No",0.597,0.566,0.766,0.815,0.151,0.144,0.83,0.918
